name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	0	14	180.25	180.0	183.75	180.0	180.0	0.25	0.14
ABANS FINANCE PLC	AFSL.N0000	268	8	22.9	23.0	23.0	22.7	22.9	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	492	14.1	14.3	14.3	12.8	13.2	0.9	6.38
ACL CABLES PLC	ACL.N0000	0	0	82.1	81.5	83.4	78.0	81.7	0.4	0.49
ACL PLASTICS PLC	APLA.N0000	0	97	518.0	523.0	545.0	498.5	524.5	6.5	1.25
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	83	7.0	7.1	7.3	6.9	7.0	0.0	0.0
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	309	43.8	43.7	46.4	42.0	44.6	0.8	1.83
AGSTAR PLC	AGST.N0000	0	581	18.7	18.7	19.4	18.4	19.0	0.3	1.6
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	135	59.3	59.0	62.4	59.0	60.2	0.9	1.52
AITKEN SPENCE PLC	SPEN.N0000	0	43	143.0	143.75	145.0	140.0	144.25	1.25	0.87
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	173	86.4	87.8	90.0	86.0	89.1	2.7	3.13
ALUMEX PLC	ALUM.N0000	0	0	9.8	10.0	10.8	9.8	10.5	0.7	7.14
AMANA BANK PLC	ABL.N0000	0	304	3.0	3.0	3.3	3.0	3.0	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	50	2	29.5	31.9	31.9	31.9	29.5	0.0	0.0
AMANA TAKAFUL PLC	ATL.N0000	268	6	11.2	11.2	11.2	10.6	10.6	0.6	5.36
AMBEON CAPITAL PLC	TAP.N0000	0	143	12.1	12.0	12.4	10.5	12.2	0.1	0.83
AMBEON HOLDINGS PLC	GREG.N0000	0	15	39.0	38.8	40.0	38.7	39.4	0.4	1.03
ARPICO INSURANCE PLC	AINS.N0000	0	9	19.5	20.0	20.0	19.2	19.3	0.2	1.03
ASIA ASSET FINANCE PLC	AAF.N0000	0	20	5.9	5.9	6.2	5.8	6.2	0.3	5.08
ASIA CAPITAL PLC	ACAP.N0000	0	7	5.8	5.8	5.8	5.4	5.4	0.4	6.9
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	74	4.3	4.3	4.3	4.1	4.2	0.1	2.33
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	19	42.0	42.0	42.0	41.5	42.0	0.0	0.0
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	37	30.0	30.0	30.0	29.1	29.3	0.7	2.33
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	11	14.9	14.9	15.0	14.7	14.8	0.1	0.67
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	19	9.0	9.0	9.0	9.0	9.0	0.0	0.0
B P P L HOLDINGS PLC	BPPL.N0000	0	55	29.9	29.9	30.0	28.5	29.1	0.8	2.68
BAIRAHA FARMS PLC	BFL.N0000	0	163	233.75	233.0	234.0	227.75	229.5	4.25	1.82
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	0	131.5	115.0	115.0	106.0	109.5	22.0	16.73
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	9	12.0	12.5	12.5	12.3	12.5	0.5	4.17
BERUWALA RESORTS PLC	BERU.N0000	0	5	1.3	1.3	1.3	1.3	1.3	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	64	74.7	74.0	75.9	72.1	73.0	1.7	2.28
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	33	68.6	69.4	69.4	67.0	67.1	1.5	2.19
BROWN & COMPANY PLC	BRWN.N0000	0	214	163.75	166.0	166.25	153.0	162.0	1.75	1.07
BROWNS BEACH HOTELS PLC	BBH.N0000	0	8	11.9	12.0	12.0	12.0	12.0	0.1	0.84
BROWNS INVESTMENTS PLC	BIL.N0000	0	0	7.9	7.9	7.9	7.6	7.7	0.2	2.53
BUKIT DARAH PLC	BUKI.N0000	0	25	312.5	312.0	320.0	310.0	314.75	2.25	0.72
C I C HOLDINGS PLC	CIC.N0000	0	552	91.2	92.5	97.9	92.5	93.8	2.6	2.85
C I C HOLDINGS PLC	CIC.X0000	0	743	69.5	71.0	73.4	69.0	71.0	1.5	2.16
C M HOLDINGS PLC	COLO.N0000	0	27	79.4	86.0	86.0	75.0	75.3	4.1	5.16
C T HOLDINGS PLC	CTHR.N0000	100	1	172.0	177.75	177.75	177.75	177.75	5.75	3.34
C. W. MACKIE PLC	CWM.N0000	0	70	83.0	82.5	83.1	76.1	80.0	3.0	3.61
CAPITAL ALLIANCE PLC	CALT.N0000	0	41	14.0	14.0	14.4	13.7	14.0	0.0	0.0
CARGILLS (CEYLON) PLC	CARG.N0000	0	9	216.5	215.0	218.0	206.0	212.0	4.5	2.08
CARSON CUMBERBATCH PLC	CARS.N0000	0	6	291.25	290.0	290.0	290.0	290.0	1.25	0.43
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	47	69.2	70.0	72.0	70.0	70.0	0.8	1.16
CENTRAL INDUSTRIES PLC	CIND.N0000	0	279	103.25	105.0	107.0	96.0	99.0	4.25	4.12
CEYLINCO INSURANCE PLC	CINS.X0000	211	6	939.5	941.0	942.0	941.0	941.0	1.5	0.16
CEYLINCO INSURANCE PLC	CINS.N0000	0	7	2127.75	2002.0	2050.0	2000.0	2034.0	93.75	4.41
CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	1	1	767.25	801.0	801.0	801.0	767.25	0.0	0.0
CEYLON COLD STORES PLC	CCS.N0000	0	77	44.2	44.0	45.8	43.6	44.7	0.5	1.13
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	71	106.25	107.0	107.0	105.0	106.25	0.0	0.0
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	0	8	70.0	71.0	71.0	69.9	70.0	0.0	0.0
CEYLON HOSPITALS PLC	CHL.N0000	0	16	131.25	133.0	139.75	130.0	131.5	0.25	0.19
