name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	0	11	166.0	165.5	165.5	161.0	162.5	3.5	2.11
ABANS FINANCE PLC	AFSL.N0000	0	18	24.1	24.8	25.0	24.5	25.0	0.9	3.73
ACCESS ENGINEERING PLC	AEL.N0000	0	476	22.5	22.5	23.8	22.5	23.3	0.8	3.56
ACL CABLES PLC	ACL.N0000	0	497	40.4	40.5	41.9	40.2	40.7	0.3	0.74
ACL PLASTICS PLC	APLA.N0000	0	36	260.0	260.0	260.0	258.0	259.5	0.5	0.19
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	70	7.0	6.8	6.9	6.5	6.5	0.5	7.14
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	0	26	28.4	27.6	27.9	27.0	27.1	1.3	4.58
AGSTAR PLC	AGST.N0000	0	101	7.6	7.7	7.9	7.4	7.8	0.2	2.63
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	21	30.1	30.1	31.0	30.0	30.1	0.0	0.0
AITKEN SPENCE PLC	SPEN.N0000	0	57	65.0	65.0	66.0	65.0	65.0	0.0	0.0
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	88	63.0	63.0	63.0	61.0	61.1	1.9	3.02
ALUMEX PLC	ALUM.N0000	0	233	12.5	12.4	12.6	12.0	12.3	0.2	1.6
AMANA BANK PLC	ABL.N0000	0	150	3.3	3.3	3.3	3.1	3.2	0.1	3.03
AMANA TAKAFUL  PLC	ATL.N0000	0	26	8.8	8.8	8.8	8.5	8.5	0.3	3.41
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	10	8.2	10.0	10.0	9.0	10.0	1.8	21.95
AMBEON CAPITAL PLC	TAP.N0000	0	378	22.5	23.0	23.0	19.0	19.5	3.0	13.33
AMBEON HOLDINGS PLC	GREG.N0000	0	740	48.9	52.0	53.7	47.0	48.1	0.8	1.64
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	119	1.0	1.0	1.1	1.0	1.0	0.0	0.0
ARPICO INSURANCE PLC	AINS.N0000	684	7	21.5	21.7	21.7	21.5	21.6	0.1	0.47
ASIA ASSET FINANCE PLC	AAF.N0000	0	31	7.5	7.7	7.7	7.1	7.1	0.4	5.33
ASIA CAPITAL PLC	ACAP.N0000	0	279	5.4	5.5	6.7	5.4	6.3	0.9	16.67
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	25	3.3	3.2	3.3	3.2	3.2	0.1	3.03
ASIAN HOTELS & PROPERTIES PLC	AHPL.N0000	238	8	39.7	39.5	40.0	36.6	39.9	0.2	0.5
ASIRI  SURGICAL HOSPITAL PLC	AMSL.N0000	0	12	14.8	14.9	15.2	14.6	15.0	0.2	1.35
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	56	30.5	30.6	30.7	29.8	29.9	0.6	1.97
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	241	198.0	197.0	197.25	190.0	190.75	7.25	3.66
B P P L HOLDINGS PLC	BPPL.N0000	0	113	24.1	24.6	24.9	23.0	23.6	0.5	2.07
BAIRAHA FARMS PLC	BFL.N0000	0	117	149.75	148.5	150.0	145.5	146.0	3.75	2.5
BALANGODA PLANTATIONS PLC	BALA.N0000	0	94	19.9	19.0	20.5	18.6	19.9	0.0	0.0
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	8	10.0	9.5	10.1	9.1	10.0	0.0	0.0
BERUWALA RESORTS PLC	BERU.N0000	0	16	0.8	0.9	0.9	0.8	0.8	0.0	0.0
BIMPUTH FINANCE PLC	BLI.N0000	0	10	8.2	8.3	8.3	7.7	7.8	0.4	4.88
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	19	0.9	0.8	0.9	0.8	0.9	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	7	0.4	0.4	0.4	0.4	0.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	300	63.9	64.0	64.0	52.7	56.9	7.0	10.95
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	23	11.4	11.4	11.4	10.8	11.4	0.0	0.0
BROWN & COMPANY PLC	BRWN.N0000	0	0	177.75	180.0	205.0	175.0	193.25	15.5	8.72
BROWNS BEACH HOTELS PLC	BBH.N0000	0	19	9.7	9.6	10.0	9.5	9.8	0.1	1.03
BROWNS INVESTMENTS PLC	BIL.N0000	0	0	7.7	8.0	9.6	8.0	9.5	1.8	23.38
BUKIT DARAH PLC	BUKI.N0000	0	290	310.0	313.0	345.0	307.0	332.0	22.0	7.1
C M HOLDINGS PLC	COLO.N0000	0	41	92.4	92.4	95.5	89.0	90.0	2.4	2.6
C T HOLDINGS PLC	CTHR.N0000	0	3	184.0	184.0	184.0	183.0	183.0	1.0	0.54
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	15	27.2	28.3	28.3	27.4	28.2	1.0	3.68
C. W. MACKIE PLC	CWM.N0000	0	45	56.0	56.0	57.4	56.0	56.0	0.0	0.0
CARGILLS (CEYLON) PLC	CARG.N0000	0	31	236.75	237.0	238.0	235.0	235.0	1.75	0.74
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	19	63.5	64.5	65.0	63.5	64.0	0.5	0.79
CARSON CUMBERBATCH PLC	CARS.N0000	0	39	281.25	280.0	292.0	280.0	288.0	6.75	2.4
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	101	85.5	85.0	85.2	82.9	83.1	2.4	2.81
CENTRAL INDUSTRIES PLC	CIND.N0000	0	119	102.25	101.5	104.25	101.0	102.0	0.25	0.24
CEYLINCO INSURANCE PLC	CINS.N0000	62	3	2000.0	1960.0	1980.0	1960.0	2000.0	0.0	0.0
CEYLINCO INSURANCE PLC	CINS.X0000	0	29	976.5	975.0	975.0	967.75	973.0	3.5	0.36
CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	53	4	809.0	804.0	804.0	781.0	809.0	0.0	0.0
CEYLON COLD STORES PLC	CCS.N0000	420	35	618.75	611.0	620.0	610.0	613.75	5.0	0.81
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	278	125.0	124.5	125.0	123.5	124.25	0.75	0.6
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	0	33	99.9	102.0	102.0	97.6	99.5	0.4	0.4
CEYLON HOSPITALS PLC (DURDANS)	CHL.N0000	127	4	106.0	107.75	107.75	104.5	104.5	1.5	1.42
CEYLON HOSPITALS PLC (DURDANS)	CHL.X0000	420	3	96.6	93.6	98.1	93.6	98.0	1.4	1.45
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	616	7	12.6	12.4	12.4	11.5	11.6	1.0	7.94
CEYLON INVESTMENT PLC	CINV.N0000	0	153	55.7	56.0	56.0	53.3	53.8	1.9	3.41
