name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	0	6	174.5	174.5	179.25	173.0	179.25	4.75	2.72
ABANS FINANCE PLC	AFSL.N0000	0	13	29.1	29.8	29.9	29.0	29.5	0.4	1.37
ACCESS ENGINEERING PLC	AEL.N0000	0	272	23.1	23.0	23.3	22.8	22.9	0.2	0.87
ACL CABLES PLC	ACL.N0000	0	429	41.9	41.5	42.4	40.8	42.1	0.2	0.48
ACL PLASTICS PLC	APLA.N0000	0	30	268.75	275.0	275.0	258.0	263.5	5.25	1.95
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	15	6.4	6.4	6.5	6.4	6.4	0.0	0.0
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	0	6	26.1	25.6	26.2	25.6	26.2	0.1	0.38
AGSTAR PLC	AGST.N0000	0	81	7.6	7.6	8.1	7.6	8.0	0.4	5.26
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	9	32.5	32.8	32.8	31.5	31.6	0.9	2.77
AITKEN SPENCE PLC	SPEN.N0000	0	53	68.0	66.0	68.7	65.5	67.9	0.1	0.15
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	32	70.1	71.9	72.5	70.2	71.3	1.2	1.71
ALUMEX PLC	ALUM.N0000	0	238	14.2	14.5	15.0	14.3	14.5	0.3	2.11
AMANA BANK PLC	ABL.N0000	0	65	3.1	3.1	3.3	3.1	3.2	0.1	3.23
AMANA TAKAFUL  PLC	ATL.N0000	0	5	8.6	8.6	8.7	8.5	8.5	0.1	1.16
AMBEON CAPITAL PLC	TAP.N0000	0	119	7.3	7.3	7.6	7.1	7.4	0.1	1.37
AMBEON HOLDINGS PLC	GREG.N0000	0	200	27.6	27.3	28.9	27.1	28.4	0.8	2.9
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	15	1.1	1.1	1.2	1.1	1.1	0.0	0.0
ARPICO INSURANCE PLC	AINS.N0000	0	13	22.2	22.4	22.5	21.6	22.4	0.2	0.9
ASIA ASSET FINANCE PLC	AAF.N0000	0	9	7.7	7.7	7.8	7.7	7.7	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	17	5.6	6.0	6.0	5.7	5.7	0.1	1.79
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	119	3.3	3.3	3.6	3.3	3.5	0.2	6.06
ASIAN HOTELS & PROPERTIES PLC	AHPL.N0000	0	5	41.2	41.0	41.0	39.2	40.2	1.0	2.43
ASIRI  SURGICAL HOSPITAL PLC	AMSL.N0000	0	14	14.9	14.9	14.9	14.8	14.9	0.0	0.0
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	13	29.0	29.2	29.5	28.9	29.0	0.0	0.0
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	123	214.75	219.5	219.5	201.0	212.0	2.75	1.28
B P P L HOLDINGS PLC	BPPL.N0000	0	73	19.4	19.4	20.0	19.3	19.6	0.2	1.03
BAIRAHA FARMS PLC	BFL.N0000	0	133	165.5	165.75	167.0	162.0	164.0	1.5	0.91
BALANGODA PLANTATIONS PLC	BALA.N0000	697	15	14.9	15.0	16.5	15.0	15.8	0.9	6.04
BERUWALA RESORTS PLC	BERU.N0000	0	22	1.0	1.0	1.0	0.9	0.9	0.1	10.0
BIMPUTH FINANCE PLC	BLI.N0000	525	4	8.8	8.9	9.1	8.9	8.9	0.1	1.14
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	17	0.8	0.8	0.8	0.7	0.8	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	6	0.4	0.4	0.5	0.4	0.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	0	60.2	58.1	71.9	51.0	67.5	7.3	12.13
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	811	4	11.6	11.5	11.7	11.5	11.7	0.1	0.86
BROWN & COMPANY PLC	BRWN.N0000	0	105	185.0	184.0	189.0	183.0	184.0	1.0	0.54
BROWNS BEACH HOTELS PLC	BBH.N0000	0	16	10.0	10.4	10.4	10.0	10.2	0.2	2.0
BROWNS INVESTMENTS PLC	BIL.N0000	0	0	6.7	6.8	6.9	6.6	6.8	0.1	1.49
BUKIT DARAH PLC	BUKI.N0000	0	32	299.0	299.0	304.0	296.0	301.75	2.75	0.92
C M HOLDINGS PLC	COLO.N0000	0	37	98.7	101.75	104.0	99.0	103.5	4.8	4.86
C T HOLDINGS PLC	CTHR.N0000	0	3	185.0	185.0	185.0	185.0	185.0	0.0	0.0
C T LAND DEVELOPMENT PLC	CTLD.N0000	140	8	26.2	26.2	26.2	25.6	25.7	0.5	1.91
C. W. MACKIE PLC	CWM.N0000	0	63	69.9	70.1	70.3	69.7	70.1	0.2	0.29
CARGILLS (CEYLON) PLC	CARG.N0000	0	8	240.5	243.75	243.75	240.5	241.0	0.5	0.21
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	34	71.3	71.1	73.5	70.0	71.9	0.6	0.84
CARSON CUMBERBATCH PLC	CARS.N0000	0	25	290.25	290.25	299.75	290.0	290.0	0.25	0.09
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	83	90.0	91.0	91.0	88.5	89.0	1.0	1.11
CENTRAL INDUSTRIES PLC	CIND.N0000	0	45	112.5	112.25	113.25	112.25	112.25	0.25	0.22
CEYLINCO INSURANCE PLC	CINS.X0000	212	16	1020.0	1019.0	1019.0	1000.0	1008.25	11.75	1.15
CEYLINCO INSURANCE PLC	CINS.N0000	54	12	2017.0	1960.75	1970.25	1960.5	2017.0	0.0	0.0
CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	149	27	881.5	830.0	870.0	806.0	809.0	72.5	8.22
CEYLON COLD STORES PLC	CCS.N0000	0	29	658.75	643.0	643.0	630.25	640.75	18.0	2.73
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	178	141.0	140.0	142.0	142.0	142.25	1.25	0.89
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	0	39	113.0	111.0	114.5	111.0	111.0	2.0	1.77
CEYLON HOSPITALS PLC (DURDANS)	CHL.N0000	425	4	107.0	106.0	106.75	106.0	106.0	1.0	0.93
CEYLON HOSPITALS PLC (DURDANS)	CHL.X0000	637	6	99.0	98.3	99.0	92.2	99.0	0.0	0.0
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	0	16	13.6	13.2	13.5	13.2	13.3	0.3	2.21
CEYLON INVESTMENT PLC	CINV.N0000	0	35	61.0	59.0	63.7	59.0	61.6	0.6	0.98
CEYLON TEA BROKERS PLC	CTBL.N0000	0	44	4.0	4.0	4.2	4.0	4.1	0.1	2.5
CEYLON TOBACCO COMPANY PLC	CTC.N0000	0	80	958.25	960.0	960.0	955.0	957.25	1.0	0.1
CHEMANEX PLC	CHMX.N0000	126	3	79.5	79.2	79.5	79.2	79.4	0.1	0.13
CHEVRON LUBRICANTS LANKA PLC	LLUB.N0000	0	338	112.25	112.75	121.0	112.5	117.0	4.75	4.23
CHRISSWORLD LIMITED	CWL.N0000	0	41	13.1	13.0	13.5	12.9	13.2	0.1	0.76
CIC HOLDINGS PLC	CIC.X0000	0	361	43.0	43.0	46.4	43.0	45.3	2.3	5.35
CIC HOLDINGS PLC	CIC.N0000	0	544	51.8	52.5	55.5	52.0	54.2	2.4	4.63
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	0	76	133.25	131.0	148.25	131.0	146.75	13.5	10.13
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	0	79	91.2	91.0	92.0	88.8	90.9	0.3	0.33
CITRUS LEISURE  PLC	REEF.N0000	0	28	10.2	10.2	10.2	10.0	10.1	0.1	0.98
COLOMBO CITY HOLDINGS PLC	PHAR.N0000	0	27	1194.25	1050.0	1225.0	1050.0	1167.25	27.0	2.26
