name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	812	5	178.0	174.0	174.0	173.75	174.0	4.0	2.25
ABANS FINANCE PLC	AFSL.N0000	520	4	22.7	25.5	25.5	25.5	25.5	2.8	12.33
ACCESS ENGINEERING PLC	AEL.N0000	0	152	12.8	12.8	13.0	12.6	12.7	0.1	0.78
ACL CABLES PLC	ACL.N0000	0	90	48.4	49.9	49.9	47.1	47.8	0.6	1.24
ACL PLASTICS PLC	APLA.N0000	566	29	355.75	370.0	370.0	332.75	351.75	4.0	1.12
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	14	11.6	10.5	14.0	10.0	10.7	0.9	7.76
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	100	33.1	34.2	34.2	31.5	32.0	1.1	3.32
AGSTAR PLC	AGST.N0000	0	96	7.0	7.0	7.5	6.8	7.1	0.1	1.43
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	13	33.2	31.1	33.0	31.1	31.9	1.3	3.92
AITKEN SPENCE PLC	SPEN.N0000	0	24	76.8	77.0	78.5	75.0	78.4	1.6	2.08
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	53	53.5	54.0	54.0	50.0	50.2	3.3	6.17
ALUMEX PLC	ALUM.N0000	0	53	6.9	7.0	7.1	6.9	7.0	0.1	1.45
AMANA BANK PLC	ABL.N0000	0	28	2.8	2.9	2.9	2.6	2.7	0.1	3.57
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	12	30.9	30.5	36.5	30.5	34.6	3.7	11.97
AMANA TAKAFUL PLC	ATL.N0000	0	5	10.5	10.7	11.0	10.5	11.0	0.5	4.76
AMBEON CAPITAL PLC	TAP.N0000	0	9	7.1	7.5	7.5	6.8	6.8	0.3	4.23
AMBEON HOLDINGS PLC	GREG.N0000	0	21	40.8	37.8	40.5	37.7	40.0	0.8	1.96
ARPICO INSURANCE PLC	AINS.N0000	100	1	17.9	18.0	18.0	18.0	18.0	0.1	0.56
