ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1691466480.0	ABANS ELECTRICALS PLC	ABAN.N0000	2665	29	154.25	150.0	159.75	150.0	154.75
1691466480.0	ABANS FINANCE PLC	AFSL.N0000	50	1	23.3	23.5	23.5	23.5	23.3
1691466480.0	ACCESS ENGINEERING PLC	AEL.N0000	224984	81	17.7	17.7	17.8	17.5	17.6
1691466480.0	ACL CABLES PLC	ACL.N0000	416361	428	76.7	78.0	79.0	77.7	78.7
1691466480.0	ACL PLASTICS PLC	APLA.N0000	1428	32	418.0	419.75	427.75	416.5	417.0
1691466480.0	ACME PRINTING & PACKAGING PLC	ACME.N0000	1260	3	7.0	7.0	7.0	6.7	6.8
1691466480.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	85995	63	36.3	36.3	37.0	35.7	36.3
1691466480.0	AGSTAR PLC	AGST.N0000	316743	128	10.8	10.7	10.8	10.5	10.7
1691466480.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	17206	39	74.0	73.0	74.0	71.6	73.7
1691466480.0	AITKEN SPENCE PLC	SPEN.N0000	382932	475	149.0	144.75	152.0	144.75	151.0
1691466480.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	24715	41	90.7	90.2	91.3	89.3	90.0
1691466480.0	ALPHA FIRE SERVICES PLC	AFS.N0000	1171	6	41.2	41.3	41.7	40.2	40.4
1691466480.0	ALUMEX PLC	ALUM.N0000	113972	73	8.9	8.8	9.0	8.8	8.8
1691466480.0	AMANA BANK PLC	ABL.N0000	308443	48	2.4	2.5	2.5	2.4	2.4
1691466480.0	AMANA TAKAFUL PLC	ATL.N0000	1200	3	12.0	11.6	11.6	11.4	11.4
1691466480.0	AMBEON CAPITAL PLC	TAP.N0000	569574	112	9.8	9.8	9.8	9.6	9.7
1691466480.0	AMBEON HOLDINGS PLC	GREG.N0000	12800	14	36.2	36.2	37.1	36.2	36.7
1691466480.0	ARPICO INSURANCE PLC	AINS.N0000	61167	14	23.4	23.5	23.7	23.2	23.7
1691466480.0	ASIA ASSET FINANCE PLC	AAF.N0000	452	10	13.5	13.7	13.7	12.6	13.1
1691466480.0	ASIA CAPITAL PLC	ACAP.N0000	21823	23	4.0	4.0	4.1	4.0	4.0
1691466480.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	91062	37	4.5	4.5	4.5	4.2	4.3
1691466480.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	148549	105	49.9	49.9	54.0	49.0	53.2
1691466480.0	ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	5931	16	26.0	26.1	26.1	24.7	25.1
1691466480.0	ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	22136	13	13.2	13.2	13.2	13.1	13.2
1691466480.0	ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	285319	44	10.9	11.0	11.0	10.4	10.5
1691466480.0	B P P L HOLDINGS PLC	BPPL.N0000	26470	19	23.2	23.2	23.3	22.8	22.9
1691466480.0	BAIRAHA FARMS PLC	BFL.N0000	114574	135	160.0	161.75	167.0	160.0	164.75
1691466480.0	BALANGODA  PLANTATIONS  PLC	BALA.N0000	14734	38	66.7	66.5	66.7	64.9	65.0
1691466480.0	BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	5532	9	11.0	11.5	12.1	10.7	12.1
1691466480.0	BERUWALA RESORTS PLC	BERU.N0000	5081	28	1.4	1.5	1.5	1.4	1.5
1691466480.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	1043894	27	0.5	0.5	0.5	0.4	0.4
1691466480.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	115000	7	0.3	0.3	0.3	0.3	0.3
1691466480.0	BOGALA GRAPHITE LANKA PLC	BOGA.N0000	18587	41	55.6	56.0	56.0	55.0	55.1
1691466480.0	BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	11100	19	50.0	47.6	50.0	47.6	47.7
1691466480.0	BROWN & COMPANY PLC	BRWN.N0000	10388	55	140.25	142.0	142.0	132.0	136.5
1691466480.0	BROWNS BEACH HOTELS PLC	BBH.N0000	1516	10	14.8	14.7	15.3	14.7	15.2
1691466480.0	BROWNS INVESTMENTS PLC	BIL.N0000	4094955	351	6.5	6.5	6.6	6.4	6.5
1691466480.0	BUKIT DARAH PLC	BUKI.N0000	233	10	420.25	419.75	421.0	410.0	419.75
1691466480.0	C I C HOLDINGS PLC	CIC.N0000	503126	262	71.8	71.8	75.0	71.3	75.0
1691466480.0	C I C HOLDINGS PLC	CIC.X0000	2181150	444	56.2	56.0	58.5	55.5	58.0
1691466480.0	C M HOLDINGS PLC	COLO.N0000	1334	23	90.8	90.7	90.7	84.7	85.2
1691466480.0	C T HOLDINGS PLC	CTHR.N0000	1	1	217.75	191.0	191.0	191.0	217.75
1691466480.0	C T LAND DEVELOPMENT PLC	CTLD.N0000	1001	2	25.5	25.0	25.0	24.0	25.0
1691466480.0	C. W. MACKIE PLC	CWM.N0000	7278	104	94.9	94.9	95.0	94.3	94.9
1691466480.0	CAPITAL ALLIANCE PLC	CALT.N0000	1192425	814	54.5	56.0	57.5	54.5	56.1
1691466480.0	CARGILLS (CEYLON) PLC	CARG.N0000	37	3	310.0	305.0	312.0	305.0	310.0
1691466480.0	CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	9885	11	54.0	54.0	54.4	53.8	53.8
