ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1690170900.0	ABANS ELECTRICALS PLC	ABAN.N0000	448	15	158.75	154.5	156.25	153.0	153.5
1690170900.0	ABANS FINANCE PLC	AFSL.N0000	4631	7	25.6	25.6	25.6	25.2	25.2
1690170900.0	ACCESS ENGINEERING PLC	AEL.N0000	215771	137	18.5	18.4	18.4	18.0	18.2
1690170900.0	ACL CABLES PLC	ACL.N0000	206138	326	84.8	85.0	85.0	82.4	82.6
1690170900.0	ACL PLASTICS PLC	APLA.N0000	768	11	402.0	410.0	410.0	403.5	404.0
1690170900.0	ACME PRINTING & PACKAGING PLC	ACME.N0000	555384	163	6.5	6.8	7.3	6.8	6.9
1690170900.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	49534	71	36.1	36.4	36.4	35.5	35.7
1690170900.0	AGSTAR PLC	AGST.N0000	995982	226	11.6	11.7	11.7	11.3	11.4
1690170900.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	69983	47	69.0	68.5	69.4	68.5	69.0
1690170900.0	AITKEN SPENCE PLC	SPEN.N0000	1036451	165	149.0	148.0	150.0	148.0	149.75
1690170900.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	24952	47	80.6	80.4	81.9	79.0	79.9
1690170900.0	ALPHA FIRE SERVICES PLC	AFS.N0000	2474	19	42.7	41.2	41.2	40.0	40.2
1690170900.0	ALUMEX PLC	ALUM.N0000	259087	63	10.0	10.0	10.0	9.8	9.8
1690170900.0	AMANA BANK PLC	ABL.N0000	1590411	145	2.5	2.5	2.6	2.5	2.5
1690170900.0	AMANA TAKAFUL LIFE PLC	ATLL.N0000	308	9	31.0	32.0	32.0	30.6	31.6
1690170900.0	AMANA TAKAFUL PLC	ATL.N0000	121117	15	11.4	11.1	12.0	11.1	12.0
1690170900.0	AMBEON CAPITAL PLC	TAP.N0000	30204	39	9.9	10.0	10.1	9.8	10.0
1690170900.0	AMBEON HOLDINGS PLC	GREG.N0000	1001	4	35.8	36.7	36.7	36.6	36.6
1690170900.0	ASIA ASSET FINANCE PLC	AAF.N0000	202612	53	12.0	12.0	12.4	12.0	12.2
1690170900.0	ASIA CAPITAL PLC	ACAP.N0000	60213	14	4.2	4.1	4.3	4.1	4.1
1690170900.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	572862	68	4.5	4.6	4.7	4.4	4.6
1690170900.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	697029	89	43.6	43.0	47.4	43.0	45.0
1690170900.0	ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	6765	28	25.0	24.5	25.4	24.5	25.0
1690170900.0	ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	11437	23	12.9	13.0	13.0	12.7	12.9
1690170900.0	ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	192648	40	10.5	10.5	10.5	10.0	10.1
1690170900.0	B P P L HOLDINGS PLC	BPPL.N0000	9	1	22.8	22.7	22.7	22.7	22.8
1690170900.0	BAIRAHA FARMS PLC	BFL.N0000	9617	45	157.5	157.5	160.0	157.5	158.0
1690170900.0	BALANGODA  PLANTATIONS  PLC	BALA.N0000	13651	37	67.9	68.2	68.3	67.0	67.3
1690170900.0	BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	5171	12	11.2	10.6	11.3	10.2	10.3
1690170900.0	BERUWALA RESORTS PLC	BERU.N0000	571969	60	1.4	1.4	1.6	1.4	1.5
1690170900.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	317560	24	0.5	0.4	0.5	0.4	0.5
1690170900.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	124900	10	0.4	0.4	0.4	0.3	0.4
1690170900.0	BOGALA GRAPHITE LANKA PLC	BOGA.N0000	15515	34	57.0	57.2	58.5	57.0	58.0
