ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1693453680.0	ABANS ELECTRICALS PLC	ABAN.N0000	60	1	155.0	157.5	157.5	157.5	155.0
1693453680.0	ABANS FINANCE PLC	AFSL.N0000	990	1	25.0	25.0	25.0	25.0	25.0
1693453680.0	ACCESS ENGINEERING PLC	AEL.N0000	264497	81	17.5	17.5	17.5	17.0	17.1
1693453680.0	ACL CABLES PLC	ACL.N0000	37085	50	75.3	75.2	76.0	75.2	75.9
1693453680.0	ACL PLASTICS PLC	APLA.N0000	55	2	374.75	379.5	379.5	379.5	374.75
1693453680.0	ACME PRINTING & PACKAGING PLC	ACME.N0000	117315	47	6.5	6.7	6.9	6.7	6.8
1693453680.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	119730	41	32.9	32.9	34.7	32.9	33.6
1693453680.0	AGSTAR PLC	AGST.N0000	809864	170	9.9	10.0	10.1	9.9	9.9
1693453680.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	2924	13	74.0	76.0	76.0	71.6	74.9
1693453680.0	AITKEN SPENCE PLC	SPEN.N0000	77401	18	149.0	145.75	147.0	145.75	146.75
1693453680.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	6433	55	102.5	104.0	104.0	100.25	101.0
1693453680.0	ALUMEX PLC	ALUM.N0000	129935	45	9.1	9.3	9.3	9.0	9.0
1693453680.0	AMANA BANK PLC	ABL.N0000	216501	55	2.3	2.3	2.5	2.3	2.4
1693453680.0	AMANA TAKAFUL LIFE PLC	ATLL.N0000	4	1	30.5	30.5	30.5	30.5	30.5
1693453680.0	AMANA TAKAFUL PLC	ATL.N0000	4151	6	12.2	11.8	12.3	11.8	12.3
1693453680.0	AMBEON CAPITAL PLC	TAP.N0000	366704	57	9.3	9.4	9.4	9.2	9.4
1693453680.0	AMBEON HOLDINGS PLC	GREG.N0000	15545	45	36.6	35.4	36.0	34.8	35.8
1693453680.0	ARPICO INSURANCE PLC	AINS.N0000	50	2	24.0	25.0	25.0	24.2	24.0
1693453680.0	ASIA ASSET FINANCE PLC	AAF.N0000	41734	14	13.1	13.1	13.2	13.1	13.1
1693453680.0	ASIA CAPITAL PLC	ACAP.N0000	17375	18	4.0	4.0	4.0	3.8	3.8
1693453680.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	83546	25	4.1	4.1	4.2	4.1	4.1
1693453680.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	2238920	144	53.8	54.2	54.8	53.7	54.1
1693453680.0	ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	11146	12	12.9	13.2	13.2	12.8	12.8
1693453680.0	ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	118466	34	11.9	11.9	11.9	11.5	11.7
1693453680.0	B P P L HOLDINGS PLC	BPPL.N0000	25000	7	20.0	20.1	20.1	20.0	20.0
1693453680.0	BAIRAHA FARMS PLC	BFL.N0000	3442	37	190.5	190.0	190.0	187.5	189.25
1693453680.0	BALANGODA  PLANTATIONS  PLC	BALA.N0000	15627	29	58.4	58.5	62.0	58.4	61.4
1693453680.0	BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	912	8	13.2	12.5	13.2	12.5	12.7
1693453680.0	BERUWALA RESORTS PLC	BERU.N0000	49024	8	1.5	1.5	1.5	1.4	1.5
1693453680.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	153852	28	0.5	0.5	0.5	0.4	0.4
1693453680.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	327	3	0.3	0.4	0.4	0.3	0.3
1693453680.0	BOGALA GRAPHITE LANKA PLC	BOGA.N0000	1140	10	51.5	52.9	52.9	51.5	52.5
1693453680.0	BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	120	3	43.5	44.9	44.9	44.0	44.0
1693453680.0	BROWN & COMPANY PLC	BRWN.N0000	1424	18	122.0	125.0	125.0	121.5	122.25
1693453680.0	BROWNS BEACH HOTELS PLC	BBH.N0000	17000	9	15.3	15.5	15.5	15.3	15.4
1693453680.0	BROWNS INVESTMENTS PLC	BIL.N0000	4527913	388	5.8	5.8	5.9	5.6	5.7
1693453680.0	BUKIT DARAH PLC	BUKI.N0000	12	3	394.75	420.5	423.75	419.0	394.75
1693453680.0	C I C HOLDINGS PLC	CIC.X0000	483209	90	55.0	55.5	55.5	54.5	55.0
1693453680.0	C I C HOLDINGS PLC	CIC.N0000	1007097	81	71.1	71.0	73.0	70.0	70.0
1693453680.0	C M HOLDINGS PLC	COLO.N0000	301	6	88.3	85.2	85.2	83.5	84.6
1693453680.0	C T HOLDINGS PLC	CTHR.N0000	1014	7	207.25	217.5	220.0	217.0	217.5
1693453680.0	C T LAND DEVELOPMENT PLC	CTLD.N0000	1855	3	27.8	27.8	28.0	27.8	27.8
1693453680.0	C. W. MACKIE PLC	CWM.N0000	2801	22	95.1	95.0	95.5	94.0	94.7
1693453680.0	CAPITAL ALLIANCE PLC	CALT.N0000	457004	671	81.7	82.0	83.0	80.7	82.0
1693453680.0	CARGILLS (CEYLON) PLC	CARG.N0000	431	20	334.75	335.0	340.0	331.0	338.0
1693453680.0	CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	6273	34	58.3	55.5	57.7	55.0	57.0
1693453680.0	CARSON CUMBERBATCH PLC	CARS.N0000	118	8	265.5	279.25	279.25	279.25	279.25
1693453680.0	CENTRAL FINANCE COMPANY PLC	CFIN.N0000	65796	53	119.25	118.0	120.0	118.0	118.0
1693453680.0	CENTRAL INDUSTRIES PLC	CIND.N0000	37632	47	105.25	106.5	107.75	103.5	104.0
1693453680.0	CEYLINCO INSURANCE PLC	CINS.X0000	1735	39	900.0	900.0	900.0	875.0	875.5
1693453680.0	CEYLINCO INSURANCE PLC	CINS.N0000	40	7	2206.0	2555.0	2555.25	2400.0	2206.0
1693453680.0	CEYLON COLD STORES PLC	CCS.N0000	39489	45	47.3	48.0	48.0	46.6	47.0
1693453680.0	CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	96705	233	170.5	170.25	172.0	168.0	170.25
1693453680.0	CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	9679	14	102.5	102.5	104.0	102.25	102.25
1693453680.0	CEYLON HOTELS CORPORATION PLC	CHOT.N0000	117182	73	23.1	23.1	23.7	23.1	23.3
1693453680.0	CEYLON INVESTMENT PLC	CINV.N0000	11553	20	59.8	59.7	59.8	58.6	58.9
1693453680.0	CEYLON PRINTERS PLC	CPRT.N0000	158	13	140.25	149.5	149.75	120.0	149.0
1693453680.0	CEYLON TEA BROKERS PLC	CTBL.N0000	82708	21	4.9	5.0	5.0	4.8	4.8
1693453680.0	CEYLON TOBACCO COMPANY PLC	CTC.N0000	1263	21	996.0	998.0	998.0	995.0	995.5
1693453680.0	CHEMANEX PLC	CHMX.N0000	1200	4	86.1	84.7	85.0	84.7	84.9
1693453680.0	CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	101062	38	93.2	92.5	94.5	92.5	93.3
1693453680.0	CHRISSWORLD PLC	CWL.N0000	44195	36	10.3	10.2	10.2	10.0	10.0
1693453680.0	CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	40	2	190.0	192.0	192.0	192.0	190.0
1693453680.0	CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	32	2	81.9	84.8	84.8	83.9	81.9
1693453680.0	CITRUS LEISURE PLC	REEF.N0000	473052	161	7.1	7.4	7.8	7.0	7.5
1693453680.0	Co-operative Insurance Company PLC	COOP.N0000	614195	50	3.1	3.2	3.2	3.0	3.1
1693453680.0	COLOMBO CITY HOLDINGS PLC	PHAR.N0000	599	8	46.6	48.3	48.4	46.7	46.7
1693453680.0	COLOMBO DOCKYARD PLC	DOCK.N0000	1934	21	58.0	58.0	58.0	57.0	57.2
1693453680.0	COLOMBO LAND AND DEVELOPMENT COMPANY PLC	CLND.N0000	5821	25	18.0	18.0	18.9	17.9	18.2
1693453680.0	COMMERCIAL BANK OF CEYLON PLC	COMB.N0000	47446	79	87.0	87.4	87.9	86.5	86.6
1693453680.0	COMMERCIAL BANK OF CEYLON PLC	COMB.X0000	18188	37	77.7	77.5	77.8	77.3	77.3
1693453680.0	COMMERCIAL CREDIT AND FINANCE PLC	COCR.N0000	252162	239	36.4	36.0	36.7	35.0	35.1
1693453680.0	CONVENIENCE FOODS LANKA PLC	SOY.N0000	58	7	1000.5	1030.0	1030.0	998.25	1000.5
1693453680.0	DANKOTUWA PORCELAIN PLC	DPL.N0000	28176	16	27.2	27.0	27.4	26.6	26.8
1693453680.0	DFCC BANK PLC	DFCC.N0000	125215	76	88.4	88.0	89.0	86.0	86.5
1693453680.0	DIALOG AXIATA PLC	DIAL.N0000	317873	43	11.4	11.5	11.5	11.4	11.5
1693453680.0	DIALOG FINANCE PLC	CALF.N0000	13297	43	60.4	60.5	60.5	60.0	60.0
1693453680.0	DIESEL & MOTOR ENGINEERING PLC	DIMO.N0000	234	15	562.25	564.0	564.0	560.0	560.75
1693453680.0	DILMAH CEYLON TEA COMPANY PLC	CTEA.N0000	31	4	999.5	1010.0	1048.75	1010.0	999.5
1693453680.0	DIPPED PRODUCTS PLC	DIPD.N0000	160018	122	31.6	31.7	31.8	31.2	31.3
1693453680.0	DISTILLERIES COMPANY OF SRI LANKA PLC	DIST.N0000	219336	101	25.7	25.8	26.0	25.4	25.9
1693453680.0	DOLPHIN HOTELS PLC	STAF.N0000	14716	19	36.7	37.8	38.0	37.7	38.0
1693453680.0	E - CHANNELLING PLC	ECL.N0000	45460	36	15.0	15.0	15.0	14.0	14.4
1693453680.0	E B CREASY & COMPANY PLC	EBCR.N0000	13202	16	24.5	25.0	25.0	24.0	24.0
1693453680.0	E M L CONSULTANTS PLC	EML.N0000	140279	37	4.0	3.9	4.1	3.9	4.0
1693453680.0	EAST WEST PROPERTIES PLC	EAST.N0000	26696	12	8.4	8.5	8.5	8.3	8.3
1693453680.0	EASTERN MERCHANTS PLC	EMER.N0000	326	3	8.1	8.1	8.4	8.1	8.1
1693453680.0	EDEN HOTEL LANKA PLC	EDEN.N0000	538028	156	14.3	14.3	14.6	14.2	14.2
1693453680.0	ELPITIYA PLANTATIONS PLC	ELPL.N0000	6299	59	89.7	92.0	93.0	89.6	92.6
1693453680.0	EQUITY TWO PLC	ETWO.N0000	2	1	40.5	41.9	41.9	41.9	40.5
1693453680.0	Ex-pack Corrugated Cartons PLC	PACK.N0000	34407	68	13.0	13.2	13.4	13.1	13.2
1693453680.0	EXPOLANKA HOLDINGS PLC	EXPO.N0000	82428	199	136.25	137.0	139.75	136.25	138.0
1693453680.0	EXTERMINATORS PLC	EXT.N0000	2261	6	8.6	8.5	8.5	8.0	8.0
1693453680.0	FIRST CAPITAL HOLDINGS PLC	CFVF.N0000	180649	186	51.6	52.0	52.3	50.7	51.0
1693453680.0	First Capital Treasuries PLC	FCT.N0000	246178	200	39.9	40.3	40.3	37.7	38.1
1693453680.0	GALADARI HOTELS (LANKA) PLC	GHLL.N0000	228048	142	18.0	18.0	18.2	17.8	18.1
1693453680.0	GALLE FACE CAPITAL PARTNERS PLC	WAPO.N0000	13860	96	35.9	35.9	37.4	35.3	36.0
1693453680.0	GESTETNER OF CEYLON PLC	GEST.N0000	125	2	111.25	109.0	112.75	109.0	112.0
1693453680.0	HAPUGASTENNE PLANTATIONS PLC	HAPU.N0000	1275	17	35.9	36.7	37.9	36.7	37.0
1693453680.0	HARISCHANDRA MILLS PLC	HARI.N0000	1	1	4000.0	4000.0	4000.0	4000.0	4000.0
1693453680.0	HATTON NATIONAL BANK PLC	HNB.X0000	58699	97	147.5	147.5	147.5	138.0	139.5
1693453680.0	HATTON NATIONAL BANK PLC	HNB.N0000	29431	71	172.5	171.25	173.5	169.0	169.5
1693453680.0	HATTON PLANTATIONS PLC	HPL.N0000	771016	30	25.9	26.3	26.9	26.3	26.5
1693453680.0	HAYCARB PLC	HAYC.N0000	67785	35	67.0	66.5	67.9	66.5	67.5
1693453680.0	HAYLEYS FABRIC PLC	MGT.N0000	422640	163	43.6	43.9	44.5	43.5	44.1
1693453680.0	HAYLEYS FIBRE PLC	HEXP.N0000	425	6	61.3	62.0	62.0	60.1	60.1
1693453680.0	HAYLEYS LEISURE PLC	CONN.N0000	21730	24	26.0	26.0	26.0	25.0	25.0
1693453680.0	HAYLEYS PLC	HAYL.N0000	662633	290	88.4	88.5	90.8	88.5	90.2
1693453680.0	HELA APPAREL HOLDINGS PLC	HELA.N0000	158534	56	6.2	6.4	6.4	6.2	6.4
1693453680.0	HEMAS HOLDINGS PLC	HHL.N0000	302654	72	79.8	79.8	81.0	79.8	80.9
1693453680.0	HIKKADUWA BEACH RESORT PLC	CITH.N0000	36446	21	6.0	6.1	6.1	5.8	6.0
1693453680.0	HNB ASSURANCE PLC	HASU.N0000	17635	19	57.0	57.0	58.0	57.0	57.2
