name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	700	13	170.5	170.5	178.75	167.0	168.0	2.5	1.47
ABANS FINANCE PLC	AFSL.N0000	40	2	21.2	23.9	23.9	23.7	21.2	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	176	13.0	13.0	13.2	12.5	12.6	0.4	3.08
ACL CABLES PLC	ACL.N0000	0	640	70.8	71.5	72.0	68.0	69.3	1.5	2.12
ACL PLASTICS PLC	APLA.N0000	0	40	455.0	464.75	470.0	445.5	450.25	4.75	1.04
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	106	6.1	6.3	6.4	5.9	6.0	0.1	1.64
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	0	37.5	37.4	46.0	37.4	44.1	6.6	17.6
AGSTAR PLC	AGST.N0000	0	931	14.1	15.0	15.4	13.8	14.1	0.0	0.0
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	227	47.4	48.5	51.5	47.5	50.9	3.5	7.38
AITKEN SPENCE PLC	SPEN.N0000	0	144	119.75	121.25	128.0	121.25	125.0	5.25	4.38
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	90	77.9	80.0	80.0	76.0	76.5	1.4	1.8
ALUMEX PLC	ALUM.N0000	0	155	7.8	7.9	7.9	7.4	7.5	0.3	3.85
AMANA BANK PLC	ABL.N0000	0	25	2.8	2.8	2.9	2.8	2.8	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	8	2	30.1	33.0	33.0	27.2	30.1	0.0	0.0
AMANA TAKAFUL PLC	ATL.N0000	0	9	9.5	9.5	9.6	9.4	9.4	0.1	1.05
AMBEON CAPITAL PLC	TAP.N0000	0	128	11.1	10.9	11.0	9.7	10.8	0.3	2.7
AMBEON HOLDINGS PLC	GREG.N0000	0	11	39.8	40.0	40.0	39.0	39.7	0.1	0.25
ARPICO INSURANCE PLC	AINS.N0000	0	7	17.2	18.7	18.7	16.3	16.4	0.8	4.65
ASIA ASSET FINANCE PLC	AAF.N0000	0	8	6.0	6.1	6.1	5.9	6.0	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	51	5.5	5.5	5.5	4.7	5.1	0.4	7.27
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	110	3.7	3.7	3.9	3.6	3.8	0.1	2.7
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	13	40.0	38.2	40.0	38.2	40.0	0.0	0.0
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	50	29.9	30.0	30.0	29.0	29.1	0.8	2.68
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	28	14.9	15.2	15.2	14.5	14.6	0.3	2.01
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	18	9.7	9.9	9.9	9.6	9.6	0.1	1.03
B P P L HOLDINGS PLC	BPPL.N0000	0	228	27.1	27.0	29.5	26.5	28.9	1.8	6.64
BAIRAHA FARMS PLC	BFL.N0000	0	77	185.0	185.0	185.0	178.25	179.25	5.75	3.11
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	378	96.4	102.0	107.5	96.5	100.0	3.6	3.73
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	8	10.8	11.7	11.7	10.8	11.5	0.7	6.48
BERUWALA RESORTS PLC	BERU.N0000	0	91	1.4	1.4	1.4	1.2	1.3	0.1	7.14
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	301	65.1	66.0	74.0	64.0	69.3	4.2	6.45
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	122	58.8	58.0	63.0	55.0	59.9	1.1	1.87
BROWN & COMPANY PLC	BRWN.N0000	0	209	172.0	173.0	174.0	167.5	168.75	3.25	1.89
BROWNS BEACH HOTELS PLC	BBH.N0000	0	24	12.1	12.3	12.3	11.6	12.0	0.1	0.83
BROWNS INVESTMENTS PLC	BIL.N0000	0	857	8.3	8.3	8.3	8.0	8.1	0.2	2.41
BUKIT DARAH PLC	BUKI.N0000	0	15	300.25	329.0	329.0	305.0	309.0	8.75	2.91
C I C HOLDINGS PLC	CIC.X0000	0	414	47.0	47.9	50.3	44.3	47.5	0.5	1.06
C I C HOLDINGS PLC	CIC.N0000	0	300	66.8	68.0	71.0	67.0	68.2	1.4	2.1
C T HOLDINGS PLC	CTHR.N0000	96	2	155.5	165.0	165.0	165.0	155.5	0.0	0.0
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	4	24.9	25.0	26.5	25.0	25.2	0.3	1.2
C. W. MACKIE PLC	CWM.N0000	0	57	70.3	70.0	71.2	70.0	70.9	0.6	0.85
CAPITAL ALLIANCE PLC	CALT.N0000	0	46	12.2	12.8	13.5	12.5	13.2	1.0	8.2
CARGILLS (CEYLON) PLC	CARG.N0000	0	14	172.75	174.0	185.0	170.0	170.75	2.0	1.16
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	7	45.6	47.7	48.0	45.7	47.3	1.7	3.73
CARSON CUMBERBATCH PLC	CARS.N0000	17	1	305.5	305.75	305.75	305.75	305.5	0.0	0.0
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	6	65.3	65.3	66.5	65.0	66.4	1.1	1.68
CENTRAL INDUSTRIES PLC	CIND.N0000	0	80	68.1	69.0	69.0	65.0	65.7	2.4	3.52
CEYLINCO INSURANCE PLC	CINS.N0000	69	5	2003.0	2000.0	2000.0	1975.0	2003.0	0.0	0.0
CEYLINCO INSURANCE PLC	CINS.X0000	17	3	942.25	990.0	990.0	988.0	942.25	0.0	0.0
CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	1	1	767.25	760.0	760.0	760.0	767.25	0.0	0.0
