name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	204	8	169.25	170.0	180.0	170.0	179.5	10.25	6.06
ABANS FINANCE PLC	AFSL.N0000	91	5	24.3	26.0	26.0	25.7	24.3	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	266	11.8	12.0	12.4	11.6	11.8	0.0	0.0
ACL CABLES PLC	ACL.N0000	0	972	111.5	110.0	111.0	106.0	109.0	2.5	2.24
ACL PLASTICS PLC	APLA.N0000	0	59	526.25	530.0	530.0	505.0	508.5	17.75	3.37
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	82	6.6	6.9	7.1	6.7	6.9	0.3	4.55
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	184	40.6	41.3	41.4	40.4	41.0	0.4	0.99
AGSTAR PLC	AGST.N0000	0	162	17.1	17.4	17.6	17.0	17.3	0.2	1.17
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	37	62.8	63.0	63.0	60.0	60.6	2.2	3.5
AITKEN SPENCE PLC	SPEN.N0000	0	11	135.25	136.0	139.0	132.0	133.0	2.25	1.66
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	85	76.1	75.8	76.9	74.7	75.0	1.1	1.45
ALUMEX PLC	ALUM.N0000	0	202	10.5	10.3	10.4	10.0	10.0	0.5	4.76
AMANA BANK PLC	ABL.N0000	0	103	3.5	3.5	3.7	3.5	3.6	0.1	2.86
AMBEON CAPITAL PLC	TAP.N0000	0	170	12.3	12.2	13.2	12.2	12.8	0.5	4.07
AMBEON HOLDINGS PLC	GREG.N0000	0	31	40.9	41.4	42.0	39.0	41.1	0.2	0.49
ARPICO INSURANCE PLC	AINS.N0000	0	22	21.8	20.2	21.8	20.0	20.0	1.8	8.26
ASIA ASSET FINANCE PLC	AAF.N0000	0	15	7.0	7.0	7.0	6.9	6.9	0.1	1.43
ASIA CAPITAL PLC	ACAP.N0000	958	8	5.6	5.5	5.6	5.4	5.5	0.1	1.79
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	0	5.1	5.4	6.3	5.4	5.9	0.8	15.69
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	897	4	45.7	44.2	45.7	44.2	44.9	0.8	1.75
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	37	27.3	27.5	28.0	27.4	27.8	0.5	1.83
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	17	14.7	14.6	15.0	14.6	14.6	0.1	0.68
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	57	9.8	10.0	10.2	9.6	10.0	0.2	2.04
B P P L HOLDINGS PLC	BPPL.N0000	0	95	25.8	25.8	26.0	25.0	25.9	0.1	0.39
BAIRAHA FARMS PLC	BFL.N0000	0	125	223.25	222.0	228.0	220.0	223.0	0.25	0.11
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	410	110.5	111.75	120.0	111.75	117.75	7.25	6.56
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	1	1	12.6	12.7	12.7	12.7	12.6	0.0	0.0
BERUWALA RESORTS PLC	BERU.N0000	0	162	1.3	1.4	1.5	1.3	1.4	0.1	7.69
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	135	71.6	74.7	76.9	70.1	71.6	0.0	0.0
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	58	68.9	69.2	70.0	68.0	69.3	0.4	0.58
BROWN & COMPANY PLC	BRWN.N0000	0	118	165.25	162.0	166.0	160.0	161.0	4.25	2.57
BROWNS BEACH HOTELS PLC	BBH.N0000	0	18	16.8	17.2	17.2	15.3	16.1	0.7	4.17
BROWNS INVESTMENTS PLC	BIL.N0000	0	858	7.9	7.7	7.9	7.5	7.7	0.2	2.53
BUKIT DARAH PLC	BUKI.N0000	58	4	311.0	306.0	314.5	306.0	311.0	0.0	0.0
C I C HOLDINGS PLC	CIC.X0000	0	370	63.2	63.1	65.5	62.5	63.4	0.2	0.32
C I C HOLDINGS PLC	CIC.N0000	0	154	85.1	85.0	89.0	85.0	85.5	0.4	0.47
