name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	113	6	148.75	131.25	140.0	131.25	135.25	13.5	9.08
ABANS FINANCE PLC	AFSL.N0000	123	5	22.1	21.9	22.9	21.9	22.2	0.1	0.45
ACCESS ENGINEERING PLC	AEL.N0000	0	55	9.9	9.8	10.2	9.8	10.0	0.1	1.01
ACL CABLES PLC	ACL.N0000	0	101	38.6	39.0	42.0	39.0	41.3	2.7	6.99
ACL PLASTICS PLC	APLA.N0000	625	25	288.0	304.5	306.0	290.0	296.5	8.5	2.95
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	8	10.0	11.9	11.9	10.7	10.7	0.7	7.0
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	127	25.7	26.2	28.3	26.0	26.9	1.2	4.67
AGSTAR PLC	AGST.N0000	0	5	6.5	6.8	6.8	6.6	6.7	0.2	3.08
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	67	1	31.9	30.0	30.0	30.0	31.9	0.0	0.0
AITKEN SPENCE PLC	SPEN.N0000	0	22	81.0	81.1	82.0	80.0	80.0	1.0	1.23
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	964	9	48.9	49.0	51.0	49.0	50.9	2.0	4.09
ALUMEX PLC	ALUM.N0000	0	46	6.3	6.4	6.5	6.2	6.3	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	19	2.8	2.7	3.0	2.7	2.9	0.1	3.57
AMANA TAKAFUL LIFE PLC	ATLL.N0000	11	2	26.0	26.7	26.7	26.7	26.0	0.0	0.0
AMANA TAKAFUL PLC	ATL.N0000	29	3	9.3	9.0	9.0	8.6	9.3	0.0	0.0
AMBEON CAPITAL PLC	TAP.N0000	0	18	5.8	6.1	6.1	5.5	5.6	0.2	3.45
AMBEON HOLDINGS PLC	GREG.N0000	0	6	36.3	36.3	36.9	36.3	36.6	0.3	0.83
ASIA ASSET FINANCE PLC	AAF.N0000	352	3	5.9	5.9	6.1	5.9	5.9	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	14	2	3.9	3.9	4.1	3.9	3.9	0.0	0.0
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	8	2.8	2.8	3.0	2.8	2.9	0.1	3.57
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	7	29.8	29.8	31.0	29.8	29.8	0.0	0.0
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	3	14.0	14.0	14.0	14.0	14.0	0.0	0.0
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	54	2	7.5	8.3	8.3	8.0	7.5	0.0	0.0
B P P L HOLDINGS PLC	BPPL.N0000	0	11	16.9	18.0	18.5	17.6	18.4	1.5	8.88
BAIRAHA FARMS PLC	BFL.N0000	0	12	120.5	120.5	122.25	120.5	121.5	1.0	0.83
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	16	31.2	33.9	34.9	32.2	33.0	1.8	5.77
BERUWALA RESORTS PLC	BERU.N0000	0	2	0.9	0.9	1.0	0.9	1.0	0.1	11.11
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	7	0.9	0.8	1.0	0.8	1.0	0.1	11.11
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	100	1	0.3	0.3	0.3	0.3	0.3	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	51	52.2	53.0	58.5	52.0	53.8	1.6	3.07
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	8	15.1	15.8	15.8	15.0	15.2	0.1	0.66
BROWN & COMPANY PLC	BRWN.N0000	0	74	118.5	119.0	126.5	119.0	121.5	3.0	2.53
BROWNS BEACH HOTELS PLC	BBH.N0000	350	2	7.2	7.8	7.8	7.8	7.8	0.6	8.33
BROWNS INVESTMENTS PLC	BIL.N0000	0	492	7.9	8.1	8.2	7.9	8.0	0.1	1.27
BUKIT DARAH PLC	BUKI.N0000	71	2	307.25	307.25	307.25	307.25	307.25	0.0	0.0
C I C HOLDINGS PLC	CIC.N0000	0	16	36.3	38.0	39.0	38.0	38.5	2.2	6.06
C I C HOLDINGS PLC	CIC.X0000	0	24	23.2	24.0	25.3	23.5	23.9	0.7	3.02
C M HOLDINGS PLC	COLO.N0000	910	9	50.0	50.1	50.2	50.0	50.0	0.0	0.0
C T HOLDINGS PLC	CTHR.N0000	10	1	146.0	146.0	146.0	146.0	146.0	0.0	0.0
C. W. MACKIE PLC	CWM.N0000	794	19	67.4	67.3	67.6	67.3	67.6	0.2	0.3
CAPITAL ALLIANCE PLC	CALT.N0000	0	8	10.8	10.9	10.9	10.8	10.8	0.0	0.0
CARGILLS (CEYLON) PLC	CARG.N0000	603	13	160.0	160.0	160.0	155.0	156.0	4.0	2.5
CARSON CUMBERBATCH PLC	CARS.N0000	8	2	245.75	260.0	260.0	246.25	245.75	0.0	0.0
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	10	55.8	57.0	60.0	56.1	56.6	0.8	1.43
CENTRAL INDUSTRIES PLC	CIND.N0000	0	37	53.1	53.0	56.8	53.0	54.3	1.2	2.26
CEYLINCO INSURANCE PLC	CINS.N0000	2	1	1990.75	2200.0	2200.0	2200.0	1990.75	0.0	0.0
CEYLON COLD STORES PLC	CCS.N0000	0	6	26.0	27.3	27.4	27.2	27.3	1.3	5.0
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	34	69.8	72.0	72.3	72.0	72.0	2.2	3.15
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	0	6	61.1	61.2	61.2	61.0	61.1	0.0	0.0
CEYLON HOSPITALS PLC	CHL.N0000	200	2	113.0	113.0	113.0	113.0	113.0	0.0	0.0
CEYLON HOSPITALS PLC	CHL.X0000	250	1	98.7	94.0	94.0	94.0	94.0	4.7	4.76
CEYLON INVESTMENT PLC	CINV.N0000	0	5	25.0	25.2	25.2	25.0	25.0	0.0	0.0
CEYLON TEA BROKERS PLC	CTBL.N0000	0	2	3.2	3.2	3.2	3.2	3.2	0.0	0.0
CEYLON TOBACCO COMPANY PLC	CTC.N0000	8	3	585.25	585.25	586.25	585.25	585.25	0.0	0.0
CHEMANEX PLC	CHMX.N0000	0	40	50.9	50.6	51.5	50.0	50.0	0.9	1.77
CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	0	91	75.1	76.0	79.9	75.6	76.8	1.7	2.26
CHRISSWORLD PLC	CWL.N0000	250	11	9.3	9.2	10.8	9.0	10.1	0.8	8.6
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	3	1	180.0	180.0	180.0	180.0	180.0	0.0	0.0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	0	60	57.1	56.5	56.8	54.1	55.0	2.1	3.68
CITRUS LEISURE PLC	REEF.N0000	0	8	4.0	4.1	4.2	4.1	4.2	0.2	5.0
Co-operative Insurance Company PLC	COOP.N0000	0	23	2.9	3.0	3.1	2.9	3.0	0.1	3.45
COLOMBO DOCKYARD PLC	DOCK.N0000	100	1	63.8	67.0	67.0	67.0	67.0	3.2	5.02
COLOMBO FORT INVESTMENTS PLC	CFI.N0000	273	4	48.8	52.5	52.5	49.0	49.1	0.3	0.61
COLOMBO LAND AND DEVELOPMENT COMPANY PLC	CLND.N0000	159	6	19.7	18.1	19.0	18.1	18.4	1.3	6.6
COMMERCIAL BANK OF CEYLON PLC	COMB.X0000	0	16	46.6	46.6	48.8	46.2	46.7	0.1	0.21
COMMERCIAL BANK OF CEYLON PLC	COMB.N0000	0	38	50.3	51.0	51.5	50.3	50.8	0.5	0.99
COMMERCIAL CREDIT AND FINANCE PLC	COCR.N0000	0	29	18.0	18.6	18.9	18.0	18.2	0.2	1.11
COMMERCIAL DEVELOPMENT COMPANY PLC	COMD.N0000	287	3	86.0	88.5	88.5	88.5	88.5	2.5	2.91
DANKOTUWA PORCELAIN PLC	DPL.N0000	0	16	9.3	9.1	10.0	9.1	9.6	0.3	3.23
DFCC BANK PLC	DFCC.N0000	0	18	35.6	35.6	39.0	35.6	37.9	2.3	6.46
DIALOG AXIATA PLC	DIAL.N0000	0	218	9.6	9.8	10.2	9.6	10.1	0.5	5.21
DIALOG FINANCE PLC	CALF.N0000	10	1	69.9	69.9	69.9	69.9	69.9	0.0	0.0
DIESEL & MOTOR ENGINEERING PLC	DIMO.N0000	237	7	345.0	354.75	355.0	344.0	349.5	4.5	1.3
DILMAH CEYLON TEA COMPANY PLC	CTEA.N0000	3	3	812.0	829.0	829.0	829.0	812.0	0.0	0.0
DIPPED PRODUCTS PLC	DIPD.N0000	0	91	26.4	26.4	28.0	26.4	27.4	1.0	3.79
DISTILLERIES COMPANY OF SRI LANKA PLC	DIST.N0000	0	15	13.6	13.5	13.9	13.4	13.9	0.3	2.21
DOLPHIN HOTELS PLC	STAF.N0000	32	3	25.7	29.5	29.5	28.9	25.7	0.0	0.0
E - CHANNELLING PLC	ECL.N0000	0	11	6.2	6.8	6.9	6.4	6.5	0.3	4.84
E B CREASY & COMPANY PLC	EBCR.N0000	145	1	15.0	15.0	15.0	15.0	15.0	0.0	0.0
E M L CONSULTANTS PLC	EML.N0000	0	39	4.5	4.7	4.9	4.3	4.4	0.1	2.22
EASTERN MERCHANTS PLC	EMER.N0000	315	4	5.8	5.7	5.9	5.7	5.8	0.0	0.0
EDEN HOTEL LANKA PLC	EDEN.N0000	0	10	10.1	10.5	10.5	10.2	10.2	0.1	0.99
ELPITIYA PLANTATIONS PLC	ELPL.N0000	0	16	71.5	79.0	79.0	75.0	75.1	3.6	5.03
Ex-pack Corrugated Cartons PLC	PACK.N0000	0	34	9.7	9.7	9.9	9.7	9.8	0.1	1.03
EXPOLANKA HOLDINGS PLC	EXPO.N0000	0	0	161.5	169.5	172.0	164.0	168.25	6.75	4.18
EXTERMINATORS PLC	EXT.N0000	0	21	5.2	5.1	5.2	4.9	4.9	0.3	5.77
FIRST CAPITAL HOLDINGS PLC	CFVF.N0000	0	9	9.1	9.2	9.3	9.1	9.1	0.0	0.0
First Capital Treasuries PLC	FCT.N0000	0	16	10.3	11.0	11.0	10.3	10.5	0.2	1.94
GALADARI HOTELS (LANKA) PLC	GHLL.N0000	0	19	9.8	9.1	9.8	9.0	9.2	0.6	6.12
GALLE FACE CAPITAL PARTNERS PLC	WAPO.N0000	100	3	16.1	18.0	18.0	17.9	17.9	1.8	11.18
HAPUGASTENNE PLANTATIONS PLC	HAPU.N0000	30	2	26.8	26.9	26.9	26.8	26.8	0.0	0.0
HATTON NATIONAL BANK PLC	HNB.N0000	0	14	77.1	78.0	79.8	77.1	77.7	0.6	0.78
HATTON NATIONAL BANK PLC	HNB.X0000	5	1	74.2	74.2	74.2	74.2	74.2	0.0	0.0
HATTON PLANTATIONS PLC	HPL.N0000	348	5	11.8	12.0	12.2	11.0	11.5	0.3	2.54
HAYCARB PLC	HAYC.N0000	0	66	57.4	58.0	59.0	58.0	58.4	1.0	1.74
HAYLEYS FABRIC PLC	MGT.N0000	0	22	30.1	31.3	31.3	30.5	30.9	0.8	2.66
HAYLEYS FIBRE PLC	HEXP.N0000	0	18	54.0	54.0	54.1	53.5	53.6	0.4	0.74
HAYLEYS PLC	HAYL.N0000	0	167	60.4	62.0	62.4	60.5	61.2	0.8	1.32
HELA APPAREL HOLDINGS PLC	HELA.N0000	0	96	10.8	10.8	11.1	10.8	11.0	0.2	1.85
HEMAS HOLDINGS PLC	HHL.N0000	0	24	43.4	43.4	43.5	43.0	43.5	0.1	0.23
HIKKADUWA BEACH RESORT PLC	CITH.N0000	0	3	4.6	4.6	5.0	4.6	4.7	0.1	2.17
HNB ASSURANCE PLC	HASU.N0000	600	1	32.2	33.0	33.0	33.0	33.0	0.8	2.48
HNB FINANCE PLC	HNBF.N0000	0	4	6.0	6.4	6.4	6.0	6.4	0.4	6.67
HNB FINANCE PLC	HNBF.X0000	65	1	4.9	4.8	4.8	4.8	4.9	0.0	0.0
HORANA PLANTATIONS PLC	HOPL.N0000	0	3	20.5	20.5	21.0	20.5	21.0	0.5	2.44
HOTEL SIGIRIYA PLC	HSIG.N0000	3	1	68.0	68.0	68.0	68.0	68.0	0.0	0.0
hSenid Business Solutions PLC	HBS.N0000	0	48	18.5	18.5	19.6	18.5	18.9	0.4	2.16
HUNAS HOLDINGS PLC	HUNA.N0000	0	6	7.1	7.3	7.3	7.0	7.3	0.2	2.82
HVA FOODS PLC	HVA.N0000	0	34	3.0	3.1	3.7	3.1	3.4	0.4	13.33
INDUSTRIAL ASPHALTS (CEYLON) PLC	ASPH.N0000	0	21	0.3	0.4	0.4	0.3	0.4	0.1	33.33
JAT HOLDINGS PLC	JAT.N0000	0	22	11.3	11.3	11.8	11.3	11.3	0.0	0.0
JOHN KEELLS HOLDINGS PLC	JKH.N0000	0	105	120.0	120.0	124.0	120.0	120.5	0.5	0.42
JOHN KEELLS HOTELS PLC	KHL.N0000	252	3	10.5	10.6	10.6	10.4	10.6	0.1	0.95
JOHN KEELLS PLC	JKL.N0000	131	5	67.0	67.0	67.0	65.0	66.0	1.0	1.49
KAPRUKA HOLDINGS PLC	KPHL.N0000	0	7	7.2	7.1	7.2	7.0	7.1	0.1	1.39
KEELLS FOOD PRODUCTS PLC	KFP.N0000	1	1	170.0	160.5	160.5	160.5	170.0	0.0	0.0
KEGALLE  PLANTATIONS  PLC	KGAL.N0000	216	3	126.5	129.5	130.0	129.5	130.0	3.5	2.77
KELANI CABLES PLC	KCAB.N0000	0	36	184.25	194.0	194.0	185.0	186.25	2.0	1.09
KELANI TYRES PLC	TYRE.N0000	0	58	44.9	44.7	44.7	44.4	44.6	0.3	0.67
KELANI VALLEY PLANTATIONS PLC	KVAL.N0000	0	80	63.8	63.0	66.1	63.0	65.6	1.8	2.82
KOTAGALA PLANTATIONS PLC	KOTA.N0000	0	13	3.9	4.0	4.0	3.9	3.9	0.0	0.0
L O L C DEVELOPMENT FINANCE PLC	NIFL.N0000	193	22	299.0	292.0	299.75	292.0	292.25	6.75	2.26
L O L C HOLDINGS PLC	LOLC.N0000	0	228	419.75	425.0	440.0	420.0	423.0	3.25	0.77
L V L ENERGY FUND PLC	LVEF.N0000	0	24	7.0	7.1	7.1	7.0	7.1	0.1	1.43
LANKA ALUMINIUM INDUSTRIES PLC	LALU.N0000	0	33	12.9	13.5	14.0	13.0	13.8	0.9	6.98
LANKA CERAMIC PLC	CERA.N0000	68	2	118.25	115.0	115.0	115.0	118.25	0.0	0.0
LANKA CREDIT AND BUSINESS FINANCE PLC	LCBF.N0000	0	9	1.8	1.9	1.9	1.7	1.8	0.0	0.0
LANKA IOC PLC	LIOC.N0000	0	804	66.3	68.2	70.4	66.6	68.2	1.9	2.87
LANKA MILK FOODS (CWE) PLC	LMF.N0000	0	61	115.0	115.0	117.0	115.0	115.25	0.25	0.22
LANKA REALTY INVESTMENTS PLC	ASCO.N0000	0	55	11.7	12.2	13.1	12.2	12.9	1.2	10.26
LANKA TILES PLC	TILE.N0000	0	18	40.0	41.9	41.9	40.0	40.0	0.0	0.0
LANKA VENTURES PLC	LVEN.N0000	35	5	41.0	41.0	43.0	41.0	41.0	0.0	0.0
