name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	73	5	140.5	150.0	150.0	140.0	140.5	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	194	8	19.3	20.9	23.0	20.9	21.0	1.7	8.81
ACCESS ENGINEERING PLC	AEL.N0000	0	85	9.4	9.7	9.9	9.5	9.7	0.3	3.19
ACL CABLES PLC	ACL.N0000	0	871	68.3	70.0	74.7	68.1	73.6	5.3	7.76
ACL PLASTICS PLC	APLA.N0000	401	16	419.75	420.0	420.0	417.0	418.5	1.25	0.3
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	37	5.1	5.1	5.5	5.1	5.2	0.1	1.96
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	46	31.2	32.0	32.8	31.2	31.6	0.4	1.28
AGSTAR PLC	AGST.N0000	0	85	16.2	16.3	16.6	16.0	16.4	0.2	1.23
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	47	52.0	53.9	55.0	53.8	54.5	2.5	4.81
AITKEN SPENCE PLC	SPEN.N0000	0	11	131.0	131.75	132.0	128.75	131.5	0.5	0.38
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	34	56.8	57.0	57.0	57.0	57.0	0.2	0.35
ALUMEX PLC	ALUM.N0000	0	64	6.6	6.7	7.0	6.5	6.9	0.3	4.55
AMANA BANK PLC	ABL.N0000	0	71	2.8	2.8	2.8	2.7	2.8	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	378	6	33.8	34.9	35.0	30.3	34.9	1.1	3.25
AMANA TAKAFUL PLC	ATL.N0000	0	10	11.0	11.8	12.0	11.1	11.1	0.1	0.91
AMBEON CAPITAL PLC	TAP.N0000	0	316	7.3	7.5	8.5	7.4	8.0	0.7	9.59
AMBEON HOLDINGS PLC	GREG.N0000	0	5	38.9	39.0	39.0	39.0	39.0	0.1	0.26
ARPICO INSURANCE PLC	AINS.N0000	270	1	17.5	18.7	18.7	18.7	18.7	1.2	6.86
ASIA ASSET FINANCE PLC	AAF.N0000	50	1	7.0	7.0	7.0	7.0	7.0	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	18	3.9	3.9	4.2	3.8	4.2	0.3	7.69
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	47	4.1	4.2	4.5	4.1	4.3	0.2	4.88
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	27	27.3	27.1	27.1	26.0	26.5	0.8	2.93
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	14	12.6	12.4	12.4	12.0	12.0	0.6	4.76
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	5	7.4	7.4	8.0	7.4	8.0	0.6	8.11
B P P L HOLDINGS PLC	BPPL.N0000	500	1	22.5	23.5	23.5	23.5	23.5	1.0	4.44
BAIRAHA FARMS PLC	BFL.N0000	0	51	162.75	163.0	163.0	158.5	162.25	0.5	0.31
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	91	82.5	83.0	86.4	83.0	85.4	2.9	3.52
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	1	1	9.6	10.0	10.0	10.0	9.6	0.0	0.0
BERUWALA RESORTS PLC	BERU.N0000	0	18	1.2	1.2	1.2	1.1	1.2	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	14	47.0	48.5	48.8	47.1	48.3	1.3	2.77
