name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	10	4	173.5	179.5	179.5	173.5	173.5	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	112	2	29.9	29.9	29.9	28.8	28.8	-1.1	-3.68
ACCESS ENGINEERING PLC	AEL.N0000	0	92	23.3	23.5	23.6	23.1	23.2	-0.1	-0.43
ACL CABLES PLC	ACL.N0000	0	137	41.9	41.9	42.0	41.7	41.8	-0.1	-0.24
ACL PLASTICS PLC	APLA.N0000	0	26	270.0	270.0	274.0	270.0	271.75	1.75	0.65
ACME PRINTING & PACKAGING PLC	ACME.N0000	164	2	6.3	6.3	6.3	6.1	6.2	-0.1	-1.59
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	101	2	25.0	25.0	25.0	25.0	25.0	0.0	0.0
AGSTAR PLC	AGST.N0000	0	59	7.4	7.5	7.8	7.5	7.7	0.3	4.05
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	81	31.3	31.4	32.5	30.6	31.8	0.5	1.6
AITKEN SPENCE PLC	SPEN.N0000	0	92	61.5	61.9	62.0	61.0	61.9	0.4	0.65
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	35	71.9	72.0	72.5	71.0	71.9	0.0	0.0
ALUMEX PLC	ALUM.N0000	0	83	13.6	13.8	13.8	13.4	13.5	-0.1	-0.74
AMANA BANK PLC	ABL.N0000	0	12	3.2	3.2	3.2	3.1	3.2	0.0	0.0
AMANA TAKAFUL  PLC	ATL.N0000	0	31	8.4	8.4	9.0	8.3	9.0	0.6	7.14
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	7	8.7	9.0	9.9	9.0	9.9	1.2	13.79
AMBEON CAPITAL PLC	TAP.N0000	0	110	5.8	5.8	6.0	5.5	5.9	0.1	1.72
AMBEON HOLDINGS PLC	GREG.N0000	0	189	22.1	22.2	23.5	22.2	23.0	0.9	4.07
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	18	1.1	1.1	1.2	1.1	1.2	0.1	9.09
ARPICO INSURANCE PLC	AINS.N0000	101	3	23.4	22.8	23.5	22.8	22.8	-0.6	-2.56
ASIA ASSET FINANCE PLC	AAF.N0000	0	4	7.5	7.5	7.5	7.4	7.5	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	30	5.2	5.2	5.4	5.2	5.2	0.0	0.0
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	12	2.6	2.7	2.7	2.6	2.6	0.0	0.0
ASIAN HOTELS & PROPERTIES PLC	AHPL.N0000	0	25	39.0	37.5	39.0	37.5	39.0	0.0	0.0
ASIRI  SURGICAL HOSPITAL PLC	AMSL.N0000	0	14	14.6	14.7	14.9	14.6	14.7	0.1	0.68
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	15	28.8	29.0	29.9	29.0	29.6	0.8	2.78
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	367	270.25	271.0	288.0	267.0	279.5	9.25	3.42
B P P L HOLDINGS PLC	BPPL.N0000	0	105	20.0	20.5	21.0	20.2	20.7	0.7	3.5
BAIRAHA FARMS PLC	BFL.N0000	0	32	163.25	163.0	164.0	160.0	163.0	-0.25	-0.15
BALANGODA PLANTATIONS PLC	BALA.N0000	0	168	13.0	13.0	14.7	13.0	14.0	1.0	7.69
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	9	8.4	9.0	9.0	8.9	9.0	0.6	7.14
BERUWALA RESORTS PLC	BERU.N0000	0	208	0.9	0.9	1.1	0.9	1.0	0.1	11.11
BIMPUTH FINANCE PLC	BLI.N0000	0	25	8.4	8.9	9.1	8.5	8.8	0.4	4.76
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	1	1	0.9	0.9	0.9	0.9	0.9	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	29	0.4	0.4	0.5	0.4	0.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	87	39.0	39.9	39.9	38.0	38.3	-0.7	-1.79
