name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	0	17	163.0	159.5	159.5	159.0	159.0	4.0	2.45
ABANS FINANCE PLC	AFSL.N0000	0	8	25.0	24.2	24.3	24.2	24.2	0.8	3.2
ACCESS ENGINEERING PLC	AEL.N0000	0	300	23.0	23.3	23.5	22.4	22.8	0.2	0.87
ACL CABLES PLC	ACL.N0000	0	0	43.1	44.0	49.4	43.1	48.8	5.7	13.23
ACL PLASTICS PLC	APLA.N0000	0	145	260.0	260.0	276.0	259.0	270.25	10.25	3.94
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	97	8.0	8.0	8.5	8.0	8.1	0.1	1.25
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	0	19	27.2	27.3	27.5	27.3	27.4	0.2	0.74
AGSTAR PLC	AGST.N0000	0	40	7.5	7.7	7.8	7.6	7.7	0.2	2.67
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	18	30.1	30.1	30.6	30.0	30.1	0.0	0.0
AITKEN SPENCE PLC	SPEN.N0000	0	50	65.0	65.9	65.9	65.0	65.3	0.3	0.46
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	39	60.2	60.0	60.0	59.1	60.0	0.2	0.33
ALUMEX PLC	ALUM.N0000	0	1	12.2	12.3	12.4	11.9	12.2	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	61	3.0	3.1	3.2	3.0	3.2	0.2	6.67
AMANA TAKAFUL  PLC	ATL.N0000	0	29	8.7	8.5	9.1	8.5	9.0	0.3	3.45
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	39	10.1	8.6	12.6	8.6	12.6	2.5	24.75
AMBEON CAPITAL PLC	TAP.N0000	0	287	20.2	20.6	20.9	18.9	19.0	1.2	5.94
AMBEON HOLDINGS PLC	GREG.N0000	0	618	49.4	49.5	52.0	48.5	48.6	0.8	1.62
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	27	1.0	1.0	1.1	1.0	1.1	0.1	10.0
ARPICO INSURANCE PLC	AINS.N0000	407	2	21.8	22.3	22.3	21.7	21.7	0.1	0.46
ASIA ASSET FINANCE PLC	AAF.N0000	0	18	7.5	7.4	7.4	7.1	7.3	0.2	2.67
ASIA CAPITAL PLC	ACAP.N0000	0	507	6.5	6.7	7.6	6.7	7.1	0.6	9.23
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	10	3.2	3.2	3.3	3.2	3.2	0.0	0.0
ASIAN HOTELS & PROPERTIES PLC	AHPL.N0000	0	10	38.0	38.0	38.0	36.5	37.7	0.3	0.79
ASIRI  SURGICAL HOSPITAL PLC	AMSL.N0000	0	47	15.0	14.9	15.0	14.0	14.5	0.5	3.33
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	80	29.7	29.8	30.7	29.2	30.5	0.8	2.69
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	213	183.25	182.0	184.75	180.0	180.75	2.5	1.36
B P P L HOLDINGS PLC	BPPL.N0000	0	48	24.0	23.8	24.0	23.0	23.6	0.4	1.67
BAIRAHA FARMS PLC	BFL.N0000	0	86	145.75	145.0	147.75	140.0	143.25	2.5	1.72
BALANGODA PLANTATIONS PLC	BALA.N0000	0	130	20.4	21.0	21.5	20.5	21.0	0.6	2.94
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	1	1	9.0	9.6	9.6	9.6	9.6	0.6	6.67
BERUWALA RESORTS PLC	BERU.N0000	0	62	0.8	0.8	0.9	0.8	0.9	0.1	12.5
BIMPUTH FINANCE PLC	BLI.N0000	0	2	7.7	7.9	7.9	7.7	7.7	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	3	0.8	0.8	0.8	0.8	0.8	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	18	0.4	0.5	0.5	0.3	0.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	152	60.6	63.0	63.0	60.0	62.0	1.4	2.31
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	43	11.0	11.0	12.3	10.9	11.5	0.5	4.55
BROWN & COMPANY PLC	BRWN.N0000	0	10	214749.36	225.0	232.0	220.0	222.0	214527.36	99.9
BROWNS BEACH HOTELS PLC	BBH.N0000	0	20	9.9	9.4	9.9	9.1	9.5	0.4	4.04
BROWNS INVESTMENTS PLC	BIL.N0000	0	3	10.4	11.0	11.8	10.8	11.5	1.1	10.58
BUKIT DARAH PLC	BUKI.N0000	0	33	322.75	322.5	339.0	321.0	324.0	1.25	0.39
C M HOLDINGS PLC	COLO.N0000	0	9	92.1	88.3	93.3	88.3	89.6	2.5	2.71
C T HOLDINGS PLC	CTHR.N0000	0	3	181.25	180.0	180.25	180.0	180.25	1.0	0.55
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	20	27.9	27.1	28.1	27.0	28.0	0.1	0.36
C. W. MACKIE PLC	CWM.N0000	0	49	53.8	54.4	54.4	53.6	53.7	0.1	0.19
CARGILLS (CEYLON) PLC	CARG.N0000	0	24	232.0	235.0	235.0	231.5	232.0	0.0	0.0
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	42	62.2	62.0	63.3	61.0	63.3	1.1	1.77
CARSON CUMBERBATCH PLC	CARS.N0000	923	7	281.0	280.0	282.25	280.0	282.25	1.25	0.44
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	108	81.5	81.0	82.0	80.0	81.2	0.3	0.37
CENTRAL INDUSTRIES PLC	CIND.N0000	0	122	101.75	100.25	101.0	99.0	100.25	1.5	1.47
CEYLINCO INSURANCE PLC	CINS.N0000	14	3	1862.5	1906.0	1906.0	1906.0	1906.0	43.5	2.34
CEYLINCO INSURANCE PLC	CINS.X0000	195	19	941.25	945.0	945.0	935.25	940.0	1.25	0.13
CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	17	7	809.0	820.0	820.0	781.0	781.0	28.0	3.46
CEYLON COLD STORES PLC	CCS.N0000	0	32	607.25	606.0	610.0	595.0	600.0	7.25	1.19
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	231	124.5	124.0	124.0	120.0	120.75	3.75	3.01
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	0	33	95.3	95.0	98.0	94.5	98.0	2.7	2.83
CEYLON HOSPITALS PLC (DURDANS)	CHL.N0000	0	24	107.25	106.75	106.75	100.0	105.5	1.75	1.63
CEYLON HOSPITALS PLC (DURDANS)	CHL.X0000	50	1	97.4	97.0	97.0	97.0	97.0	0.4	0.41
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	880	4	11.5	11.5	11.5	11.5	11.5	0.0	0.0
CEYLON INVESTMENT PLC	CINV.N0000	0	59	53.5	55.0	55.0	53.4	53.4	0.1	0.19
CEYLON TEA BROKERS PLC	CTBL.N0000	0	29	4.1	4.1	4.2	4.0	4.1	0.0	0.0
CEYLON TOBACCO COMPANY PLC	CTC.N0000	0	50	931.75	935.0	940.0	931.25	934.0	2.25	0.24
CHEMANEX PLC	CHMX.N0000	0	7	74.5	72.5	74.8	72.5	74.8	0.3	0.4
CHEVRON LUBRICANTS LANKA PLC	LLUB.N0000	0	421	106.25	107.0	107.0	104.0	105.0	1.25	1.18
CHRISSWORLD LIMITED	CWL.N0000	0	821	24.9	26.0	29.8	25.5	25.9	1.0	4.02
CIC HOLDINGS PLC	CIC.N0000	0	372	45.0	45.8	48.0	44.9	47.9	2.9	6.44
CIC HOLDINGS PLC	CIC.X0000	0	385	38.8	39.0	41.0	37.5	39.9	1.1	2.84
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	0	9	142.0	142.0	142.0	141.0	142.0	0.0	0.0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	0	66	83.0	83.5	83.5	82.0	82.5	0.5	0.6
CITRUS LEISURE  PLC	REEF.N0000	0	38	9.1	9.1	9.5	9.0	9.4	0.3	3.3
COLOMBO CITY HOLDINGS PLC	PHAR.N0000	503	34	1001.75	991.0	1000.0	956.0	956.0	45.75	4.57
COLOMBO DOCKYARD PLC	DOCK.N0000	0	29	70.4	70.4	71.0	68.8	68.8	1.6	2.27
COLOMBO FORT INVESTMENTS PLC	CFI.N0000	0	14	72.0	76.5	77.0	75.0	77.0	5.0	6.94
COLOMBO INVESTMENT TRUST PLC	CIT.N0000	1	1	125.75	125.0	125.0	125.0	125.0	0.75	0.6
COLOMBO LAND & DEVELOPMENT COMPANY PLC	CLND.N0000	0	102	33.5	34.1	35.5	34.0	35.2	1.7	5.07
COMMERCIAL BANK OF CEYLON PLC	COMB.X0000	0	119	75.2	76.0	80.0	75.1	77.0	1.8	2.39
COMMERCIAL BANK OF CEYLON PLC	COMB.N0000	0	1	87.0	85.2	85.5	85.5	86.0	1.0	1.15
COMMERCIAL CREDIT AND FINANCE PLC	COCR.N0000	0	49	25.9	25.9	26.0	25.6	26.0	0.1	0.39
COMMERCIAL DEVELOPMENT COMPANY PLC	COMD.N0000	0	57	137.0	135.0	139.0	130.0	130.5	6.5	4.74
COMMERCIAL LEASING & FINANCE PLC	CLC.N0000	0	527	22.3	23.4	23.9	21.5	22.0	0.3	1.35
CONVENIENCE  FOODS (LANKA )PLC	SOY.N0000	491	8	1052.25	1075.0	1100.0	1052.0	1052.0	0.25	0.02
DANKOTUWA PORCELAIN PLC	DPL.N0000	0	125	14.4	14.3	15.0	14.2	14.9	0.5	3.47
DFCC BANK PLC	DFCC.N0000	0	49	60.5	60.3	61.8	60.2	61.5	1.0	1.65
DIALOG AXIATA PLC	DIAL.N0000	0	216	10.9	10.9	11.0	10.8	10.9	0.0	0.0
DIALOG FINANCE PLC	CALF.N0000	213	7	81.0	81.0	83.3	81.0	83.3	2.3	2.84
DIESEL & MOTOR ENGINEERING PLC	DIMO.N0000	142	28	483.25	480.0	483.25	480.0	483.25	0.0	0.0
DILMAH CEYLON TEA COMPANY PLC	CTEA.N0000	46	9	698.5	698.0	698.0	670.25	670.75	27.75	3.97
DIPPED PRODUCTS PLC	DIPD.N0000	0	0	65.6	66.8	70.2	66.1	68.2	2.6	3.96
DISTILLERIES COMPANY OF SRI LANKA PLC	DIST.N0000	0	59	17.8	18.0	18.5	17.8	18.4	0.6	3.37
DOLPHIN HOTELS PLC	STAF.N0000	0	14	27.5	27.5	29.5	27.5	29.4	1.9	6.91
E B CREASY & COMPANY PLC	EBCR.N0000	0	66	22.8	22.7	23.4	22.5	23.0	0.2	0.88
E-CHANNELLING PLC	ECL.N0000	0	96	6.5	6.8	7.1	6.5	7.0	0.5	7.69
EAST WEST PROPERTIES PLC	EAST.N0000	0	105	9.9	10.0	10.0	9.6	9.7	0.2	2.02
EASTERN MERCHANTS PLC	EMER.N0000	0	105	6.3	6.3	6.8	6.3	6.6	0.3	4.76
EDEN HOTEL LANKA PLC	EDEN.N0000	0	488	21.8	22.0	22.6	20.5	22.4	0.6	2.75
ELPITIYA PLANTATIONS PLC	ELPL.N0000	0	82	61.3	62.0	64.0	60.0	61.0	0.3	0.49
EXPOLANKA HOLDINGS PLC	EXPO.N0000	847	2	167.75	175.0	189.5	173.0	180.0	12.25	7.3
FIRST CAPITAL HOLDINGS PLC	CFVF.N0000	0	141	45.3	45.1	45.6	44.4	45.6	0.3	0.66
GALADARI HOTELS (LANKA) PLC	GHLL.N0000	0	14	8.5	8.4	8.8	8.4	8.4	0.1	1.18
GESTETNER OF CEYLON PLC	GEST.N0000	0	11	82.0	81.2	81.2	80.0	80.4	1.6	1.95
GOOD HOPE  PLC	GOOD.N0000	5	3	1005.0	933.0	933.0	932.5	932.5	72.5	7.21
GUARDIAN CAPITAL PARTNERS PLC	WAPO.N0000	0	47	32.6	32.8	33.9	31.9	31.9	0.7	2.15
HAPUGASTENNE PLANTATIONS PLC	HAPU.N0000	49	2	17.1	16.0	16.0	16.0	16.0	1.1	6.43
HARISCHANDRA MILLS PLC	HARI.N0000	18	2	3881.5	3990.0	3990.0	3990.0	3990.0	108.5	2.8
HATTON NATIONAL BANK PLC	HNB.N0000	0	109	137.75	138.0	138.0	135.0	135.5	2.25	1.63
HATTON NATIONAL BANK PLC	HNB.X0000	0	89	124.75	124.0	128.0	124.0	125.75	1.0	0.8
HATTON PLANTATIONS PLC	HPL.N0000	0	12	9.4	9.5	9.6	9.5	9.6	0.2	2.13
HAYCARB PLC	HAYC.N0000	0	716	86.8	87.5	91.6	85.1	87.0	0.2	0.23
HAYLEYS FABRIC PLC	MGT.N0000	0	0	34.0	34.0	36.0	33.6	35.6	1.6	4.71
HAYLEYS FIBRE PLC	HEXP.N0000	0	130	74.2	75.0	77.5	74.2	74.2	0.0	0.0
HAYLEYS LEISURE  PLC	CONN.N0000	0	27	20.0	20.1	20.3	20.0	20.0	0.0	0.0
HAYLEYS PLC	HAYL.N0000	0	1	0.0	112.0	124.75	112.0	120.75	120.75	0.0
HEMAS HOLDINGS PLC	HHL.N0000	0	261	72.2	74.0	74.0	72.0	72.5	0.3	0.42
HIKKADUWA BEACH RESORT PLC	CITH.N0000	0	6	5.7	5.6	5.7	5.5	5.7	0.0	0.0
HNB ASSURANCE PLC	HASU.N0000	0	48	44.7	45.8	45.8	44.5	45.5	0.8	1.79
