name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	385	12	177.75	169.25	174.0	174.0	169.0	8.75	4.92
ABANS FINANCE PLC	AFSL.N0000	0	15	24.1	26.0	26.0	26.0	25.3	1.2	4.98
ACCESS ENGINEERING PLC	AEL.N0000	0	179	23.3	23.3	23.3	23.3	22.9	0.4	1.72
ACL CABLES PLC	ACL.N0000	0	348	37.9	37.8	38.0	38.0	37.5	0.4	1.06
ACL PLASTICS PLC	APLA.N0000	0	34	261.5	260.25	261.25	261.25	258.75	2.75	1.05
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	46	7.4	7.8	7.9	7.9	7.5	0.1	1.35
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	0	33	28.0	27.6	28.6	28.6	27.5	0.5	1.79
AGSTAR PLC	AGST.N0000	0	38	7.7	7.9	8.0	8.0	7.7	0.0	0.0
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	41	30.0	29.5	29.7	29.7	29.5	0.5	1.67
AITKEN SPENCE PLC	SPEN.N0000	0	22	65.4	66.0	66.0	66.0	66.0	0.6	0.92
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	23	66.1	68.4	68.4	68.4	66.0	0.1	0.15
ALUMEX PLC	ALUM.N0000	0	285	12.7	12.7	12.8	12.8	12.7	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	75	3.0	3.1	3.2	3.2	3.0	0.0	0.0
AMANA TAKAFUL  PLC	ATL.N0000	0	39	8.8	8.8	9.0	9.0	9.0	0.2	2.27
AMANA TAKAFUL LIFE PLC	ATLL.N0000	8	1	10.0	10.0	10.0	10.0	10.0	0.0	0.0
AMBEON CAPITAL PLC	TAP.N0000	0	543	18.7	18.5	19.6	19.6	17.5	1.2	6.42
AMBEON HOLDINGS PLC	GREG.N0000	0	352	41.5	40.2	42.5	42.5	40.5	1.0	2.41
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	45	1.1	1.0	1.1	1.1	1.0	0.1	9.09
ARPICO INSURANCE PLC	AINS.N0000	0	14	22.7	23.2	23.2	23.2	22.0	0.7	3.08
ASIA ASSET FINANCE PLC	AAF.N0000	0	5	8.3	8.2	8.2	8.2	8.2	0.1	1.2
ASIA CAPITAL PLC	ACAP.N0000	0	20	5.6	5.6	5.6	5.6	5.5	0.1	1.79
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	30	3.5	3.5	3.5	3.5	3.4	0.1	2.86
