name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
SERENDIB HOTELS PLC	SHOT.X0000	0	20	8.0	7.8	7.8	6.5	6.5	1.5	18.75
SERENDIB HOTELS PLC	SHOT.N0000	0	5	12.0	12.5	12.5	12.0	12.1	0.1	0.83
SERENDIB LAND PLC	SLND.N0000	101	5	1215.0	1160.0	1200.0	1000.0	1027.25	187.75	15.45
SEYLAN BANK PLC	SEYB.X0000	0	13	19.2	20.0	20.0	19.1	19.3	0.1	0.52
SEYLAN BANK PLC	SEYB.N0000	0	19	29.5	32.0	33.0	29.0	29.4	0.1	0.34
SEYLAN DEVELOPMENTS PLC	CSD.N0000	382	5	12.4	12.8	12.8	12.8	12.8	0.4	3.23
SHAW WALLACE INVESTMENTS PLC	KZOO.N0000	0	40	6.2	5.7	6.2	5.5	6.1	0.1	1.61
SIERRA CABLES PLC	SIRA.N0000	0	64	7.5	7.2	8.0	6.8	7.6	0.1	1.33
SIGIRIYA VILLAGE HOTELS PLC	SIGV.N0000	68	4	39.3	42.0	42.0	41.5	39.3	0.0	0.0
SINGER (SRI LANKA) PLC	SINS.N0000	0	18	12.1	12.0	12.0	11.7	11.8	0.3	2.48
SINGER FINANCE LANKA PLC	SFIN.N0000	95	2	12.0	12.0	12.0	11.9	12.0	0.0	0.0
SINGHE HOSPITALS PLC	SINH.N0000	0	24	2.1	2.0	2.2	1.9	2.2	0.1	4.76
SOFTLOGIC CAPITAL PLC	SCAP.N0000	0	204	5.6	5.6	5.6	5.0	5.2	0.4	7.14
SOFTLOGIC FINANCE PLC	CRL.N0000	0	24	7.8	7.2	7.3	7.0	7.0	0.8	10.26
SOFTLOGIC HOLDINGS PLC	SHL.N0000	0	40	23.5	26.5	27.5	23.7	24.0	0.5	2.13
SOFTLOGIC LIFE INSURANCE PLC	AAIC.N0000	0	147	38.8	38.8	41.9	36.0	39.7	0.9	2.32
SRI LANKA TELECOM PLC	SLTL.N0000	0	17	38.6	39.7	40.0	38.0	38.4	0.2	0.52
SUNSHINE HOLDINGS PLC	SUN.N0000	0	97	33.5	33.5	34.8	31.1	33.5	0.0	0.0
SWISSTEK (CEYLON) PLC	PARQ.N0000	0	90	14.1	14.1	14.3	13.5	13.7	0.4	2.84
TAL LANKA HOTELS PLC	TAJ.N0000	100	3	12.1	12.8	12.8	12.7	12.7	0.6	4.96
TALAWAKELLE TEA ESTATES PLC	TPL.N0000	0	8	45.2	44.0	45.0	44.0	45.0	0.2	0.44
TANGERINE BEACH HOTELS PLC	TANG.N0000	156	5	40.0	38.3	39.8	38.3	39.3	0.7	1.75
TEA SMALLHOLDER FACTORIES PLC	TSML.N0000	205	2	30.5	29.5	29.5	29.5	29.5	1.0	3.28
TEEJAY LANKA PLC	TJL.N0000	0	89	38.7	39.0	39.0	38.0	38.4	0.3	0.78
TESS AGRO PLC	TESS.N0000	0	8	1.2	1.2	1.2	1.1	1.1	0.1	8.33
TESS AGRO PLC	TESS.X0000	0	5	0.6	0.6	0.6	0.6	0.6	0.0	0.0
THE  LIGHTHOUSE  HOTEL  PLC	LHL.N0000	245	3	24.5	25.0	25.0	25.0	25.0	0.5	2.04
THE AUTODROME PLC	AUTO.N0000	120	7	115.0	87.1	98.0	87.0	88.8	26.2	22.78
THE COLOMBO FORT LAND AND BUILDING PLC	CFLB.N0000	0	14	11.7	10.7	12.0	10.5	10.7	1.0	8.55
THE FORTRESS RESORTS PLC	RHTL.N0000	60	3	11.4	11.0	11.0	11.0	11.4	0.0	0.0
THE KANDY HOTELS COMPANY (1938) PLC	KHC.N0000	0	8	7.1	7.4	7.4	6.0	6.0	1.1	15.49
THE KINGSBURY PLC	SERV.N0000	0	17	8.0	8.2	8.2	6.8	6.9	1.1	13.75
THE LANKA HOSPITALS CORPORATION PLC	LHCL.N0000	134	4	48.8	48.7	48.7	48.5	48.5	0.3	0.61
THE NUWARA ELIYA HOTELS COMPANY PLC	NEH.N0000	5	2	1100.0	1335.0	1335.0	1335.0	1100.0	0.0	0.0
THREE ACRE FARMS PLC	TAFL.N0000	0	19	130.0	130.25	145.5	129.0	134.75	4.75	3.65
TOKYO CEMENT COMPANY (LANKA) PLC	TKYO.N0000	0	53	26.0	25.5	26.0	23.1	24.9	1.1	4.23
TOKYO CEMENT COMPANY (LANKA) PLC	TKYO.X0000	0	50	20.2	21.8	21.8	19.9	19.9	0.3	1.49
TRANS ASIA HOTELS PLC	TRAN.N0000	10	1	45.5	52.0	52.0	52.0	45.5	0.0	0.0
UNION ASSURANCE PLC	UAL.N0000	0	54	37.7	37.7	38.6	33.0	34.6	3.1	8.22
UNION BANK OF COLOMBO PLC	UBC.N0000	0	51	6.2	6.5	6.5	5.5	5.5	0.7	11.29
UNION CHEMICALS LANKA PLC	UCAR.N0000	9	2	780.5	630.0	630.0	630.0	780.5	0.0	0.0
UNISYST ENGINEERING PLC	ALUF.N0000	0	4	11.1	11.0	11.0	10.0	10.0	1.1	9.91
UNITED MOTORS LANKA PLC	UML.N0000	506	8	59.1	60.0	60.0	59.1	60.0	0.9	1.52
VALLIBEL FINANCE PLC	VFIN.N0000	0	40	31.8	33.0	33.0	30.0	30.1	1.7	5.35
VALLIBEL ONE PLC	VONE.N0000	0	228	35.1	34.0	35.1	31.0	32.5	2.6	7.41
VALLIBEL POWER ERATHNA PLC	VPEL.N0000	0	64	6.9	6.7	7.0	6.7	6.8	0.1	1.45
VIDULLANKA PLC	VLL.X0000	0	7	5.0	5.0	5.0	4.8	4.9	0.1	2.0
VIDULLANKA PLC	VLL.N0000	5	1	6.1	6.4	6.4	6.4	6.1	0.0	0.0
WASKADUWA BEACH RESORT PLC	CITW.N0000	0	231	1.5	1.6	1.6	1.2	1.3	0.2	13.33
WATAWALA  PLANTATIONS  PLC	WATA.N0000	0	118	92.3	85.0	93.8	80.1	89.5	2.8	3.03
WINDFORCE PLC	WIND.N0000	0	44	15.1	15.1	15.1	14.9	15.0	0.1	0.66
YORK ARCADE HOLDINGS PLC	YORK.N0000	272	7	125.75	128.0	128.5	127.5	128.0	2.25	1.79
