ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1678241880.0	ABANS ELECTRICALS PLC	ABAN.N0000	30	6	159.0	165.0	165.0	164.0	159.0
1678241880.0	ABANS FINANCE PLC	AFSL.N0000	1036	12	23.0	23.0	23.7	22.0	23.1
1678241880.0	ACCESS ENGINEERING PLC	AEL.N0000	686132	162	14.1	14.1	14.4	13.9	13.9
1678241880.0	ACL CABLES PLC	ACL.N0000	1133434	819	80.8	81.5	84.9	81.0	81.8
1678241880.0	ACL PLASTICS PLC	APLA.N0000	1843	33	380.25	416.25	420.0	400.0	407.0
1678241880.0	ACME PRINTING & PACKAGING PLC	ACME.N0000	31025	6	6.8	6.9	6.9	6.8	6.9
1678241880.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	179494	117	32.1	32.5	32.9	31.8	31.9
1678241880.0	AGSTAR PLC	AGST.N0000	557944	118	13.5	13.8	13.9	13.3	13.4
1678241880.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	269001	115	61.4	61.4	62.3	60.6	61.5
1678241880.0	AITKEN SPENCE PLC	SPEN.N0000	30999	40	141.25	141.0	142.0	139.5	140.0
1678241880.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	18582	93	67.7	69.1	71.4	65.6	68.1
1678241880.0	ALUMEX PLC	ALUM.N0000	533907	150	7.9	7.9	8.3	7.9	8.2
1678241880.0	AMANA BANK PLC	ABL.N0000	3757336	188	2.8	2.8	2.9	2.7	2.7
1678241880.0	AMANA TAKAFUL LIFE PLC	ATLL.N0000	79	4	34.7	40.0	40.0	38.0	34.7
1678241880.0	AMANA TAKAFUL PLC	ATL.N0000	1716	3	12.2	12.0	12.0	12.0	12.0
1678241880.0	AMBEON CAPITAL PLC	TAP.N0000	243713	99	9.5	9.7	9.7	9.4	9.5
1678241880.0	AMBEON HOLDINGS PLC	GREG.N0000	9795	17	33.5	33.0	34.0	32.7	33.1
1678241880.0	ASIA ASSET FINANCE PLC	AAF.N0000	8069	16	8.3	8.1	8.5	8.1	8.4
1678241880.0	ASIA CAPITAL PLC	ACAP.N0000	5571	6	4.1	4.2	4.2	4.1	4.1
1678241880.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	41505	20	4.1	4.1	4.2	4.1	4.2
1678241880.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	25861	19	40.9	40.2	41.9	39.6	40.3
1678241880.0	ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	3555	15	26.1	27.0	27.0	26.4	26.5
1678241880.0	ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	29650	29	12.6	12.7	13.0	12.6	12.6
1678241880.0	ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	67000	35	8.0	8.2	8.3	7.9	8.2
1678241880.0	B P P L HOLDINGS PLC	BPPL.N0000	14445	4	21.5	21.5	22.4	21.5	22.0
1678241880.0	BAIRAHA FARMS PLC	BFL.N0000	39226	77	140.75	141.0	155.0	141.0	147.0
1678241880.0	BALANGODA  PLANTATIONS  PLC	BALA.N0000	21670	84	67.4	68.0	68.0	63.2	64.5
1678241880.0	BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	1	1	11.3	11.3	11.3	11.3	11.3
1678241880.0	BERUWALA RESORTS PLC	BERU.N0000	865603	31	1.4	1.4	1.5	1.4	1.4
1678241880.0	BOGALA GRAPHITE LANKA PLC	BOGA.N0000	123408	168	64.7	65.2	67.0	63.0	64.3
1678241880.0	BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	4906	44	47.5	45.5	45.5	43.0	43.7
1678241880.0	BROWN & COMPANY PLC	BRWN.N0000	75826	150	121.75	125.0	126.25	120.0	120.75
1678241880.0	BROWNS BEACH HOTELS PLC	BBH.N0000	19494	12	13.2	13.2	13.2	12.2	12.5
1678241880.0	BROWNS INVESTMENTS PLC	BIL.N0000	11292955	893	6.4	6.4	6.7	6.3	6.4
1678241880.0	BUKIT DARAH PLC	BUKI.N0000	379	14	396.25	394.5	409.75	394.0	398.75
1678241880.0	C I C HOLDINGS PLC	CIC.X0000	292076	191	54.9	55.5	56.9	54.8	55.1
