ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1686800880.0	ABANS ELECTRICALS PLC	ABAN.N0000	544	6	138.0	137.0	139.75	137.0	138.5
1686800880.0	ACCESS ENGINEERING PLC	AEL.N0000	948475	170	15.7	15.7	15.9	15.5	15.8
1686800880.0	ACL CABLES PLC	ACL.N0000	116860	145	75.1	75.0	76.2	74.0	75.0
1686800880.0	ACL PLASTICS PLC	APLA.N0000	89	14	361.25	361.5	366.0	360.0	361.25
1686800880.0	ACME PRINTING & PACKAGING PLC	ACME.N0000	305	3	5.9	5.9	5.9	5.9	5.9
1686800880.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	33071	46	29.0	29.0	29.5	29.0	29.2
1686800880.0	AGSTAR PLC	AGST.N0000	760365	210	11.2	11.2	11.3	10.6	10.7
1686800880.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	54632	9	57.5	57.5	57.6	56.5	57.5
1686800880.0	AITKEN SPENCE PLC	SPEN.N0000	1900	5	118.5	121.0	121.0	118.0	120.0
1686800880.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	8201	22	65.0	65.5	67.0	65.0	66.0
1686800880.0	ALUMEX PLC	ALUM.N0000	668470	126	8.5	8.5	9.1	8.5	8.6
1686800880.0	AMANA BANK PLC	ABL.N0000	793905	84	2.5	2.6	2.6	2.5	2.5
1686800880.0	AMANA TAKAFUL LIFE PLC	ATLL.N0000	329	4	33.1	30.0	31.5	30.0	30.3
1686800880.0	AMANA TAKAFUL PLC	ATL.N0000	4010	2	11.5	11.0	11.0	11.0	11.0
1686800880.0	AMBEON CAPITAL PLC	TAP.N0000	118880	41	10.2	10.6	10.6	10.1	10.2
1686800880.0	AMBEON HOLDINGS PLC	GREG.N0000	27257	44	36.3	36.6	37.9	34.7	36.9
1686800880.0	ASIA ASSET FINANCE PLC	AAF.N0000	9140	15	8.2	8.2	8.2	7.9	7.9
1686800880.0	ASIA CAPITAL PLC	ACAP.N0000	5592	8	4.0	4.0	4.0	3.9	3.9
1686800880.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	65107	18	4.1	4.0	4.1	4.0	4.0
1686800880.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	14000	18	39.3	39.3	39.3	37.6	39.2
1686800880.0	ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	4828	7	22.1	22.4	22.6	22.4	22.5
1686800880.0	ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	26403	15	7.9	8.0	8.0	7.0	7.4
1686800880.0	B P P L HOLDINGS PLC	BPPL.N0000	20648	32	20.0	20.1	20.8	20.0	20.1
1686800880.0	BAIRAHA FARMS PLC	BFL.N0000	4020	23	130.5	130.0	133.0	128.5	130.0
1686800880.0	BALANGODA  PLANTATIONS  PLC	BALA.N0000	16935	18	65.1	65.1	65.1	65.0	65.0
1686800880.0	BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	1001	2	10.9	11.0	11.0	10.8	10.8
1686800880.0	BERUWALA RESORTS PLC	BERU.N0000	124064	7	1.3	1.3	1.3	1.3	1.3
1686800880.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	1716398	91	0.5	0.4	0.5	0.4	0.4
1686800880.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	573691	13	0.3	0.4	0.4	0.3	0.3
1686800880.0	BOGALA GRAPHITE LANKA PLC	BOGA.N0000	9803	29	55.9	58.3	58.3	54.1	54.8
1686800880.0	BROWN & COMPANY PLC	BRWN.N0000	9226	55	110.5	113.0	113.0	108.25	108.25
1686800880.0	BROWNS BEACH HOTELS PLC	BBH.N0000	10	2	11.2	11.8	11.8	11.7	11.2
