name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	9	2	130.5	147.0	147.0	146.25	130.5	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	1	1	20.2	21.3	21.3	21.3	20.2	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	88	10.1	10.0	10.2	9.9	9.9	0.2	1.98
ACL CABLES PLC	ACL.N0000	0	78	37.0	37.9	37.9	36.5	36.6	0.4	1.08
ACL PLASTICS PLC	APLA.N0000	0	25	295.75	298.0	300.0	295.0	295.25	0.5	0.17
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	8	4.9	5.0	5.0	5.0	5.0	0.1	2.04
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	117	33.4	34.4	34.7	32.5	34.3	0.9	2.69
AGSTAR PLC	AGST.N0000	0	98	6.4	6.5	6.7	6.2	6.2	0.2	3.13
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	83	5	34.5	35.0	35.0	34.5	34.5	0.0	0.0
AITKEN SPENCE PLC	SPEN.N0000	0	43	83.2	83.0	87.0	83.0	86.7	3.5	4.21
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	8	52.3	52.5	52.5	50.0	50.0	2.3	4.4
ALUMEX PLC	ALUM.N0000	0	18	6.5	6.6	6.6	6.3	6.5	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	44	2.8	3.0	3.0	2.8	2.8	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	2	1	24.1	24.1	24.1	24.1	24.1	0.0	0.0
AMANA TAKAFUL PLC	ATL.N0000	53	3	9.0	9.0	9.0	9.0	9.0	0.0	0.0
AMBEON CAPITAL PLC	TAP.N0000	180	2	6.0	6.2	6.3	6.2	6.2	0.2	3.33
AMBEON HOLDINGS PLC	GREG.N0000	0	30	37.2	38.4	38.4	34.0	35.9	1.3	3.49
ASIA ASSET FINANCE PLC	AAF.N0000	0	10	5.6	5.7	5.7	5.6	5.6	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	39	1	3.9	4.0	4.0	4.0	3.9	0.0	0.0
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	11	3.2	3.3	3.3	3.2	3.2	0.0	0.0
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	4	29.1	30.7	30.8	29.0	29.0	0.1	0.34
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	13	31.0	31.0	35.0	31.0	33.4	2.4	7.74
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	36	14.1	14.4	15.1	14.4	15.0	0.9	6.38
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	800	3	7.3	7.1	7.3	7.1	7.3	0.0	0.0
