name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	7	2	160.0	160.0	160.0	159.75	160.0	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	292	4	23.8	23.4	23.4	23.0	23.0	0.8	3.36
ACCESS ENGINEERING PLC	AEL.N0000	0	170	11.9	12.0	12.0	11.2	11.6	0.3	2.52
ACL CABLES PLC	ACL.N0000	0	534	64.4	63.5	64.0	60.6	63.1	1.3	2.02
ACL PLASTICS PLC	APLA.N0000	0	11	432.5	445.0	445.0	425.0	441.5	9.0	2.08
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	64	6.0	6.0	6.2	5.9	6.1	0.1	1.67
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	284	41.0	41.1	42.8	37.0	40.7	0.3	0.73
AGSTAR PLC	AGST.N0000	0	364	13.2	12.6	13.9	12.6	13.5	0.3	2.27
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	115	52.0	50.7	52.5	48.5	51.7	0.3	0.58
AITKEN SPENCE PLC	SPEN.N0000	0	141	118.0	120.0	120.0	116.75	118.0	0.0	0.0
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	249	74.2	77.0	85.0	77.0	79.4	5.2	7.01
ALUMEX PLC	ALUM.N0000	0	129	8.5	8.3	8.5	7.8	8.2	0.3	3.53
AMANA BANK PLC	ABL.N0000	0	29	2.8	2.8	2.8	2.7	2.7	0.1	3.57
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	3	28.0	29.0	29.0	29.0	29.0	1.0	3.57
AMANA TAKAFUL PLC	ATL.N0000	0	6	9.2	9.2	9.2	9.0	9.2	0.0	0.0
AMBEON CAPITAL PLC	TAP.N0000	0	96	10.1	10.5	10.5	9.3	10.1	0.0	0.0
AMBEON HOLDINGS PLC	GREG.N0000	0	11	39.0	39.0	39.0	38.0	38.5	0.5	1.28
ARPICO INSURANCE PLC	AINS.N0000	0	7	18.5	18.4	18.4	17.5	17.6	0.9	4.86
ASIA ASSET FINANCE PLC	AAF.N0000	11	2	5.7	6.0	6.0	6.0	5.7	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	16	4.8	4.8	5.0	4.7	5.0	0.2	4.17
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	237	4.3	4.3	4.3	4.1	4.2	0.1	2.33
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	31	38.1	38.0	41.0	38.0	38.0	0.1	0.26
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	13	29.0	29.9	29.9	28.9	29.6	0.6	2.07
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	13	14.1	14.8	14.8	14.0	14.3	0.2	1.42
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	19	9.3	9.2	9.3	8.9	8.9	0.4	4.3
B P P L HOLDINGS PLC	BPPL.N0000	0	30	27.5	27.4	27.7	25.6	26.0	1.5	5.45
