name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	23	2	158.0	156.0	156.0	156.0	158.0	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	577	4	25.1	25.5	25.5	25.0	25.1	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	184	27.1	27.4	27.4	26.6	26.8	0.3	1.11
ACL CABLES PLC	ACL.N0000	0	778	75.5	77.0	78.9	75.5	78.1	2.6	3.44
ACL PLASTICS PLC	APLA.N0000	0	53	478.25	475.0	488.0	475.0	485.0	6.75	1.41
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	8	12.1	11.9	12.2	11.8	11.8	0.3	2.48
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	445	35.2	36.0	37.9	36.0	37.3	2.1	5.97
AGSTAR PLC	AGST.N0000	0	422	9.1	9.6	10.2	9.0	9.9	0.8	8.79
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	43	39.7	39.9	40.0	38.5	38.5	1.2	3.02
AITKEN SPENCE PLC	SPEN.N0000	0	69	84.9	86.4	87.0	84.0	85.0	0.1	0.12
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	86	79.8	80.0	83.9	79.6	82.2	2.4	3.01
ALUMEX PLC	ALUM.N0000	0	82	13.7	13.9	13.9	13.5	13.6	0.1	0.73
AMANA BANK PLC	ABL.N0000	0	116	4.5	4.8	4.8	4.5	4.6	0.1	2.22
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	11	17.8	17.9	18.8	17.5	18.0	0.2	1.12
AMANA TAKAFUL PLC	ATL.N0000	0	5	11.3	11.5	11.5	11.3	11.5	0.2	1.77
AMBEON CAPITAL PLC	TAP.N0000	0	141	17.9	17.8	18.9	17.5	17.8	0.1	0.56
AMBEON HOLDINGS PLC	GREG.N0000	0	38	43.1	44.7	44.7	42.6	43.0	0.1	0.23
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	37	1.3	1.3	1.4	1.3	1.3	0.0	0.0
ARPICO INSURANCE PLC	AINS.N0000	0	58	21.2	20.9	21.1	20.0	21.0	0.2	0.94
ASIA ASSET FINANCE PLC	AAF.N0000	0	30	7.8	8.0	8.2	7.9	8.0	0.2	2.56
ASIA CAPITAL PLC	ACAP.N0000	0	6	7.0	7.2	7.5	7.2	7.2	0.2	2.86
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	61	3.3	3.4	3.5	3.3	3.3	0.0	0.0
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	27	43.4	43.0	43.5	42.5	43.0	0.4	0.92
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	47	31.9	31.2	31.2	27.0	29.2	2.7	8.46
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	8	16.0	16.0	16.1	15.9	16.1	0.1	0.63
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	125	13.5	13.5	13.9	13.1	13.1	0.4	2.96
B P P L HOLDINGS PLC	BPPL.N0000	0	88	22.7	23.1	23.1	21.9	22.1	0.6	2.64
BAIRAHA FARMS PLC	BFL.N0000	0	139	183.25	186.75	194.0	186.0	190.0	6.75	3.68
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	10	21.0	21.1	22.3	21.0	22.0	1.0	4.76
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	9	9.8	9.6	9.6	9.1	9.2	0.6	6.12
BERUWALA RESORTS PLC	BERU.N0000	0	70	1.4	1.3	1.4	1.3	1.3	0.1	7.14
BIMPUTH FINANCE PLC	BLI.N0000	0	66	7.2	7.1	7.5	6.9	7.1	0.1	1.39
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	4	0.8	0.7	0.7	0.7	0.7	0.1	12.5
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	891	5	0.4	0.3	0.4	0.3	0.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	881	111.5	114.0	118.0	107.0	116.5	5.0	4.48
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	18	11.6	11.8	11.8	11.5	11.5	0.1	0.86
