name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	512	6	173.5	175.0	175.0	173.0	173.0	-0.5	-0.29
ABANS FINANCE PLC	AFSL.N0000	0	3	28.8	29.9	30.0	29.9	30.0	1.2	4.17
ACCESS ENGINEERING PLC	AEL.N0000	0	246	23.2	23.2	23.3	23.0	23.0	-0.2	-0.86
ACL CABLES PLC	ACL.N0000	0	256	41.8	41.8	42.6	41.8	42.4	0.6	1.44
ACL PLASTICS PLC	APLA.N0000	0	26	271.75	266.5	273.0	266.25	273.0	1.25	0.46
ACME PRINTING & PACKAGING PLC	ACME.N0000	887	3	6.2	6.3	6.3	6.3	6.3	0.1	1.61
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	0	21	25.0	25.2	25.8	25.1	25.2	0.2	0.8
AGSTAR PLC	AGST.N0000	0	20	7.7	7.8	7.9	7.5	7.7	0.0	0.0
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	129	31.8	31.7	34.1	31.7	33.9	2.1	6.6
AITKEN SPENCE PLC	SPEN.N0000	0	268	61.9	62.2	65.8	62.2	65.0	3.1	5.01
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	82	71.9	71.8	74.1	71.8	73.9	2.0	2.78
ALUMEX PLC	ALUM.N0000	0	50	13.5	13.7	13.7	13.5	13.6	0.1	0.74
AMANA BANK PLC	ABL.N0000	0	104	3.2	3.2	3.3	3.0	3.2	0.0	0.0
AMANA TAKAFUL  PLC	ATL.N0000	0	16	9.0	9.0	9.1	9.0	9.0	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	1	1	9.9	9.8	9.8	9.8	9.9	0.0	0.0
AMBEON CAPITAL PLC	TAP.N0000	0	73	5.9	6.0	6.1	5.8	5.9	0.0	0.0
AMBEON HOLDINGS PLC	GREG.N0000	0	175	23.0	23.7	24.5	23.7	24.0	1.0	4.35
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	207	1.2	1.2	1.3	1.1	1.1	-0.1	-8.33
ARPICO INSURANCE PLC	AINS.N0000	0	11	22.8	23.5	23.5	22.5	22.5	-0.3	-1.32
ASIA ASSET FINANCE PLC	AAF.N0000	0	5	7.5	7.4	7.6	7.4	7.5	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	70	5.2	5.3	5.6	5.3	5.3	0.1	1.92
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	176	2.6	2.6	2.9	2.6	2.8	0.2	7.69
ASIAN HOTELS & PROPERTIES PLC	AHPL.N0000	0	55	39.0	39.5	42.5	39.5	42.0	3.0	7.69
ASIRI  SURGICAL HOSPITAL PLC	AMSL.N0000	460	4	14.7	14.7	14.7	14.6	14.6	-0.1	-0.68
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	6	29.6	29.0	29.7	29.0	29.1	-0.5	-1.69
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	491	228.94	250.0	265.0	237.0	256.5	27.56	12.04
B P P L HOLDINGS PLC	BPPL.N0000	0	67	20.7	20.8	20.9	19.1	20.1	-0.6	-2.9
BAIRAHA FARMS PLC	BFL.N0000	0	48	163.0	163.0	163.0	161.0	162.5	-0.5	-0.31
BALANGODA PLANTATIONS PLC	BALA.N0000	0	37	14.0	14.3	14.7	14.2	14.2	0.2	1.43
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	21	9.0	9.0	9.4	8.9	9.1	0.1	1.11
BERUWALA RESORTS PLC	BERU.N0000	0	83	1.0	1.1	1.1	1.0	1.0	0.0	0.0
BIMPUTH FINANCE PLC	BLI.N0000	0	23	8.8	9.0	9.4	8.6	8.8	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	10	0.9	0.9	0.9	0.8	0.8	-0.1	-11.11
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	5	0.4	0.5	0.5	0.4	0.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	74	38.3	39.2	40.0	37.6	39.4	1.1	2.87
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	22	11.2	11.5	11.6	11.2	11.5	0.3	2.68
BROWN & COMPANY PLC	BRWN.N0000	0	100	175.0	177.0	179.0	175.0	175.5	0.5	0.29
BROWNS BEACH HOTELS PLC	BBH.N0000	0	331	10.4	10.6	11.2	10.4	10.5	0.1	0.96
BROWNS INVESTMENTS PLC	BIL.N0000	0	381	6.3	6.3	6.4	6.2	6.3	0.0	0.0
BUKIT DARAH PLC	BUKI.N0000	0	40	302.0	308.75	309.5	300.0	305.25	3.25	1.08
C M HOLDINGS PLC	COLO.N0000	0	40	99.0	99.0	99.9	98.0	98.1	-0.9	-0.91
C T HOLDINGS PLC	CTHR.N0000	0	1	183.0	182.0	182.0	182.0	182.0	-1.0	-0.55
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	15	26.0	26.0	26.0	25.3	25.4	-0.6	-2.31
C. W. MACKIE PLC	CWM.N0000	0	63	68.6	68.9	69.4	68.7	69.0	0.4	0.58
CARGILLS (CEYLON) PLC	CARG.N0000	0	15	246.75	249.0	250.0	247.0	247.0	0.25	0.1
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	68	66.6	67.4	74.0	67.4	70.9	4.3	6.46
CARSON CUMBERBATCH PLC	CARS.N0000	623	7	295.25	299.0	304.0	292.0	304.0	8.75	2.96
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	95	89.7	90.4	91.5	90.0	90.8	1.1	1.23
CENTRAL INDUSTRIES PLC	CIND.N0000	0	49	118.25	118.75	119.5	117.0	117.75	-0.5	-0.42
CEYLINCO INSURANCE PLC	CINS.X0000	0	12						-43.0	-3.94
CEYLINCO INSURANCE PLC	CINS.N0000	51	3						0.0	0.0
CEYLON COLD STORES PLC	CCS.N0000	0	7	667.0	667.0	669.0	660.0	668.75	1.75	0.26
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	58	141.0	141.75	142.5	140.75	142.25	1.25	0.89
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	0	64	116.0	116.0	119.75	115.75	116.0	0.0	0.0
CEYLON HOSPITALS PLC (DURDANS)	CHL.X0000	190	1	91.1	91.0	91.0	91.0	91.0	-0.1	-0.11
CEYLON HOSPITALS PLC (DURDANS)	CHL.N0000	435	9	104.25	106.75	107.0	106.5	106.75	2.5	2.4
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	0	214	13.1	13.2	15.5	13.2	14.8	1.7	12.98
CEYLON INVESTMENT PLC	CINV.N0000	0	28	60.6	61.0	62.5	61.0	61.5	0.9	1.49
CEYLON TEA BROKERS PLC	CTBL.N0000	0	113	3.8	3.8	4.1	3.7	3.9	0.1	2.63
CEYLON TOBACCO COMPANY PLC	CTC.N0000	382	9	966.0	970.0	980.0	970.0	980.0	14.0	1.45
CHEMANEX PLC	CHMX.N0000	814	5	75.2	77.9	77.9	75.2	75.4	0.2	0.27
