name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	143	8	174.75	179.5	179.5	170.0	173.5	-1.25	-0.72
ABANS FINANCE PLC	AFSL.N0000	0	17	28.5	28.6	30.0	28.6	29.9	1.4	4.91
ACCESS ENGINEERING PLC	AEL.N0000	0	127	23.0	23.2	23.5	23.0	23.3	0.3	1.3
ACL CABLES PLC	ACL.N0000	0	318	41.1	41.5	42.4	41.5	41.9	0.8	1.95
ACL PLASTICS PLC	APLA.N0000	0	11	265.5	265.0	272.0	265.0	270.0	4.5	1.69
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	0	8	25.5	25.5	25.5	25.0	25.0	-0.5	-1.96
AGSTAR PLC	AGST.N0000	0	12	7.3	7.3	7.6	7.3	7.4	0.1	1.37
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	33	31.0	31.2	31.5	31.0	31.3	0.3	0.97
AITKEN SPENCE PLC	SPEN.N0000	0	98	59.9	60.7	61.5	60.0	61.5	1.6	2.67
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	35	70.6	72.3	72.3	70.5	71.9	1.3	1.84
ALUMEX PLC	ALUM.N0000	0	138	13.4	13.5	13.7	13.5	13.6	0.2	1.49
AMANA BANK PLC	ABL.N0000	0	23	3.1	3.2	3.2	3.1	3.2	0.1	3.23
AMANA TAKAFUL  PLC	ATL.N0000	0	60	8.8	8.8	8.8	8.3	8.4	-0.4	-4.55
AMANA TAKAFUL LIFE PLC	ATLL.N0000	1	1	8.7	9.7	9.7	9.7	8.7	0.0	0.0
AMBEON CAPITAL PLC	TAP.N0000	0	59	5.5	5.7	5.9	5.7	5.8	0.3	5.45
AMBEON HOLDINGS PLC	GREG.N0000	0	103	21.5	21.8	22.4	21.5	22.1	0.6	2.79
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	53	1.1	1.0	1.2	1.0	1.1	0.0	0.0
ARPICO INSURANCE PLC	AINS.N0000	730	9	23.5	23.7	23.7	22.6	23.4	-0.1	-0.43
ASIA ASSET FINANCE PLC	AAF.N0000	0	18	7.7	7.5	7.6	7.5	7.5	-0.2	-2.6
ASIA CAPITAL PLC	ACAP.N0000	0	11	5.0	5.1	5.3	5.1	5.2	0.2	4.0
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	15	2.5	2.6	2.7	2.6	2.6	0.1	4.0
ASIAN HOTELS & PROPERTIES PLC	AHPL.N0000	551	5	38.5	39.0	39.0	38.9	39.0	0.5	1.3
