name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	730	22	179.5	169.0	180.0	163.0	171.25	8.25	4.6
ABANS FINANCE PLC	AFSL.N0000	0	23	24.3	26.0	26.0	24.0	24.1	0.2	0.82
ACCESS ENGINEERING PLC	AEL.N0000	0	231	11.8	11.9	11.9	11.4	11.6	0.2	1.69
ACL CABLES PLC	ACL.N0000	0	0	109.0	109.0	109.0	105.0	107.25	1.75	1.61
ACL PLASTICS PLC	APLA.N0000	0	48	508.5	511.0	519.0	491.0	500.0	8.5	1.67
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	65	6.9	7.1	7.1	6.5	6.5	0.4	5.8
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	103	41.0	41.0	41.0	40.3	40.5	0.5	1.22
AGSTAR PLC	AGST.N0000	0	146	17.3	17.4	17.5	15.4	16.8	0.5	2.89
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	12	60.6	60.6	62.9	60.6	61.1	0.5	0.83
AITKEN SPENCE PLC	SPEN.N0000	0	56	133.0	132.0	133.0	130.0	131.25	1.75	1.32
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	90	75.0	75.0	75.0	73.0	73.2	1.8	2.4
ALUMEX PLC	ALUM.N0000	0	241	10.0	10.4	10.5	9.9	10.0	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	84	3.6	3.7	3.7	3.4	3.5	0.1	2.78
AMANA TAKAFUL LIFE PLC	ATLL.N0000	122	10	32.3	26.6	30.9	26.6	27.1	5.2	16.1
AMANA TAKAFUL PLC	ATL.N0000	0	7	10.8	10.6	11.5	10.6	11.5	0.7	6.48
AMBEON CAPITAL PLC	TAP.N0000	0	460	12.8	13.0	13.9	12.4	12.9	0.1	0.78
AMBEON HOLDINGS PLC	GREG.N0000	0	73	41.1	39.6	44.5	39.6	42.4	1.3	3.16
ARPICO INSURANCE PLC	AINS.N0000	518	6	20.0	20.1	21.1	20.1	20.9	0.9	4.5
ASIA ASSET FINANCE PLC	AAF.N0000	0	72	6.9	6.9	8.0	6.5	7.7	0.8	11.59
ASIA CAPITAL PLC	ACAP.N0000	0	14	5.5	5.8	5.9	5.6	5.7	0.2	3.64
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	458	5.9	6.0	6.1	5.4	5.7	0.2	3.39
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	26	44.9	45.1	45.1	44.1	44.1	0.8	1.78
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	73	27.8	28.0	29.2	27.4	28.0	0.2	0.72
