name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	74	5	140.5	140.0	146.75	138.0	140.5	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	2	1	21.0	22.0	22.0	22.0	21.0	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	50	9.7	9.7	9.9	9.6	9.8	0.1	1.03
ACL CABLES PLC	ACL.N0000	0	734	70.1	70.1	76.5	69.7	74.4	4.3	6.13
ACL PLASTICS PLC	APLA.N0000	355	14	418.5	412.0	418.5	412.0	412.75	5.75	1.37
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	19	5.6	5.6	5.7	5.6	5.7	0.1	1.79
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	45	29.8	30.0	31.0	30.0	30.2	0.4	1.34
AGSTAR PLC	AGST.N0000	0	158	15.5	15.5	16.3	15.5	15.8	0.3	1.94
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	19	54.1	54.1	54.1	52.5	53.3	0.8	1.48
AITKEN SPENCE PLC	SPEN.N0000	0	14	131.0	131.0	132.0	127.0	130.5	0.5	0.38
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	10	55.9	56.0	56.8	55.5	56.0	0.1	0.18
ALUMEX PLC	ALUM.N0000	0	44	7.0	7.1	7.1	6.7	6.9	0.1	1.43
AMANA BANK PLC	ABL.N0000	0	17	2.9	2.9	3.0	2.9	2.9	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	167	4	34.5	35.0	35.0	34.9	35.0	0.5	1.45
AMANA TAKAFUL PLC	ATL.N0000	15	3	11.1	12.0	12.0	12.0	11.1	0.0	0.0
AMBEON CAPITAL PLC	TAP.N0000	0	117	7.5	7.5	8.2	7.2	8.0	0.5	6.67
AMBEON HOLDINGS PLC	GREG.N0000	0	6	39.0	36.1	38.8	36.1	38.4	0.6	1.54
ASIA ASSET FINANCE PLC	AAF.N0000	0	9	7.0	7.2	7.2	6.6	6.6	0.4	5.71
ASIA CAPITAL PLC	ACAP.N0000	88	3	4.0	4.2	4.2	4.2	4.0	0.0	0.0
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	23	4.1	4.1	4.1	4.0	4.1	0.0	0.0
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	51	3	35.9	35.8	35.8	35.8	35.9	0.0	0.0
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	7	26.5	26.6	26.7	26.6	26.6	0.1	0.38
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	32	12.5	12.6	12.6	12.0	12.3	0.2	1.6
B P P L HOLDINGS PLC	BPPL.N0000	65	3	23.0	23.7	23.7	23.5	23.0	0.0	0.0
BAIRAHA FARMS PLC	BFL.N0000	0	50	159.75	159.75	160.0	152.25	155.5	4.25	2.66
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	44	80.2	80.0	84.0	80.0	80.8	0.6	0.75
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	360	1	9.6	9.9	9.9	9.9	9.9	0.3	3.13
BERUWALA RESORTS PLC	BERU.N0000	0	8	1.2	1.2	1.3	1.2	1.2	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	22	47.7	46.1	48.8	46.1	46.7	1.0	2.1
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	136	42.5	40.4	46.9	40.4	45.9	3.4	8.0
BROWN & COMPANY PLC	BRWN.N0000	0	82	106.75	106.0	108.0	105.0	105.75	1.0	0.94
BROWNS INVESTMENTS PLC	BIL.N0000	0	490	5.0	5.1	5.3	4.9	5.1	0.1	2.0
BUKIT DARAH PLC	BUKI.N0000	896	4	285.0	297.5	310.0	297.5	308.25	23.25	8.16
C I C HOLDINGS PLC	CIC.N0000	0	50	79.7	80.0	82.0	80.0	80.3	0.6	0.75
C I C HOLDINGS PLC	CIC.X0000	0	79	52.5	52.5	54.1	52.5	53.1	0.6	1.14
C. W. MACKIE PLC	CWM.N0000	604	6	80.0	83.7	83.8	78.0	80.4	0.4	0.5
CAPITAL ALLIANCE PLC	CALT.N0000	0	94	16.8	17.5	18.0	17.1	17.9	1.1	6.55
CARGILLS (CEYLON) PLC	CARG.N0000	0	2	212.0	217.0	217.0	215.0	217.0	5.0	2.36
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	20	1	52.4	53.0	53.0	53.0	52.4	0.0	0.0
CARSON CUMBERBATCH PLC	CARS.N0000	5	1	275.25	279.0	279.0	279.0	275.25	0.0	0.0
CENTRAL INDUSTRIES PLC	CIND.N0000	0	14	57.1	61.0	61.0	57.0	59.9	2.8	4.9
CEYLINCO INSURANCE PLC	CINS.X0000	110	6	950.0	952.0	953.0	951.0	951.25	1.25	0.13
CEYLON COLD STORES PLC	CCS.N0000	0	58	33.7	33.5	35.3	33.5	34.2	0.5	1.48
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	38	79.8	82.4	84.5	80.0	83.2	3.4	4.26
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	48	1	63.8	63.7	63.7	63.7	63.8	0.0	0.0
CEYLON HOSPITALS PLC	CHL.N0000	10	2	140.25	140.0	140.0	140.0	140.25	0.0	0.0
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	0	24	19.4	20.4	20.4	19.0	19.8	0.4	2.06
CEYLON INVESTMENT PLC	CINV.N0000	0	5	29.5	30.0	31.4	30.0	30.3	0.8	2.71
CEYLON TEA BROKERS PLC	CTBL.N0000	0	25	3.8	3.8	4.0	3.8	3.9	0.1	2.63
CEYLON TOBACCO COMPANY PLC	CTC.N0000	0	13	574.25	580.0	589.75	570.0	571.75	2.5	0.44
CHEMANEX PLC	CHMX.N0000	103	3	69.5	68.0	70.0	68.0	69.5	0.0	0.0
CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	0	111	90.6	91.5	93.1	90.8	91.5	0.9	0.99
CHRISSWORLD PLC	CWL.N0000	783	2	10.8	11.0	11.0	11.0	11.0	0.2	1.85
