name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	28	4	180.5	175.5	175.5	175.5	180.5	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	0	73	24.0	25.0	28.4	25.0	25.3	1.3	5.42
ACCESS ENGINEERING PLC	AEL.N0000	0	242	12.4	12.4	12.8	12.0	12.1	0.3	2.42
ACL CABLES PLC	ACL.N0000	0	0	100.0	101.5	101.5	95.8	96.9	3.1	3.1
ACL PLASTICS PLC	APLA.N0000	0	89	542.0	525.0	540.0	500.0	503.75	38.25	7.06
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	21	6.8	6.8	7.0	6.7	6.8	0.0	0.0
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	248	42.0	41.7	42.8	40.8	41.1	0.9	2.14
AGSTAR PLC	AGST.N0000	0	193	17.9	18.0	18.7	17.3	17.4	0.5	2.79
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	55	66.0	66.0	66.0	64.5	65.1	0.9	1.36
AITKEN SPENCE PLC	SPEN.N0000	0	60	138.0	138.0	139.0	135.0	135.5	2.5	1.81
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	271	88.8	89.0	89.0	85.1	88.0	0.8	0.9
ALUMEX PLC	ALUM.N0000	0	180	10.2	10.2	10.4	9.8	10.0	0.2	1.96
AMANA BANK PLC	ABL.N0000	0	115	3.5	3.5	3.7	3.4	3.4	0.1	2.86
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	5	30.0	30.0	31.5	30.0	30.0	0.0	0.0
AMANA TAKAFUL PLC	ATL.N0000	0	9	11.5	11.4	11.4	10.6	11.2	0.3	2.61
AMBEON CAPITAL PLC	TAP.N0000	0	187	11.9	12.2	12.5	11.2	12.0	0.1	0.84
AMBEON HOLDINGS PLC	GREG.N0000	0	33	40.1	40.0	41.9	38.1	40.0	0.1	0.25
ARPICO INSURANCE PLC	AINS.N0000	0	21	20.5	20.8	22.6	20.0	20.0	0.5	2.44
ASIA ASSET FINANCE PLC	AAF.N0000	0	117	6.6	6.7	7.5	6.7	7.2	0.6	9.09
ASIA CAPITAL PLC	ACAP.N0000	0	13	5.5	5.8	5.8	5.4	5.6	0.1	1.82
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	110	4.1	4.1	4.3	4.0	4.2	0.1	2.44
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	12	47.0	45.6	47.0	45.0	45.4	1.6	3.4
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	65	28.1	28.3	28.9	27.9	28.0	0.1	0.36
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	4	14.9	15.0	15.0	14.9	14.9	0.0	0.0
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	28	10.0	10.2	10.2	9.5	9.9	0.1	1.0
B P P L HOLDINGS PLC	BPPL.N0000	0	51	26.9	26.7	27.0	26.0	26.3	0.6	2.23
BAIRAHA FARMS PLC	BFL.N0000	0	110	229.75	231.5	238.5	227.0	228.25	1.5	0.65
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	115	108.5	111.0	112.5	107.0	107.5	1.0	0.92
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	215	5	12.5	12.9	12.9	11.7	12.7	0.2	1.6
BERUWALA RESORTS PLC	BERU.N0000	0	21	1.3	1.3	1.4	1.3	1.3	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	388	69.6	70.8	80.0	70.8	77.1	7.5	10.78
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	68	65.5	65.6	66.9	64.3	65.0	0.5	0.76
BROWN & COMPANY PLC	BRWN.N0000	0	184	160.0	160.0	164.0	156.0	157.25	2.75	1.72
BROWNS BEACH HOTELS PLC	BBH.N0000	0	212	13.4	13.5	15.6	13.5	15.2	1.8	13.43
BROWNS INVESTMENTS PLC	BIL.N0000	0	0	7.7	7.7	7.8	7.5	7.6	0.1	1.3
BUKIT DARAH PLC	BUKI.N0000	0	12	308.25	310.0	310.0	310.0	310.0	1.75	0.57
