ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1685418480.0	ABANS ELECTRICALS PLC	ABAN.N0000	116	2	136.25	136.25	136.25	136.0	136.0
1685418480.0	ABANS FINANCE PLC	AFSL.N0000	220	5	22.2	21.4	21.4	21.4	21.4
1685418480.0	ACCESS ENGINEERING PLC	AEL.N0000	305538	56	14.5	14.5	14.5	14.0	14.0
1685418480.0	ACL CABLES PLC	ACL.N0000	20995	42	67.0	67.0	69.3	66.7	68.3
1685418480.0	ACL PLASTICS PLC	APLA.N0000	73	7	372.0	370.0	370.0	363.0	372.0
1685418480.0	ACME PRINTING & PACKAGING PLC	ACME.N0000	60002	5	5.7	6.2	6.2	5.7	5.7
1685418480.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	19744	61	28.2	28.7	28.7	27.2	27.7
1685418480.0	AGSTAR PLC	AGST.N0000	42440	36	10.2	10.1	10.4	10.1	10.2
1685418480.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	22053	20	57.0	56.7	57.0	56.0	56.0
1685418480.0	AITKEN SPENCE PLC	SPEN.N0000	198	10	120.0	120.0	120.0	118.75	119.5
1685418480.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	10842	23	59.8	61.0	61.0	59.3	60.6
1685418480.0	ALPHA FIRE SERVICES PLC	AFS.N0000	4	1	20.3	25.3	25.3	25.3	20.3
1685418480.0	ALUMEX PLC	ALUM.N0000	132243	23	7.9	7.9	7.9	7.7	7.7
1685418480.0	AMANA BANK PLC	ABL.N0000	983874	61	2.4	2.3	2.4	2.3	2.3
1685418480.0	AMANA TAKAFUL LIFE PLC	ATLL.N0000	76	2	33.1	36.3	36.3	28.1	33.1
1685418480.0	AMANA TAKAFUL PLC	ATL.N0000	9998	1	10.6	11.0	11.0	11.0	11.0
1685418480.0	AMBEON CAPITAL PLC	TAP.N0000	83417	62	9.5	9.6	9.6	9.1	9.2
1685418480.0	AMBEON HOLDINGS PLC	GREG.N0000	66	10	36.7	35.0	35.0	32.7	36.7
1685418480.0	ARPICO INSURANCE PLC	AINS.N0000	10	1	20.0	20.9	20.9	20.9	20.0
1685418480.0	ASIA ASSET FINANCE PLC	AAF.N0000	5000	4	8.5	8.1	8.1	8.1	8.1
1685418480.0	ASIA CAPITAL PLC	ACAP.N0000	41778	25	3.4	3.4	3.4	3.2	3.4
1685418480.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	91664	18	3.9	3.9	3.9	3.8	3.9
1685418480.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	5	3	36.5	37.8	37.8	35.6	36.5
1685418480.0	ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	27618	37	22.1	22.1	22.1	21.5	21.5
1685418480.0	ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	33	1	11.6	11.8	11.8	11.8	11.6
1685418480.0	ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	2	1	7.0	7.4	7.4	7.4	7.0
1685418480.0	B P P L HOLDINGS PLC	BPPL.N0000	281	3	19.8	19.4	19.6	19.4	19.4
1685418480.0	BAIRAHA FARMS PLC	BFL.N0000	16728	40	132.25	126.25	131.0	126.0	129.25
1685418480.0	BALANGODA  PLANTATIONS  PLC	BALA.N0000	100	1	61.7	64.5	64.5	64.5	64.5
1685418480.0	BERUWALA RESORTS PLC	BERU.N0000	11065	7	1.3	1.2	1.3	1.2	1.3
1685418480.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	170019	39	0.5	0.5	0.6	0.4	0.5
1685418480.0	BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	1052	4	0.3	0.2	0.4	0.2	0.4
1685418480.0	BOGALA GRAPHITE LANKA PLC	BOGA.N0000	3106	15	49.0	49.0	49.1	48.0	49.0
1685418480.0	BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	18598	71	44.5	45.7	50.0	45.5	47.5
1685418480.0	BROWN & COMPANY PLC	BRWN.N0000	19519	92	98.0	100.0	100.0	96.2	97.1
1685418480.0	BROWNS BEACH HOTELS PLC	BBH.N0000	5640	25	10.2	10.3	10.4	10.0	10.4
1685418480.0	BROWNS INVESTMENTS PLC	BIL.N0000	4981273	563	4.9	4.9	5.0	4.7	4.9
1685418480.0	BUKIT DARAH PLC	BUKI.N0000	16	5	374.75	380.75	380.75	370.25	374.75
1685418480.0	C I C HOLDINGS PLC	CIC.N0000	135862	51	62.4	62.0	62.0	60.0	60.0
1685418480.0	C I C HOLDINGS PLC	CIC.X0000	58364	49	42.2	43.0	43.0	41.5	42.5
1685418480.0	C M HOLDINGS PLC	COLO.N0000	1100	3	68.9	66.1	66.1	66.0	66.0
1685418480.0	C T HOLDINGS PLC	CTHR.N0000	12	3	186.5	181.0	181.0	180.0	186.5
1685418480.0	C T LAND DEVELOPMENT PLC	CTLD.N0000	4412	3	22.0	22.0	22.0	22.0	22.0
1685418480.0	C. W. MACKIE PLC	CWM.N0000	11564	39	95.7	93.2	94.6	91.2	94.2
1685418480.0	CAPITAL ALLIANCE PLC	CALT.N0000	76859	28	29.5	29.5	30.0	29.4	29.8
1685418480.0	CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	950	15	52.8	46.3	46.4	46.2	46.2
1685418480.0	CARSON CUMBERBATCH PLC	CARS.N0000	2803	14	264.5	261.0	262.0	260.0	260.5
1685418480.0	CENTRAL FINANCE COMPANY PLC	CFIN.N0000	7542	11	65.1	65.0	65.0	64.0	64.1
1685418480.0	CENTRAL INDUSTRIES PLC	CIND.N0000	811	19	82.0	83.9	83.9	81.5	81.9
1685418480.0	CEYLINCO INSURANCE PLC	CINS.X0000	2	1	1017.0	1070.0	1070.0	1070.0	1017.0
1685418480.0	CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	3004	6	1100.0	1199.0	1288.0	1150.0	1150.0
1685418480.0	CEYLON COLD STORES PLC	CCS.N0000	23854	10	39.8	39.0	39.0	38.1	38.7
1685418480.0	CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	77655	37	88.2	88.5	88.5	87.6	88.4
1685418480.0	CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	410	14	58.3	61.8	61.8	58.0	59.6
1685418480.0	CEYLON HOTELS CORPORATION PLC	CHOT.N0000	11825	23	17.3	17.0	17.9	16.5	17.7
1685418480.0	CEYLON INVESTMENT PLC	CINV.N0000	10994	40	29.4	31.0	31.0	29.0	29.1
1685418480.0	CEYLON TEA BROKERS PLC	CTBL.N0000	57358	37	3.9	4.0	4.1	3.9	4.0
1685418480.0	CEYLON TOBACCO COMPANY PLC	CTC.N0000	2258	17	799.0	772.0	786.0	770.25	784.75
1685418480.0	CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	73911	108	80.0	83.0	83.0	80.0	81.0
1685418480.0	CHRISSWORLD PLC	CWL.N0000	2725	9	9.0	9.0	9.5	8.9	9.0
1685418480.0	CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	334	3	62.5	65.4	65.4	65.0	65.0
1685418480.0	CITRUS LEISURE PLC	REEF.N0000	21060	7	5.5	5.4	5.4	5.4	5.4
1685418480.0	COLOMBO DOCKYARD PLC	DOCK.N0000	255	4	58.3	55.3	55.4	55.3	55.3
1685418480.0	COLOMBO FORT INVESTMENTS PLC	CFI.N0000	211	7	58.0	55.2	55.2	55.0	55.1
1685418480.0	COLOMBO LAND AND DEVELOPMENT COMPANY PLC	CLND.N0000	49532	12	15.9	16.0	16.1	15.8	15.8
1685418480.0	COMMERCIAL BANK OF CEYLON PLC	COMB.N0000	14355	28	57.0	57.3	57.3	56.6	56.9
1685418480.0	COMMERCIAL BANK OF CEYLON PLC	COMB.X0000	10550	13	47.2	46.5	48.0	46.5	46.8
1685418480.0	COMMERCIAL CREDIT AND FINANCE PLC	COCR.N0000	13619	34	21.1	22.0	22.0	20.5	20.8
1685418480.0	COMMERCIAL DEVELOPMENT COMPANY PLC	COMD.N0000	219	4	98.0	95.0	98.4	95.0	95.2
1685418480.0	DANKOTUWA PORCELAIN PLC	DPL.N0000	69657	38	23.3	23.2	23.5	22.5	22.8
1685418480.0	DFCC BANK PLC	DFCC.N0000	3001	14	39.5	39.8	39.8	38.4	38.6
1685418480.0	DIALOG AXIATA PLC	DIAL.N0000	4291	27	10.0	10.2	10.2	9.8	9.9
1685418480.0	DIALOG FINANCE PLC	CALF.N0000	200	1	56.7	68.0	68.0	68.0	68.0
1685418480.0	DIESEL & MOTOR ENGINEERING PLC	DIMO.N0000	716	6	429.75	444.0	450.0	444.0	449.75
1685418480.0	DIPPED PRODUCTS PLC	DIPD.N0000	116862	116	25.8	25.8	26.0	25.6	25.6
1685418480.0	DISTILLERIES COMPANY OF SRI LANKA PLC	DIST.N0000	162472	25	17.8	17.9	18.0	17.7	17.7
1685418480.0	DOLPHIN HOTELS PLC	STAF.N0000	100	1	29.6	30.8	30.8	30.8	30.8
1685418480.0	E - CHANNELLING PLC	ECL.N0000	635	6	14.8	14.2	14.7	14.2	14.7
1685418480.0	E B CREASY & COMPANY PLC	EBCR.N0000	5715	19	17.9	18.5	18.9	17.0	17.6
1685418480.0	E M L CONSULTANTS PLC	EML.N0000	1098	11	3.8	3.9	3.9	3.7	3.7
1685418480.0	EAST WEST PROPERTIES PLC	EAST.N0000	30122	7	7.9	7.9	7.9	7.8	7.8
1685418480.0	EASTERN MERCHANTS PLC	EMER.N0000	4800	6	7.9	7.8	8.1	7.8	8.1
1685418480.0	EDEN HOTEL LANKA PLC	EDEN.N0000	164203	79	14.0	14.0	14.1	13.0	13.1
1685418480.0	ELPITIYA PLANTATIONS PLC	ELPL.N0000	74675	355	98.3	77.0	82.9	74.7	76.3
1685418480.0	EQUITY TWO PLC	ETWO.N0000	1	1	39.0	42.0	42.0	42.0	39.0
1685418480.0	Ex-pack Corrugated Cartons PLC	PACK.N0000	624519	225	12.6	13.0	13.0	12.2	12.3
1685418480.0	EXPOLANKA HOLDINGS PLC	EXPO.N0000	172164	358	134.5	134.0	135.25	132.75	134.75
1685418480.0	EXTERMINATORS PLC	EXT.N0000	2990	7	8.0	8.5	8.5	7.9	8.0
1685418480.0	FIRST CAPITAL HOLDINGS PLC	CFVF.N0000	12805	17	30.0	30.0	30.0	28.6	29.5
1685418480.0	First Capital Treasuries PLC	FCT.N0000	8301	11	22.7	23.2	23.2	22.0	22.5
1685418480.0	GALADARI HOTELS (LANKA) PLC	GHLL.N0000	20590	21	12.3	12.2	12.8	12.1	12.1
1685418480.0	GALLE FACE CAPITAL PARTNERS PLC	WAPO.N0000	1140	5	17.4	17.0	17.0	16.1	16.1
1685418480.0	GESTETNER OF CEYLON PLC	GEST.N0000	2228	7	67.2	66.0	72.9	65.7	65.8
1685418480.0	HAPUGASTENNE PLANTATIONS PLC	HAPU.N0000	1508	9	40.1	43.8	43.8	40.0	40.0
1685418480.0	HARISCHANDRA MILLS PLC	HARI.N0000	60	5	4000.0	3950.0	4300.0	3950.0	4000.0
1685418480.0	HATTON NATIONAL BANK PLC	HNB.X0000	7116	18	84.2	84.2	86.0	84.2	84.5
1685418480.0	HATTON NATIONAL BANK PLC	HNB.N0000	14540	40	118.0	118.0	118.5	116.25	118.5
1685418480.0	HATTON PLANTATIONS PLC	HPL.N0000	176	4	20.2	19.1	20.2	19.1	19.3
1685418480.0	HAYCARB PLC	HAYC.N0000	32465	74	53.2	53.2	54.0	51.8	52.8
1685418480.0	HAYLEYS FABRIC PLC	MGT.N0000	90825	27	22.8	22.6	23.0	22.6	22.7
1685418480.0	HAYLEYS FIBRE PLC	HEXP.N0000	14210	34	56.1	56.0	56.0	52.0	52.3
1685418480.0	HAYLEYS LEISURE PLC	CONN.N0000	498	2	21.0	20.0	20.0	20.0	20.0
1685418480.0	HAYLEYS PLC	HAYL.N0000	130410	197	66.8	66.6	67.5	65.6	66.0
1685418480.0	HELA APPAREL HOLDINGS PLC	HELA.N0000	150548	106	5.9	5.9	5.9	5.7	5.7
1685418480.0	HEMAS HOLDINGS PLC	HHL.N0000	56465	37	63.5	63.5	63.8	63.5	63.6
1685418480.0	HIKKADUWA BEACH RESORT PLC	CITH.N0000	2000	2	5.0	4.9	4.9	4.9	4.9
1685418480.0	HNB ASSURANCE PLC	HASU.N0000	453	6	42.4	42.3	44.4	42.2	42.3
1685418480.0	HNB FINANCE PLC	HNBF.N0000	20620	9	4.6	4.7	4.7	4.5	4.6
1685418480.0	HNB FINANCE PLC	HNBF.X0000	2129	4	4.5	4.7	4.7	4.4	4.4
1685418480.0	HORANA PLANTATIONS PLC	HOPL.N0000	5	1	47.6	47.5	47.5	47.5	47.6
1685418480.0	HOTEL SIGIRIYA PLC	HSIG.N0000	19370	16	30.0	30.0	30.0	30.0	30.0
1685418480.0	hSenid Business Solutions PLC	HBS.N0000	28903	25	12.9	12.9	13.0	12.8	12.8
1685418480.0	HUNAS HOLDINGS PLC	HUNA.N0000	2789	10	26.9	26.1	27.9	26.0	27.9
1685418480.0	HVA FOODS PLC	HVA.N0000	401	3	3.7	3.7	3.7	3.5	3.5
1685418480.0	INDUSTRIAL ASPHALTS (CEYLON) PLC	ASPH.N0000	5818054	40	0.3	0.3	0.4	0.2	0.3
1685418480.0	JANASHAKTHI INSURANCE PLC	JINS.N0000	4665	12	25.5	25.9	25.9	25.5	25.6
1685418480.0	JAT HOLDINGS PLC	JAT.N0000	67769	58	15.2	15.0	15.4	15.0	15.1
1685418480.0	JETWING SYMPHONY PLC	JETS.N0000	10371	10	6.4	6.4	6.5	6.2	6.3
1685418480.0	JOHN KEELLS HOLDINGS PLC	JKH.N0000	576558	116	136.0	137.0	137.0	135.0	135.75
1685418480.0	JOHN KEELLS HOTELS PLC	KHL.N0000	19629	14	16.6	16.6	16.6	16.3	16.5
1685418480.0	JOHN KEELLS PLC	JKL.N0000	7200	8	64.7	62.4	65.0	62.0	65.0
1685418480.0	KAHAWATTE  PLANTATIONS  PLC	KAHA.N0000	2318	8	15.9	15.8	16.0	15.8	15.8
1685418480.0	KAPRUKA HOLDINGS PLC	KPHL.N0000	50	1	7.6	7.6	7.6	7.6	7.6
1685418480.0	KEELLS FOOD PRODUCTS PLC	KFP.N0000	1	1	160.0	165.0	165.0	165.0	160.0
1685418480.0	KEGALLE  PLANTATIONS  PLC	KGAL.N0000	4038	23	110.5	110.5	113.75	110.0	110.0
1685418480.0	KELANI CABLES PLC	KCAB.N0000	3366	39	235.5	240.0	240.0	231.0	232.0
1685418480.0	KELANI TYRES PLC	TYRE.N0000	6325	13	56.0	55.1	55.1	55.0	55.1
1685418480.0	KELANI VALLEY PLANTATIONS PLC	KVAL.N0000	18486	36	71.0	71.0	72.0	70.5	70.5
1685418480.0	KOTAGALA PLANTATIONS PLC	KOTA.N0000	249229	38	5.8	5.9	5.9	5.7	5.8
1685418480.0	KOTMALE HOLDINGS PLC	LAMB.N0000	1	1	386.25	394.0	394.0	394.0	386.25
1685418480.0	L O L C HOLDINGS PLC	LOLC.N0000	7643	89	319.0	324.0	324.75	316.25	318.0
1685418480.0	L V L ENERGY FUND PLC	LVEF.N0000	50100	33	5.8	5.6	5.6	5.5	5.5
1685418480.0	LAKE HOUSE PRINTERS & PUBLISHERS PLC	LPRT.N0000	299	6	160.5	147.0	147.0	122.0	133.5
1685418480.0	LANKA ALUMINIUM INDUSTRIES PLC	LALU.N0000	54396	65	14.0	14.3	14.3	13.3	13.5
1685418480.0	LANKA CREDIT AND BUSINESS FINANCE PLC	LCBF.N0000	320689	37	1.9	2.0	2.1	1.9	1.9
1685418480.0	LANKA IOC PLC	LIOC.N0000	321230	544	126.5	125.0	128.0	111.0	125.5
1685418480.0	LANKA MILK FOODS (CWE) PLC	LMF.N0000	378	6	137.0	133.25	134.25	133.25	134.0
1685418480.0	LANKA REALTY INVESTMENTS PLC	ASCO.N0000	3322	6	10.7	10.6	10.6	10.6	10.6
1685418480.0	LANKA TILES PLC	TILE.N0000	48813	50	40.0	40.0	40.0	39.4	39.5
1685418480.0	LANKA VENTURES PLC	LVEN.N0000	505	6	34.5	35.0	35.0	31.2	31.2
