name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	164	4	153.25	158.0	158.0	157.5	158.0	4.75	3.1
ABANS FINANCE PLC	AFSL.N0000	30	1	26.0	26.0	26.0	26.0	26.0	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	79	23.1	22.9	23.1	22.7	23.0	0.1	0.43
ACL CABLES PLC	ACL.N0000	0	257	42.6	41.0	41.7	40.0	41.1	1.5	3.52
ACL PLASTICS PLC	APLA.N0000	0	54	245.0	239.5	239.75	232.0	235.25	9.75	3.98
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	4	12.0	12.1	12.1	11.8	11.8	0.2	1.67
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	4	2	27.0	27.1	27.1	27.0	27.0	0.0	0.0
AGSTAR PLC	AGST.N0000	0	26	7.9	8.1	8.1	7.8	7.8	0.1	1.27
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	248	37.0	37.5	43.9	37.5	42.7	5.7	15.41
AITKEN SPENCE PLC	SPEN.N0000	0	70	71.1	71.0	75.9	71.0	75.4	4.3	6.05
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	1	1	63.2	65.7	65.7	65.7	63.2	0.0	0.0
ALUMEX PLC	ALUM.N0000	0	252	11.9	11.9	12.1	11.6	12.0	0.1	0.84
AMANA BANK PLC	ABL.N0000	0	8	3.1	3.2	3.2	3.1	3.2	0.1	3.23
AMANA TAKAFUL  PLC	ATL.N0000	0	40	10.8	11.0	11.0	9.8	10.0	0.8	7.41
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	41	16.6	18.8	18.8	15.0	15.6	1.0	6.02
AMBEON CAPITAL PLC	TAP.N0000	0	15	17.0	17.9	17.9	16.6	16.8	0.2	1.18
AMBEON HOLDINGS PLC	GREG.N0000	0	63	44.5	45.9	45.9	43.0	44.2	0.3	0.67
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	85	1.1	1.0	1.2	1.0	1.2	0.1	9.09
ARPICO INSURANCE PLC	AINS.N0000	0	5	21.9	21.6	21.8	21.6	21.6	0.3	1.37
ASIA ASSET FINANCE PLC	AAF.N0000	0	11	7.6	7.7	7.8	7.3	7.7	0.1	1.32
ASIA CAPITAL PLC	ACAP.N0000	0	25	6.9	7.2	7.3	6.9	6.9	0.0	0.0
