name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	92	3	143.5	149.0	149.0	149.0	143.5	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	64	10.5	10.2	10.7	10.2	10.5	0.0	0.0
ACL CABLES PLC	ACL.N0000	0	392	68.8	68.9	74.9	68.9	70.8	2.0	2.91
ACL PLASTICS PLC	APLA.N0000	833	44	392.75	393.0	400.0	390.5	395.0	2.25	0.57
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	105	6.7	6.9	7.2	6.5	7.0	0.3	4.48
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	31	31.9	33.0	33.0	32.4	32.5	0.6	1.88
AGSTAR PLC	AGST.N0000	0	102	15.4	15.5	16.3	15.5	15.8	0.4	2.6
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	20	53.0	52.0	53.0	51.0	52.2	0.8	1.51
AITKEN SPENCE PLC	SPEN.N0000	177	8	126.5	129.75	129.75	126.5	128.25	1.75	1.38
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	14	56.5	56.5	57.0	56.5	57.0	0.5	0.88
ALUMEX PLC	ALUM.N0000	0	28	7.1	7.1	7.1	7.0	7.1	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	29	3.0	3.0	3.0	2.9	2.9	0.1	3.33
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	4	33.0	33.1	33.1	31.6	31.6	1.4	4.24
AMANA TAKAFUL PLC	ATL.N0000	0	1	12.1	11.7	11.7	11.7	11.7	0.4	3.31
AMBEON CAPITAL PLC	TAP.N0000	0	247	10.8	10.8	11.2	10.4	10.5	0.3	2.78
AMBEON HOLDINGS PLC	GREG.N0000	0	13	36.5	37.8	37.8	35.5	35.9	0.6	1.64
ARPICO INSURANCE PLC	AINS.N0000	601	3	18.9	17.6	17.6	17.6	17.6	1.3	6.88
ASIA ASSET FINANCE PLC	AAF.N0000	0	2	7.7	8.0	8.0	8.0	8.0	0.3	3.9
ASIA CAPITAL PLC	ACAP.N0000	0	6	4.2	4.4	4.4	4.3	4.3	0.1	2.38
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	24	4.1	4.2	4.3	4.2	4.2	0.1	2.44
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	10	35.0	35.8	36.0	35.8	35.8	0.8	2.29
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	21	26.0	26.4	26.5	25.5	26.0	0.0	0.0
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	22	12.5	12.4	12.5	12.1	12.3	0.2	1.6
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	10	2	7.8	8.3	8.3	8.2	7.8	0.0	0.0
B P P L HOLDINGS PLC	BPPL.N0000	0	5	24.0	24.0	24.0	22.0	22.0	2.0	8.33
BAIRAHA FARMS PLC	BFL.N0000	0	39	157.75	157.75	160.0	155.0	159.75	2.0	1.27
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	18	83.9	85.0	86.0	83.5	83.7	0.2	0.24
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	3	10.0	7.9	10.0	7.9	10.0	0.0	0.0
BERUWALA RESORTS PLC	BERU.N0000	0	13	1.3	1.3	1.4	1.3	1.3	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	39	47.0	46.1	48.7	46.0	46.3	0.7	1.49
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	12	47.5	45.5	47.4	45.0	45.2	2.3	4.84
BROWN & COMPANY PLC	BRWN.N0000	0	116	113.75	124.25	125.75	120.0	121.5	7.75	6.81
BROWNS BEACH HOTELS PLC	BBH.N0000	205	3	13.0	12.6	13.0	12.6	12.8	0.2	1.54
BROWNS INVESTMENTS PLC	BIL.N0000	0	805	6.9	7.2	7.4	7.0	7.1	0.2	2.9
BUKIT DARAH PLC	BUKI.N0000	101	2	293.75	300.0	300.0	300.0	300.0	6.25	2.13
C I C HOLDINGS PLC	CIC.N0000	0	43	83.7	84.5	85.0	83.0	85.0	1.3	1.55
C I C HOLDINGS PLC	CIC.X0000	0	101	54.6	54.9	58.9	54.0	56.3	1.7	3.11
C M HOLDINGS PLC	COLO.N0000	32	3	74.7	73.5	73.7	73.5	74.7	0.0	0.0
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	5	24.2	23.8	23.8	22.5	22.7	1.5	6.2
C. W. MACKIE PLC	CWM.N0000	0	16	81.9	78.0	82.5	78.0	82.1	0.2	0.24
CAPITAL ALLIANCE PLC	CALT.N0000	0	88	19.6	19.6	20.4	19.4	19.5	0.1	0.51
CARGILLS (CEYLON) PLC	CARG.N0000	0	2	235.0	235.0	235.0	235.0	235.0	0.0	0.0
