name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	33	3	159.0	152.5	160.25	152.5	159.0	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	544	8	21.3	22.4	24.9	22.4	22.6	1.3	6.1
ACCESS ENGINEERING PLC	AEL.N0000	0	123	10.8	11.0	11.4	10.8	11.2	0.4	3.7
ACL CABLES PLC	ACL.N0000	0	0	93.8	99.0	103.75	98.1	101.0	7.2	7.68
ACL PLASTICS PLC	APLA.N0000	0	102	500.5	540.0	559.0	539.0	540.5	40.0	7.99
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	25	6.0	6.1	6.2	6.0	6.0	0.0	0.0
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	93	36.1	38.0	38.7	36.1	38.2	2.1	5.82
AGSTAR PLC	AGST.N0000	0	274	15.4	15.8	16.7	15.6	16.4	1.0	6.49
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	29	57.1	57.1	60.0	57.1	59.6	2.5	4.38
AITKEN SPENCE PLC	SPEN.N0000	0	45	129.25	131.0	137.75	131.0	133.25	4.0	3.09
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	45	64.5	64.5	67.0	64.5	66.9	2.4	3.72
ALUMEX PLC	ALUM.N0000	0	142	8.8	9.0	9.2	8.8	9.0	0.2	2.27
AMANA BANK PLC	ABL.N0000	0	41	3.1	3.2	3.3	3.1	3.2	0.1	3.23
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	10	33.1	33.4	33.4	28.3	33.2	0.1	0.3
AMANA TAKAFUL PLC	ATL.N0000	0	9	11.8	11.9	12.0	11.0	12.0	0.2	1.69
AMBEON CAPITAL PLC	TAP.N0000	0	358	10.6	11.1	11.6	10.6	11.2	0.6	5.66
AMBEON HOLDINGS PLC	GREG.N0000	0	20	43.6	41.1	44.4	40.0	44.3	0.7	1.61
ARPICO INSURANCE PLC	AINS.N0000	851	11	17.9	19.5	19.9	18.0	18.1	0.2	1.12
ASIA ASSET FINANCE PLC	AAF.N0000	470	5	6.9	7.1	7.1	7.1	7.1	0.2	2.9
ASIA CAPITAL PLC	ACAP.N0000	0	11	4.5	5.3	5.3	4.8	5.0	0.5	11.11
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	91	5.2	5.3	5.3	5.0	5.2	0.0	0.0
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	118	2	39.2	41.9	41.9	41.9	41.9	2.7	6.89
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	165	29.9	30.0	33.5	28.1	32.7	2.8	9.36
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	11	12.9	13.1	13.9	13.0	13.8	0.9	6.98
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	11	8.9	8.9	9.4	8.6	9.4	0.5	5.62
B P P L HOLDINGS PLC	BPPL.N0000	0	27	23.8	24.0	24.0	23.7	23.9	0.1	0.42
BAIRAHA FARMS PLC	BFL.N0000	0	64	205.75	210.0	215.0	206.0	212.5	6.75	3.28
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	51	105.0	105.0	110.0	104.0	106.5	1.5	1.43
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	257	7	12.0	12.0	12.2	10.4	12.1	0.1	0.83
BERUWALA RESORTS PLC	BERU.N0000	0	18	1.4	1.4	1.4	1.3	1.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	178	60.9	62.9	64.8	58.5	60.0	0.9	1.48
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	28	60.0	55.6	60.2	55.6	60.0	0.0	0.0
BROWN & COMPANY PLC	BRWN.N0000	0	154	132.75	135.0	144.0	135.0	142.75	10.0	7.53
BROWNS BEACH HOTELS PLC	BBH.N0000	0	10	13.4	13.9	13.9	12.5	13.0	0.4	2.99
BROWNS INVESTMENTS PLC	BIL.N0000	0	924	6.2	6.4	6.7	6.3	6.5	0.3	4.84
BUKIT DARAH PLC	BUKI.N0000	6	2	295.25	293.0	304.0	293.0	295.25	0.0	0.0
