name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	0	18	152.5	153.25	159.0	153.0	153.25	0.75	0.49
ABANS FINANCE PLC	AFSL.N0000	351	5	27.0	26.9	27.0	26.9	26.9	0.1	0.37
ACCESS ENGINEERING PLC	AEL.N0000	0	103	23.2	23.2	23.5	22.9	23.1	0.1	0.43
ACL CABLES PLC	ACL.N0000	0	156	43.5	44.0	44.0	42.0	42.1	1.4	3.22
ACL PLASTICS PLC	APLA.N0000	0	11	246.75	242.5	245.25	238.25	240.25	6.5	2.63
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	15	12.0	11.8	12.1	11.8	12.0	0.0	0.0
AGALAWATTE PLANTATIONS PLC	AGAL.N0000	0	43	26.8	26.7	27.0	25.9	26.7	0.1	0.37
AGSTAR PLC	AGST.N0000	0	43	7.8	7.8	7.9	7.5	7.8	0.0	0.0
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	71	38.3	39.4	39.4	37.4	37.8	0.5	1.31
AITKEN SPENCE PLC	SPEN.N0000	0	20	74.8	74.5	74.5	73.0	73.0	1.8	2.41
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	52	66.5	67.0	67.4	64.0	64.9	1.6	2.41
ALUMEX PLC	ALUM.N0000	0	140	12.0	12.1	12.2	11.9	11.9	0.1	0.83
AMANA BANK PLC	ABL.N0000	0	30	3.1	3.1	3.2	3.0	3.1	0.0	0.0
AMANA TAKAFUL  PLC	ATL.N0000	0	215	9.2	9.3	11.5	8.8	11.0	1.8	19.57
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	96	16.5	16.5	20.4	15.0	18.2	1.7	10.3
AMBEON CAPITAL PLC	TAP.N0000	0	54	18.0	18.2	18.5	17.4	17.6	0.4	2.22
AMBEON HOLDINGS PLC	GREG.N0000	0	51	46.5	46.5	46.6	45.0	45.0	1.5	3.23
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	103	1.1	1.1	1.2	1.0	1.0	0.1	9.09
ARPICO INSURANCE PLC	AINS.N0000	0	4	21.2	21.4	21.4	21.3	21.3	0.1	0.47
ASIA ASSET FINANCE PLC	AAF.N0000	0	59	7.2	7.1	7.9	7.1	7.7	0.5	6.94
ASIA CAPITAL PLC	ACAP.N0000	0	13	7.1	7.4	7.4	7.1	7.2	0.1	1.41
ASIA SIYAKA COMMODITIES PLC	ASIY.N0000	0	12	3.1	3.1	3.3	3.1	3.1	0.0	0.0
ASIAN HOTELS & PROPERTIES PLC	AHPL.N0000	370	9	40.0	38.0	40.0	38.0	39.1	0.9	2.25
ASIRI  SURGICAL HOSPITAL PLC	AMSL.N0000	991	6	15.0	15.0	15.1	15.0	15.0	0.0	0.0
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	13	31.8	32.0	32.5	31.6	31.9	0.1	0.31
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	78	179.5	179.75	181.0	175.0	175.5	4.0	2.23
B P P L HOLDINGS PLC	BPPL.N0000	0	12	23.1	24.0	24.0	23.4	23.5	0.4	1.73
BAIRAHA FARMS PLC	BFL.N0000	0	40	144.25	145.0	146.5	143.0	144.5	0.25	0.17
BALANGODA PLANTATIONS PLC	BALA.N0000	0	31	20.6	21.0	21.5	20.8	20.9	0.3	1.46
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	15	10.5	10.5	11.0	10.5	10.5	0.0	0.0
BERUWALA RESORTS PLC	BERU.N0000	0	71	1.1	1.1	1.1	1.0	1.0	0.1	9.09
BIMPUTH FINANCE PLC	BLI.N0000	0	142	6.8	7.3	8.3	6.9	7.7	0.9	13.24
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	12	0.8	0.9	0.9	0.8	0.8	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	17	0.4	0.4	0.4	0.4	0.4	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	41	62.0	62.9	62.9	61.0	61.6	0.4	0.65
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	7	11.2	11.3	11.3	11.2	11.3	0.1	0.89
BROWN & COMPANY PLC	BRWN.N0000	0	125	202.0	204.0	204.0	191.0	197.0	5.0	2.48
BROWNS BEACH HOTELS PLC	BBH.N0000	0	25	10.0	10.0	10.2	9.8	10.0	0.0	0.0
BROWNS INVESTMENTS PLC	BIL.N0000	0	0	9.9	10.0	10.3	9.4	9.6	0.3	3.03
BUKIT DARAH PLC	BUKI.N0000	0	30	296.0	300.0	306.0	295.5	297.0	1.0	0.34
C M HOLDINGS PLC	COLO.N0000	0	21	85.3	88.4	88.4	84.8	85.1	0.2	0.23
C T HOLDINGS PLC	CTHR.N0000	0	22	182.25	182.5	185.0	182.5	183.0	0.75	0.41
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	26	28.9	28.0	29.5	28.0	29.5	0.6	2.08
C. W. MACKIE PLC	CWM.N0000	0	40	53.3	53.4	54.3	52.0	53.3	0.0	0.0
CARGILLS (CEYLON) PLC	CARG.N0000	0	20	230.25	230.0	239.5	230.0	230.0	0.25	0.11
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	5	64.2	64.2	64.3	63.8	64.2	0.0	0.0
CARSON CUMBERBATCH PLC	CARS.N0000	322	9	285.0	290.0	290.0	285.0	285.0	0.0	0.0
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	20	82.5	82.0	82.0	81.8	81.9	0.6	0.73
CENTRAL INDUSTRIES PLC	CIND.N0000	0	101	99.9	100.0	100.0	98.0	98.0	1.9	1.9
CEYLINCO INSURANCE PLC	CINS.X0000	224	16	938.0	938.0	982.75	938.0	952.75	14.75	1.57
CEYLINCO INSURANCE PLC	CINS.N0000	1	1	1895.5	1905.0	1905.0	1905.0	1895.5	0.0	0.0
CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	10	2	799.75	760.5	760.5	760.5	799.75	0.0	0.0
CEYLON COLD STORES PLC	CCS.N0000	39	7	586.5	590.25	600.0	590.25	586.5	0.0	0.0
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	54	125.0	122.25	124.0	122.0	122.0	3.0	2.4
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	308	5	97.4	97.0	100.0	97.0	99.3	1.9	1.95
CEYLON HOSPITALS PLC (DURDANS)	CHL.N0000	0	4	124.75	127.75	128.0	127.75	128.0	3.25	2.61
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	0	3	12.9	11.7	12.8	11.7	11.7	1.2	9.3
CEYLON INVESTMENT PLC	CINV.N0000	0	16	51.3	51.5	51.8	51.1	51.5	0.2	0.39
CEYLON TEA BROKERS PLC	CTBL.N0000	0	8	4.1	4.1	4.1	4.0	4.1	0.0	0.0
CEYLON TOBACCO COMPANY PLC	CTC.N0000	0	49	901.75	910.0	910.0	900.0	903.0	1.25	0.14
CHEMANEX PLC	CHMX.N0000	0	13	76.0	75.6	75.6	73.0	73.0	3.0	3.95
CHEVRON LUBRICANTS LANKA PLC	LLUB.N0000	0	97	104.75	106.0	106.0	104.0	104.5	0.25	0.24
CHRISSWORLD LIMITED	CWL.N0000	0	57	24.8	23.5	24.9	23.5	24.1	0.7	2.82
CIC HOLDINGS PLC	CIC.X0000	0	136	36.8	36.3	36.9	35.6	35.9	0.9	2.45
CIC HOLDINGS PLC	CIC.N0000	0	72	44.8	45.1	45.1	43.5	44.1	0.7	1.56
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	0	15	84.6	84.4	85.9	84.0	84.7	0.1	0.12
CITRUS LEISURE  PLC	REEF.N0000	0	10	9.8	9.5	10.1	9.2	9.8	0.0	0.0
COLOMBO CITY HOLDINGS PLC	PHAR.N0000	86	7	901.25	915.0	915.0	912.5	901.25	0.0	0.0
COLOMBO DOCKYARD PLC	DOCK.N0000	380	11	74.0	74.9	76.0	74.9	75.1	1.1	1.49
COLOMBO FORT INVESTMENTS PLC	CFI.N0000	512	4	75.2	75.8	75.8	74.5	75.8	0.6	0.8
