name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	376	3	172.0	155.5	155.5	145.0	146.0	26.0	15.12
ACCESS ENGINEERING PLC	AEL.N0000	0	16	14.6	14.0	14.0	12.0	12.9	1.7	11.64
ACL CABLES PLC	ACL.N0000	0	24	48.4	45.0	45.0	40.0	41.6	6.8	14.05
ACL PLASTICS PLC	APLA.N0000	199	1	340.0	250.0	250.0	250.0	250.0	90.0	26.47
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	8	29.8	25.0	25.0	23.0	24.0	5.8	19.46
AGSTAR PLC	AGST.N0000	0	12	5.9	5.6	5.6	5.5	5.6	0.3	5.08
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	1	33.8	30.1	30.1	30.1	30.1	3.7	10.95
AITKEN SPENCE PLC	SPEN.N0000	0	4	79.1	77.9	77.9	75.0	76.5	2.6	3.29
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	1	59.6	55.0	55.0	55.0	55.0	4.6	7.72
ALUMEX PLC	ALUM.N0000	0	7	7.0	6.9	6.9	6.8	6.8	0.2	2.86
AMANA BANK PLC	ABL.N0000	0	7	2.6	2.5	2.5	2.4	2.5	0.1	3.85
AMANA TAKAFUL PLC	ATL.N0000	100	1	10.4	9.5	9.5	9.5	9.5	0.9	8.65
AMBEON CAPITAL PLC	TAP.N0000	0	8	6.2	5.5	5.5	5.0	5.2	1.0	16.13
AMBEON HOLDINGS PLC	GREG.N0000	0	2	38.6	37.0	37.0	32.9	36.9	1.7	4.4
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	2	1.0	1.0	1.0	1.0	1.0	0.0	0.0
ASIA ASSET FINANCE PLC	AAF.N0000	0	1	6.2	6.0	6.0	6.0	6.0	0.2	3.23
ASIA CAPITAL PLC	ACAP.N0000	0	3	5.2	5.3	5.3	5.0	5.0	0.2	3.85
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	2	2.1	2.0	2.0	2.0	2.0	0.1	4.76
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	2	33.0	30.0	30.0	30.0	30.0	3.0	9.09
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	561	1	14.4	14.0	14.0	14.0	14.0	0.4	2.78
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	2	8.0	7.3	7.3	7.3	7.3	0.7	8.75
B P P L HOLDINGS PLC	BPPL.N0000	0	7	19.7	15.1	15.2	15.1	15.1	4.6	23.35
BAIRAHA FARMS PLC	BFL.N0000	0	10	145.0	145.0	145.0	133.0	133.5	11.5	7.93
BALANGODA  PLANTATIONS  PLC	BALA.N0000	136	2	18.0	18.0	18.0	17.8	17.8	0.2	1.11
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	0	1	10.7	10.0	10.0	10.0	10.0	0.7	6.54
