name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	6	6	135.25	149.0	149.0	130.0	135.25	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	19	2	21.1	20.2	20.2	19.0	21.1	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	72	10.0	9.9	10.3	9.9	10.1	0.1	1.0
ACL CABLES PLC	ACL.N0000	0	112	37.3	38.2	38.2	37.0	37.8	0.5	1.34
ACL PLASTICS PLC	APLA.N0000	153	14	299.75	300.0	300.0	291.0	298.75	1.0	0.33
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	233	6.0	5.6	5.7	5.0	5.1	0.9	15.0
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	620	29.5	30.0	35.5	28.1	33.8	4.3	14.58
AGSTAR PLC	AGST.N0000	0	157	5.9	6.2	6.4	5.9	6.2	0.3	5.08
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	194	5	31.6	31.9	31.9	31.5	31.6	0.0	0.0
AITKEN SPENCE PLC	SPEN.N0000	0	25	82.2	84.0	85.0	79.0	83.8	1.6	1.95
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	9	48.4	49.5	51.5	49.5	50.2	1.8	3.72
ALUMEX PLC	ALUM.N0000	0	46	6.2	6.2	6.3	6.2	6.2	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	70	2.8	2.8	3.1	2.8	3.0	0.2	7.14
AMANA TAKAFUL LIFE PLC	ATLL.N0000	1	1	24.0	24.2	24.2	24.2	24.0	0.0	0.0
AMANA TAKAFUL PLC	ATL.N0000	100	2	8.8	9.8	9.8	9.8	9.8	1.0	11.36
AMBEON CAPITAL PLC	TAP.N0000	0	74	6.1	6.2	6.3	5.4	6.0	0.1	1.64
AMBEON HOLDINGS PLC	GREG.N0000	0	6	36.0	36.7	37.0	36.7	36.8	0.8	2.22
ARPICO INSURANCE PLC	AINS.N0000	0	10	14.4	15.0	15.9	14.3	14.5	0.1	0.69
ASIA ASSET FINANCE PLC	AAF.N0000	0	34	5.9	6.0	6.5	5.8	6.2	0.3	5.08
ASIA CAPITAL PLC	ACAP.N0000	0	29	4.0	3.6	4.4	3.3	4.1	0.1	2.5
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	14	3.3	3.3	3.3	3.2	3.2	0.1	3.03
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	10	29.0	29.0	29.0	29.0	29.0	0.0	0.0
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	7	30.0	30.0	31.0	30.0	31.0	1.0	3.33
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	11	14.9	14.9	14.9	14.5	14.6	0.3	2.01
B P P L HOLDINGS PLC	BPPL.N0000	0	14	18.2	18.2	18.4	18.2	18.3	0.1	0.55
BAIRAHA FARMS PLC	BFL.N0000	0	95	128.25	130.0	145.0	130.0	135.5	7.25	5.65
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	110	44.0	44.1	46.5	44.1	45.9	1.9	4.32
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	603	6	8.0	9.0	9.2	8.3	8.3	0.3	3.75
BERUWALA RESORTS PLC	BERU.N0000	0	5	0.9	1.0	1.0	0.9	0.9	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	53	49.0	49.5	49.5	45.1	47.6	1.4	2.86
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	123	19.9	20.0	23.5	20.0	22.9	3.0	15.08
BROWN & COMPANY PLC	BRWN.N0000	0	53	114.75	116.5	118.5	113.0	115.5	0.75	0.65
BROWNS BEACH HOTELS PLC	BBH.N0000	13	7	8.1	8.5	8.5	8.4	8.1	0.0	0.0
BROWNS INVESTMENTS PLC	BIL.N0000	0	878	7.9	8.0	8.1	7.8	8.0	0.1	1.27
BUKIT DARAH PLC	BUKI.N0000	20	3	272.0	282.0	282.0	281.0	272.0	0.0	0.0
C I C HOLDINGS PLC	CIC.X0000	0	25	23.1	23.5	24.0	23.1	23.9	0.8	3.46
C I C HOLDINGS PLC	CIC.N0000	0	50	34.3	38.0	38.0	34.3	35.5	1.2	3.5
C M HOLDINGS PLC	COLO.N0000	395	8	46.0	47.7	48.8	47.7	48.5	2.5	5.43
C T HOLDINGS PLC	CTHR.N0000	25	5	150.0	172.75	172.75	151.0	150.0	0.0	0.0
C T LAND DEVELOPMENT PLC	CTLD.N0000	130	1	25.4	24.9	24.9	24.9	24.9	0.5	1.97
C. W. MACKIE PLC	CWM.N0000	0	33	71.5	72.0	72.0	71.0	71.9	0.4	0.56
CAPITAL ALLIANCE PLC	CALT.N0000	0	22	9.6	9.6	11.5	9.5	10.9	1.3	13.54
CARGILLS (CEYLON) PLC	CARG.N0000	103	5	150.25	151.0	158.75	151.0	151.25	1.0	0.67
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	17	4	44.9	44.9	44.9	41.0	44.9	0.0	0.0
CARSON CUMBERBATCH PLC	CARS.N0000	100	1	280.0	280.0	280.0	280.0	280.0	0.0	0.0
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	708	3	61.4	62.0	62.0	62.0	62.0	0.6	0.98
CENTRAL INDUSTRIES PLC	CIND.N0000	0	78	55.4	54.2	59.5	53.6	58.1	2.7	4.87
CEYLINCO INSURANCE PLC	CINS.N0000	3	3	1952.5	2130.0	2135.0	2000.0	1952.5	0.0	0.0
CEYLON COLD STORES PLC	CCS.N0000	0	81	27.3	28.0	28.0	27.0	27.5	0.2	0.73
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	15	66.1	66.1	67.7	65.8	66.0	0.1	0.15
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	2	2	57.7	54.0	59.3	54.0	57.7	0.0	0.0
CEYLON HOSPITALS PLC	CHL.X0000	162	11	90.3	90.5	106.5	90.5	105.5	15.2	16.83
CEYLON HOSPITALS PLC	CHL.N0000	0	13	128.0	128.0	145.0	114.0	141.75	13.75	10.74
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	0	10	9.7	9.6	10.0	8.1	8.9	0.8	8.25
CEYLON INVESTMENT PLC	CINV.N0000	0	35	24.4	24.2	24.7	24.0	24.1	0.3	1.23
CEYLON TEA BROKERS PLC	CTBL.N0000	0	18	3.4	3.5	3.5	3.4	3.4	0.0	0.0
CEYLON TOBACCO COMPANY PLC	CTC.N0000	0	85	550.0	550.0	550.0	540.0	540.75	9.25	1.68
CHEMANEX PLC	CHMX.N0000	277	2	49.2	49.9	49.9	48.6	49.8	0.6	1.22
CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	0	87	77.0	77.4	80.0	76.8	79.2	2.2	2.86
CHRISSWORLD PLC	CWL.N0000	0	10	9.0	9.0	9.1	9.0	9.0	0.0	0.0
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	622	8	56.3	57.2	57.4	55.4	57.2	0.9	1.6
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	1	1	175.0	175.0	175.0	175.0	175.0	0.0	0.0
CITRUS LEISURE PLC	REEF.N0000	0	37	4.2	4.3	4.3	3.8	4.3	0.1	2.38
Co-operative Insurance Company PLC	COOP.N0000	0	67	3.2	3.2	3.2	3.0	3.0	0.2	6.25
COLOMBO DOCKYARD PLC	DOCK.N0000	461	19	58.5	58.9	58.9	57.0	57.5	1.0	1.71
COLOMBO FORT INVESTMENTS PLC	CFI.N0000	387	13	45.0	49.9	49.9	41.2	46.0	1.0	2.22
COLOMBO INVESTMENT TRUST PLC	CIT.N0000	1	1	75.0	75.0	75.0	75.0	75.0	0.0	0.0
COLOMBO LAND AND DEVELOPMENT COMPANY PLC	CLND.N0000	152	4	16.9	18.3	18.3	17.0	18.3	1.4	8.28
COMMERCIAL BANK OF CEYLON PLC	COMB.N0000	0	62	52.0	51.7	52.0	51.7	51.9	0.1	0.19
COMMERCIAL BANK OF CEYLON PLC	COMB.X0000	0	33	42.7	42.9	42.9	41.0	41.7	1.0	2.34
COMMERCIAL CREDIT AND FINANCE PLC	COCR.N0000	0	25	18.3	19.0	19.5	18.6	19.1	0.8	4.37
COMMERCIAL DEVELOPMENT COMPANY PLC	COMD.N0000	365	5	85.3	86.0	86.0	86.0	86.0	0.7	0.82
DANKOTUWA PORCELAIN PLC	DPL.N0000	523	10	10.3	11.4	11.4	10.8	10.8	0.5	4.85
DFCC BANK PLC	DFCC.N0000	0	14	36.6	38.9	38.9	36.7	36.7	0.1	0.27
DIALOG AXIATA PLC	DIAL.N0000	0	38	8.9	8.8	8.8	8.7	8.8	0.1	1.12
DIALOG FINANCE PLC	CALF.N0000	635	7	77.9	77.5	77.5	77.0	77.0	0.9	1.16
DIESEL & MOTOR ENGINEERING PLC	DIMO.N0000	0	17	355.75	372.5	372.5	356.25	360.0	4.25	1.19
DILMAH CEYLON TEA COMPANY PLC	CTEA.N0000	50	7	800.5	886.25	900.0	886.25	800.5	0.0	0.0
DIPPED PRODUCTS PLC	DIPD.N0000	0	163	26.1	26.4	27.0	26.2	26.8	0.7	2.68
DISTILLERIES COMPANY OF SRI LANKA PLC	DIST.N0000	0	19	13.1	13.0	13.0	12.9	13.0	0.1	0.76
DOLPHIN HOTELS PLC	STAF.N0000	1	1	29.4	27.0	27.0	27.0	29.4	0.0	0.0
E - CHANNELLING PLC	ECL.N0000	0	37	6.9	6.9	7.0	6.3	6.6	0.3	4.35
E B CREASY & COMPANY PLC	EBCR.N0000	0	10	13.3	14.0	14.2	13.8	14.1	0.8	6.02
E M L CONSULTANTS PLC	EML.N0000	0	56	5.0	5.0	5.3	4.3	4.6	0.4	8.0
EAST WEST PROPERTIES PLC	EAST.N0000	210	4	6.2	6.2	6.2	6.0	6.2	0.0	0.0
EASTERN MERCHANTS PLC	EMER.N0000	0	6	5.5	5.7	5.7	5.5	5.6	0.1	1.82
EDEN HOTEL LANKA PLC	EDEN.N0000	0	26	10.4	10.4	10.4	10.2	10.3	0.1	0.96
ELPITIYA PLANTATIONS PLC	ELPL.N0000	0	142	78.9	78.9	84.0	75.0	79.7	0.8	1.01
EQUITY TWO PLC	ETWO.N0000	24	5	31.0	37.4	37.4	35.0	31.0	0.0	0.0
Ex-pack Corrugated Cartons PLC	PACK.N0000	0	38	9.9	9.9	10.1	9.9	10.0	0.1	1.01
EXPOLANKA HOLDINGS PLC	EXPO.N0000	0	867	178.25	181.0	182.0	177.0	178.75	0.5	0.28
EXTERMINATORS PLC	EXT.N0000	0	5	4.9	5.0	5.0	4.7	4.7	0.2	4.08
FIRST CAPITAL HOLDINGS PLC	CFVF.N0000	0	27	9.2	9.2	9.3	9.0	9.2	0.0	0.0
First Capital Treasuries PLC	FCT.N0000	0	12	9.2	9.5	9.8	9.3	9.3	0.1	1.09
GALADARI HOTELS (LANKA) PLC	GHLL.N0000	0	30	7.9	8.2	8.2	7.8	7.9	0.0	0.0
