name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	293	10	145.0	155.0	164.5	155.0	162.0	17.0	11.72
ABANS FINANCE PLC	AFSL.N0000	0	3	21.1	21.0	21.0	21.0	21.0	0.1	0.47
ACCESS ENGINEERING PLC	AEL.N0000	0	171	10.5	10.9	11.3	10.7	10.9	0.4	3.81
ACL CABLES PLC	ACL.N0000	0	0	47.4	49.9	50.1	46.6	47.7	0.3	0.63
ACL PLASTICS PLC	APLA.N0000	0	79	387.5	400.0	405.0	375.0	389.0	1.5	0.39
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	32	5.0	5.1	5.1	4.9	4.9	0.1	2.0
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	293	36.7	37.4	37.4	33.6	34.6	2.1	5.72
AGSTAR PLC	AGST.N0000	0	358	7.5	7.7	8.3	7.6	8.1	0.6	8.0
AGSTAR PLC	AGST.X0000	1	1	5.0	6.1	6.1	6.1	5.0	0.0	0.0
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	25	36.8	36.5	37.0	35.2	36.9	0.1	0.27
AITKEN SPENCE PLC	SPEN.N0000	0	23	101.0	101.25	104.0	101.25	103.0	2.0	1.98
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	25	50.1	51.5	54.5	50.3	53.1	3.0	5.99
ALUMEX PLC	ALUM.N0000	0	148	7.2	7.5	7.7	7.0	7.1	0.1	1.39
AMANA BANK PLC	ABL.N0000	0	47	2.9	2.9	2.9	2.8	2.9	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	524	9	24.1	26.3	27.9	26.3	26.3	2.2	9.13
AMANA TAKAFUL PLC	ATL.N0000	0	7	9.9	10.0	10.5	10.0	10.1	0.2	2.02
AMBEON CAPITAL PLC	TAP.N0000	0	104	6.9	7.2	8.4	6.5	7.9	1.0	14.49
AMBEON HOLDINGS PLC	GREG.N0000	0	9	41.9	41.7	41.9	38.1	41.4	0.5	1.19
ASIA ASSET FINANCE PLC	AAF.N0000	0	14	5.9	5.8	6.2	5.7	5.9	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	17	4.2	4.2	4.2	4.0	4.1	0.1	2.38
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	29	3.6	3.6	3.8	3.6	3.7	0.1	2.78
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	15	31.3	31.1	34.6	31.0	31.3	0.0	0.0
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	7	32.7	32.9	33.0	32.8	33.0	0.3	0.92
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	100	2	15.2	14.9	14.9	14.9	14.9	0.3	1.97
