ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1678846681.0	ACCESS ENGINEERING PLC	AEL.N0000	2324584	431	14.1	14.1	14.7	14.0	14.7
1678846681.0	ACL CABLES PLC	ACL.N0000	641202	761	85.7	86.9	89.7	86.1	87.0
1678846681.0	ACL PLASTICS PLC	APLA.N0000	3844	40	418.25	421.75	429.75	410.0	410.5
1678846681.0	ACME PRINTING & PACKAGING PLC	ACME.N0000	120	1	6.5	6.6	6.6	6.6	6.6
1678846681.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	169905	104	31.1	31.5	31.9	30.3	30.5
1678846681.0	AGSTAR PLC	AGST.N0000	430970	180	12.4	12.6	12.8	12.4	12.5
1678846681.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	1105	5	60.0	60.0	61.7	60.0	60.5
1678846681.0	AITKEN SPENCE PLC	SPEN.N0000	8736	30	138.0	137.0	137.0	132.75	134.5
1678846681.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	1691	21	66.4	66.9	66.9	65.3	66.0
1678846681.0	ALUMEX PLC	ALUM.N0000	380868	117	8.5	8.5	9.0	8.5	8.7
1678846681.0	AMANA BANK PLC	ABL.N0000	2861397	206	2.7	2.7	2.8	2.6	2.6
1678846681.0	AMANA TAKAFUL PLC	ATL.N0000	3446	5	12.0	12.2	12.2	12.2	12.2
1678846681.0	AMBEON CAPITAL PLC	TAP.N0000	33735	48	10.0	10.2	10.2	9.7	9.7
1678846681.0	AMBEON HOLDINGS PLC	GREG.N0000	510	6	35.0	35.9	37.0	35.9	36.3
1678846681.0	ASIA ASSET FINANCE PLC	AAF.N0000	1	1	7.8	8.2	8.2	8.2	7.8
1678846681.0	ASIA CAPITAL PLC	ACAP.N0000	255	5	4.1	4.2	4.2	4.0	4.0
1678846681.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	31367	18	4.3	4.4	4.4	4.2	4.2
1678846681.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	5210	58	41.9	42.0	42.0	39.9	40.0
1678846681.0	ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	1097	9	25.6	25.5	26.9	25.5	26.0
1678846681.0	ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	2820	12	12.5	12.5	12.9	12.5	12.5
1678846681.0	ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	12823	6	7.6	7.7	7.7	7.6	7.6
1678846681.0	B P P L HOLDINGS PLC	BPPL.N0000	3064	11	22.0	22.0	22.0	20.4	20.7
1678846681.0	BAIRAHA FARMS PLC	BFL.N0000	7116	61	162.75	160.0	162.0	157.25	157.5
1678846681.0	BALANGODA  PLANTATIONS  PLC	BALA.N0000	2537	23	63.8	64.4	64.5	63.1	64.0
1678846681.0	BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	91	2	11.3	11.2	11.2	10.4	11.3
1678846681.0	BERUWALA RESORTS PLC	BERU.N0000	114481	14	1.3	1.4	1.4	1.3	1.4
1678846681.0	BOGALA GRAPHITE LANKA PLC	BOGA.N0000	17471	45	65.0	66.3	66.3	63.3	65.8
1678846681.0	BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	1291	9	44.6	44.5	44.5	43.5	43.7
1678846681.0	BROWN & COMPANY PLC	BRWN.N0000	32227	139	120.0	120.0	125.0	120.0	124.25
1678846681.0	BROWNS BEACH HOTELS PLC	BBH.N0000	222	4	13.5	13.5	13.5	13.0	13.0
1678846681.0	BROWNS INVESTMENTS PLC	BIL.N0000	13722059	802	6.0	6.1	6.5	6.1	6.4
1678846681.0	BUKIT DARAH PLC	BUKI.N0000	17	2	410.0	409.25	409.25	409.25	410.0
1678846681.0	C I C HOLDINGS PLC	CIC.N0000	39912	30	77.2	76.6	79.8	76.6	77.2
1678846681.0	C I C HOLDINGS PLC	CIC.X0000	89059	57	54.0	54.0	54.8	53.3	54.0
1678846681.0	C M HOLDINGS PLC	COLO.N0000	476	14	72.4	72.9	73.0	69.0	71.4
1678846681.0	C T LAND DEVELOPMENT PLC	CTLD.N0000	18	4	24.0	24.0	26.5	24.0	24.0
1678846681.0	C. W. MACKIE PLC	CWM.N0000	23745	40	84.4	83.0	85.0	82.0	82.6
1678846681.0	CAPITAL ALLIANCE PLC	CALT.N0000	646966	166	34.9	34.9	35.8	34.2	35.0
1678846681.0	CARGILLS (CEYLON) PLC	CARG.N0000	67348	11	230.0	230.0	232.25	230.0	230.5
1678846681.0	CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	15	2	47.5	48.3	48.3	48.3	47.5
1678846681.0	CARSON CUMBERBATCH PLC	CARS.N0000	278	4	285.0	275.0	275.0	270.25	274.75
1678846681.0	CENTRAL FINANCE COMPANY PLC	CFIN.N0000	28686	41	77.2	79.5	80.9	76.2	76.8
1678846681.0	CENTRAL INDUSTRIES PLC	CIND.N0000	155326	186	95.5	95.0	96.8	94.5	95.7
1678846681.0	CEYLINCO INSURANCE PLC	CINS.X0000	226	2	1074.75	1061.0	1061.0	1060.0	1060.0
1678846681.0	CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	40	1	1045.5	1000.0	1000.0	1000.0	1045.5
1678846681.0	CEYLON COLD STORES PLC	CCS.N0000	80350	46	37.0	36.0	38.8	36.0	37.6
1678846681.0	CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	28089	34	87.8	88.8	89.0	86.0	88.1
1678846681.0	CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	500	1	70.0	70.0	70.0	70.0	70.0
1678846681.0	CEYLON HOSPITALS PLC	CHL.X0000	2	2	101.75	96.1	96.1	93.1	101.75
1678846681.0	CEYLON HOSPITALS PLC	CHL.N0000	3	1	132.0	132.25	132.25	132.25	132.0
1678846681.0	CEYLON HOTELS CORPORATION PLC	CHOT.N0000	9623	29	19.3	19.0	20.0	19.0	19.3
1678846681.0	CEYLON INVESTMENT PLC	CINV.N0000	137071	24	36.5	35.0	37.3	35.0	37.0
1678846681.0	CEYLON TEA BROKERS PLC	CTBL.N0000	16794	23	4.0	4.0	4.1	3.9	4.0
1678846681.0	CEYLON TOBACCO COMPANY PLC	CTC.N0000	123	14	690.25	693.75	699.0	690.0	693.25
1678846681.0	CHEMANEX PLC	CHMX.N0000	5152	4	79.9	79.9	80.0	79.9	80.0
1678846681.0	CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	410458	181	95.0	95.2	95.5	94.8	95.0
1678846681.0	CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	509	6	196.25	183.25	195.0	183.25	192.75
1678846681.0	CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	201	5	67.0	65.1	68.0	65.0	65.0
1678846681.0	CITRUS LEISURE PLC	REEF.N0000	132766	32	6.2	6.3	6.6	6.1	6.1
1678846681.0	Co-operative Insurance Company PLC	COOP.N0000	549317	74	3.5	3.5	3.7	3.4	3.5
1678846681.0	COLOMBO CITY HOLDINGS PLC	PHAR.N0000	13	4	1054.25	1110.0	1110.0	1110.0	1054.25
1678846681.0	COLOMBO DOCKYARD PLC	DOCK.N0000	3268	17	65.2	67.0	67.2	63.5	65.0
