name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	22	4	154.5	154.75	155.0	154.5	154.5	0.0	0.0
ACCESS ENGINEERING PLC	AEL.N0000	0	90	22.8	22.8	23.1	22.8	23.0	0.2	0.88
ACL CABLES PLC	ACL.N0000	0	160	44.7	45.0	46.9	45.0	46.1	1.4	3.13
ACL PLASTICS PLC	APLA.N0000	454	6	250.0	237.0	260.0	237.0	244.5	5.5	2.2
ACME PRINTING & PACKAGING PLC	ACME.N0000	811	2	12.0	12.0	12.0	12.0	12.0	0.0	0.0
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	200	27.0	28.4	30.0	27.5	29.2	2.2	8.15
AGSTAR PLC	AGST.N0000	0	302	11.2	11.2	11.6	10.8	10.9	0.3	2.68
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	55	40.6	41.1	42.0	41.0	41.1	0.5	1.23
AITKEN SPENCE PLC	SPEN.N0000	0	134	83.8	83.5	87.0	83.5	86.1	2.3	2.74
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	30	69.9	69.0	70.0	68.0	68.0	1.9	2.72
ALUMEX PLC	ALUM.N0000	0	27	12.0	12.0	12.1	12.0	12.0	0.0	0.0
AMANA BANK PLC	ABL.N0000	0	102	3.9	3.9	4.0	3.8	3.9	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	8	13.5	15.5	15.5	14.9	14.9	1.4	10.37
AMANA TAKAFUL PLC	ATL.N0000	0	8	11.4	12.3	12.3	11.1	11.3	0.1	0.88
AMAYA LEISURE PLC	CONN.N0000	0	28	25.0	25.0	26.0	25.0	25.7	0.7	2.8
AMBEON CAPITAL PLC	TAP.N0000	0	68	14.3	14.3	14.7	14.3	14.4	0.1	0.7
AMBEON HOLDINGS PLC	GREG.N0000	0	56	44.0	43.1	44.0	43.1	43.9	0.1	0.23
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	28	1.5	1.5	1.6	1.5	1.5	0.0	0.0
ARPICO INSURANCE PLC	AINS.N0000	445	5	21.5	22.5	22.8	22.5	22.6	1.1	5.12
ASIA ASSET FINANCE PLC	AAF.N0000	0	19	7.9	8.5	8.5	7.9	7.9	0.0	0.0
ASIA CAPITAL PLC	ACAP.N0000	0	43	7.4	7.7	7.9	7.6	7.7	0.3	4.05
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	64	3.2	3.2	3.5	3.2	3.3	0.1	3.13
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	450	6	43.5	45.3	45.4	44.8	45.2	1.7	3.91
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	43	31.5	31.6	32.0	31.6	31.9	0.4	1.27
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	8	14.9	14.9	15.1	14.9	15.0	0.1	0.67
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	116	15.2	15.2	15.6	15.1	15.2	0.0	0.0
B P P L HOLDINGS PLC	BPPL.N0000	0	6	23.4	24.5	24.5	23.5	24.5	1.1	4.7
BAIRAHA FARMS PLC	BFL.N0000	0	100	161.0	161.0	167.0	161.0	165.25	4.25	2.64
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	353	22.9	23.5	26.0	23.2	25.4	2.5	10.92
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	54	3	11.0	10.9	10.9	10.9	11.0	0.0	0.0
BERUWALA RESORTS PLC	BERU.N0000	0	56	1.5	1.5	1.6	1.4	1.5	0.0	0.0
BIMPUTH FINANCE PLC	BLI.N0000	103	3	8.5	8.7	8.7	8.6	8.7	0.2	2.35
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	3	0.4	0.4	0.4	0.4	0.4	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	12	0.8	0.7	0.8	0.7	0.8	0.0	0.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	166	69.4	71.0	73.5	71.0	71.3	1.9	2.74
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	95	12.0	12.1	13.5	12.1	13.2	1.2	10.0
BROWN & COMPANY PLC	BRWN.N0000	0	60	206.0	209.0	213.75	209.0	211.5	5.5	2.67
BROWNS BEACH HOTELS PLC	BBH.N0000	0	18	12.5	12.9	13.0	12.8	12.9	0.4	3.2
BROWNS INVESTMENTS PLC	BIL.N0000	0	519	10.3	10.5	10.6	10.4	10.5	0.2	1.94
C I C HOLDINGS PLC	CIC.X0000	0	86	39.8	40.0	41.6	40.0	40.0	0.2	0.5
C I C HOLDINGS PLC	CIC.N0000	0	58	48.1	48.5	50.4	48.5	48.7	0.6	1.25
C M HOLDINGS PLC	COLO.N0000	0	47	93.0	90.0	95.0	90.0	92.3	0.7	0.75
C T HOLDINGS PLC	CTHR.N0000	90	4	183.0	180.25	180.25	176.0	183.0	0.0	0.0
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	8	29.7	29.6	29.6	29.0	29.0	0.7	2.36
C. W. MACKIE PLC	CWM.N0000	0	18	57.1	57.1	57.8	56.9	57.8	0.7	1.23
CARGILLS (CEYLON) PLC	CARG.N0000	406	3	235.0	234.0	235.0	234.0	235.0	0.0	0.0
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	35	70.9	67.0	69.8	63.1	65.8	5.1	7.19
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	22	83.0	84.1	85.0	84.0	84.3	1.3	1.57
CENTRAL INDUSTRIES PLC	CIND.N0000	0	286	120.25	122.25	127.0	120.0	122.0	1.75	1.46
CEYLINCO INSURANCE PLC	CINS.X0000	86	14	985.0	983.75	994.5	973.0	985.0	0.0	0.0
CEYLON BEVERAGE HOLDINGS PLC	BREW.N0000	1	1	780.0	771.5	771.5	771.5	780.0	0.0	0.0
CEYLON COLD STORES PLC	CCS.N0000	33	8	600.0	595.0	600.0	594.75	600.0	0.0	0.0
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	42	119.75	122.0	123.0	120.5	121.0	1.25	1.04
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	173	14	99.8	105.0	105.0	103.0	104.0	4.2	4.21
CEYLON HOSPITALS PLC	CHL.N0000	191	2	122.75	121.75	129.5	121.75	129.5	6.75	5.5
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	0	52	23.8	24.0	24.5	21.8	23.1	0.7	2.94
CEYLON INVESTMENT PLC	CINV.N0000	0	7	54.5	56.4	56.4	54.6	54.6	0.1	0.18
CEYLON TEA BROKERS PLC	CTBL.N0000	0	36	4.0	4.1	4.2	4.0	4.1	0.1	2.5
CEYLON TOBACCO COMPANY PLC	CTC.N0000	453	25	925.0	920.5	930.0	916.25	919.25	5.75	0.62
CHEMANEX PLC	CHMX.N0000	0	35	76.2	79.8	80.9	79.8	80.0	3.8	4.99
CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	0	134	106.75	107.0	107.5	106.75	107.0	0.25	0.23
CHRISSWORLD LIMITED	CWL.N0000	0	70	23.6	23.9	23.9	22.9	23.1	0.5	2.12
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	0	31	89.0	87.5	89.4	87.0	87.1	1.9	2.13
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	102	1	150.5	150.0	150.0	150.0	150.0	0.5	0.33
CITRUS LEISURE PLC	REEF.N0000	0	133	9.5	9.4	9.8	9.4	9.4	0.1	1.05
COLOMBO CITY HOLDINGS PLC	PHAR.N0000	1	1	928.5	948.0	948.0	948.0	928.5	0.0	0.0
COLOMBO DOCKYARD PLC	DOCK.N0000	0	79	81.8	82.5	86.5	82.0	86.1	4.3	5.26
COLOMBO FORT INVESTMENTS PLC	CFI.N0000	0	19	75.3	76.1	76.1	75.0	75.3	0.0	0.0
COLOMBO INVESTMENT TRUST PLC	CIT.N0000	30	4	118.75	123.75	124.25	123.75	118.75	0.0	0.0
COLOMBO LAND AND DEVELOPMENT COMPANY PLC	CLND.N0000	0	6	37.3	37.9	37.9	36.7	37.9	0.6	1.61
COMMERCIAL BANK OF CEYLON PLC	COMB.X0000	0	58	78.1	78.5	78.5	77.5	77.5	0.6	0.77
COMMERCIAL BANK OF CEYLON PLC	COMB.N0000	0	100	85.7	86.5	86.5	85.7	85.8	0.1	0.12
COMMERCIAL CREDIT AND FINANCE PLC	COCR.N0000	0	64	25.0	26.0	26.0	24.5	25.0	0.0	0.0
COMMERCIAL DEVELOPMENT COMPANY PLC	COMD.N0000	210	8	134.5	134.5	135.0	129.0	134.75	0.25	0.19
COMMERCIAL LEASING & FINANCE PLC	CLC.N0000	0	0	30.9	31.8	33.2	31.5	32.6	1.7	5.5
CONVENIENCE FOODS LANKA PLC	SOY.N0000	122	6	1003.25	1023.0	1023.0	1023.0	1023.0	19.75	1.97
DANKOTUWA PORCELAIN PLC	DPL.N0000	0	76	14.0	14.1	14.5	14.0	14.2	0.2	1.43
DFCC BANK PLC	DFCC.N0000	0	36	64.1	63.7	64.9	63.7	64.3	0.2	0.31
DIALOG AXIATA PLC	DIAL.N0000	0	83	11.1	11.2	11.3	11.1	11.3	0.2	1.8
DIALOG FINANCE PLC	CALF.N0000	0	29	80.0	80.0	83.0	80.0	82.0	2.0	2.5
DIESEL & MOTOR ENGINEERING PLC	DIMO.N0000	22	1	499.75	490.0	490.0	490.0	499.75	0.0	0.0
DILMAH CEYLON TEA COMPANY PLC	CTEA.N0000	1	1	699.75	681.0	681.0	681.0	699.75	0.0	0.0
DIPPED PRODUCTS PLC	DIPD.N0000	0	382	53.3	54.0	54.2	53.8	54.0	0.7	1.31
DISTILLERIES COMPANY OF SRI LANKA PLC	DIST.N0000	0	62	17.9	18.0	18.2	17.9	18.0	0.1	0.56
DOLPHIN HOTELS PLC	STAF.N0000	0	8	37.1	36.8	37.8	36.7	37.8	0.7	1.89
E - CHANNELLING PLC	ECL.N0000	100	2	8.8	8.9	8.9	8.9	8.9	0.1	1.14
E B CREASY & COMPANY PLC	EBCR.N0000	0	48	25.2	25.5	25.5	25.0	25.2	0.0	0.0
E M L CONSULTANTS LIMITED	EML.N0000	0	41	13.2	13.3	13.9	13.1	13.3	0.1	0.76
EAST WEST PROPERTIES PLC	EAST.N0000	0	11	9.6	9.8	9.8	9.7	9.7	0.1	1.04
