ut	name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded
1683163182.0	ABANS FINANCE PLC	AFSL.N0000	200	2	20.4	20.4	20.4	20.4	20.4
1683163182.0	ACCESS ENGINEERING PLC	AEL.N0000	46904	44	13.9	13.9	14.0	13.6	13.8
1683163182.0	ACL CABLES PLC	ACL.N0000	41823	93	74.1	75.0	76.4	73.7	75.2
1683163182.0	ACL PLASTICS PLC	APLA.N0000	10	5	360.0	360.0	360.0	357.0	360.0
1683163182.0	AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	10701	29	28.2	28.0	29.2	28.0	28.5
1683163182.0	AGSTAR PLC	AGST.N0000	548722	106	11.5	11.4	11.7	11.4	11.5
1683163182.0	AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	206100	37	58.5	58.5	59.0	57.5	59.0
1683163182.0	AITKEN SPENCE PLC	SPEN.N0000	22862	4	133.0	133.0	133.0	129.5	129.5
1683163182.0	ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	5	1	63.1	62.0	62.0	62.0	63.1
1683163182.0	ALUMEX PLC	ALUM.N0000	1000	1	8.4	8.4	8.4	8.4	8.4
1683163182.0	AMANA BANK PLC	ABL.N0000	205172	24	2.5	2.5	2.6	2.5	2.5
1683163182.0	AMANA TAKAFUL PLC	ATL.N0000	1030	2	11.3	11.3	11.3	11.3	11.3
1683163182.0	AMBEON CAPITAL PLC	TAP.N0000	15664	14	9.6	9.7	9.7	9.5	9.6
1683163182.0	AMBEON HOLDINGS PLC	GREG.N0000	2560	9	36.0	37.3	37.5	36.0	36.9
1683163182.0	ASIA ASSET FINANCE PLC	AAF.N0000	61963	13	8.5	8.5	8.5	8.5	8.5
1683163182.0	ASIA CAPITAL PLC	ACAP.N0000	27090	4	3.9	3.9	3.9	3.6	3.6
1683163182.0	ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	5160	4	4.0	4.0	4.0	3.9	3.9
1683163182.0	ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	3	1	39.5	41.0	41.0	41.0	39.5
