name	symbol	share_volume	trade_volume	price_previous_close	price_open	price_high	price_low	price_last_traded	delta_price	delta_price_p
ABANS ELECTRICALS PLC	ABAN.N0000	53	3	158.0	165.75	165.75	164.0	158.0	0.0	0.0
ABANS FINANCE PLC	AFSL.N0000	102	4	24.5	26.0	26.0	25.9	25.9	1.4	5.71
ACCESS ENGINEERING PLC	AEL.N0000	0	229	26.6	26.8	27.4	26.5	27.1	0.5	1.88
ACL CABLES PLC	ACL.N0000	0	887	86.6	88.0	89.5	83.4	83.9	2.7	3.12
ACL PLASTICS PLC	APLA.N0000	0	194	557.5	570.0	580.0	541.0	546.0	11.5	2.06
ACME PRINTING & PACKAGING PLC	ACME.N0000	0	5	11.7	11.6	12.3	11.6	12.2	0.5	4.27
AGALAWATTE  PLANTATIONS  PLC	AGAL.N0000	0	0	40.2	41.9	50.2	41.9	49.7	9.5	23.63
AGSTAR PLC	AGST.N0000	0	549	10.6	11.0	11.5	10.8	10.9	0.3	2.83
AITKEN SPENCE HOTEL HOLDINGS PLC	AHUN.N0000	0	25	38.3	38.3	38.7	38.2	38.5	0.2	0.52
AITKEN SPENCE PLC	SPEN.N0000	0	53	84.9	85.0	86.0	84.0	84.5	0.4	0.47
ALLIANCE FINANCE COMPANY PLC	ALLI.N0000	0	34	81.1	82.0	82.0	77.1	79.4	1.7	2.1
ALUMEX PLC	ALUM.N0000	0	748	13.9	14.1	15.0	14.0	14.8	0.9	6.47
AMANA BANK PLC	ABL.N0000	0	93	4.4	4.6	4.6	4.2	4.4	0.0	0.0
AMANA TAKAFUL LIFE PLC	ATLL.N0000	0	13	18.2	17.0	18.5	17.0	17.1	1.1	6.04
AMANA TAKAFUL PLC	ATL.N0000	0	43	11.6	11.4	12.7	11.4	12.5	0.9	7.76
AMBEON CAPITAL PLC	TAP.N0000	0	346	19.7	20.5	20.9	19.2	19.5	0.2	1.02
AMBEON HOLDINGS PLC	GREG.N0000	0	56	44.6	45.5	45.7	44.0	44.0	0.6	1.35
ANILANA HOTELS AND PROPERTIES PLC	ALHP.N0000	0	11	1.3	1.3	1.4	1.3	1.3	0.0	0.0
ARPICO INSURANCE PLC	AINS.N0000	40	2	21.0	21.3	21.3	21.3	21.0	0.0	0.0
ASIA ASSET FINANCE PLC	AAF.N0000	0	7	8.0	8.0	8.0	7.8	7.8	0.2	2.5
ASIA CAPITAL PLC	ACAP.N0000	0	5	7.2	7.3	7.3	7.2	7.3	0.1	1.39
ASIA SIYAKA COMMODITIES LIMITED	ASIY.N0000	0	22	3.4	3.4	3.5	3.4	3.4	0.0	0.0
ASIAN HOTELS AND PROPERTIES PLC	AHPL.N0000	0	26	42.0	42.0	42.5	42.0	42.4	0.4	0.95
ASIRI HOSPITAL HOLDINGS PLC	ASIR.N0000	0	22	30.1	30.5	31.5	30.0	30.9	0.8	2.66
ASIRI SURGICAL HOSPITAL PLC	AMSL.N0000	0	24	16.0	16.0	16.2	16.0	16.0	0.0	0.0
ASSOCIATED MOTOR FINANCE COMPANY PLC	AMF.N0000	0	169	13.0	13.0	13.5	12.9	13.0	0.0	0.0
B P P L HOLDINGS PLC	BPPL.N0000	0	64	21.7	21.6	22.6	20.6	22.1	0.4	1.84
BAIRAHA FARMS PLC	BFL.N0000	0	78	194.25	198.0	198.0	192.75	195.0	0.75	0.39
BALANGODA  PLANTATIONS  PLC	BALA.N0000	0	156	22.0	22.0	25.0	20.5	24.1	2.1	9.55
BANSEI ROYAL RESORTS HIKKADUWA PLC	BRR.N0000	211	4	9.2	9.9	9.9	9.9	9.9	0.7	7.61
BERUWALA RESORTS PLC	BERU.N0000	0	67	1.3	1.4	1.4	1.3	1.3	0.0	0.0
BIMPUTH FINANCE PLC	BLI.N0000	0	16	6.9	7.0	7.2	6.9	7.0	0.1	1.45
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.N0000	0	6	0.7	0.8	0.8	0.7	0.7	0.0	0.0
BLUE DIAMONDS JEWELLERY WORLDWIDE PLC	BLUE.X0000	0	13	0.4	0.4	0.5	0.3	0.3	0.1	25.0
BOGALA GRAPHITE LANKA PLC	BOGA.N0000	0	0	144.25	150.0	159.0	137.0	142.75	1.5	1.04
BOGAWANTALAWA TEA ESTATES PLC	BOPL.N0000	0	130	11.9	11.9	14.1	11.9	13.9	2.0	16.81
BROWN & COMPANY PLC	BRWN.N0000	0	0	215.75	225.0	257.0	225.0	245.75	30.0	13.9
BROWNS BEACH HOTELS PLC	BBH.N0000	0	13	11.7	12.0	12.0	11.7	11.8	0.1	0.85
BROWNS INVESTMENTS PLC	BIL.N0000	0	0	11.5	11.9	12.1	11.7	11.9	0.4	3.48
BUKIT DARAH PLC	BUKI.N0000	0	62	397.0	405.0	409.0	395.0	400.25	3.25	0.82
C I C HOLDINGS PLC	CIC.X0000	0	271	42.8	44.5	45.4	43.0	43.3	0.5	1.17
C I C HOLDINGS PLC	CIC.N0000	0	564	51.9	54.0	56.0	53.5	54.2	2.3	4.43
C M HOLDINGS PLC	COLO.N0000	0	332	101.25	100.0	126.5	100.0	117.75	16.5	16.3
C T HOLDINGS PLC	CTHR.N0000	0	1	175.0	177.0	177.0	177.0	177.0	2.0	1.14
C T LAND DEVELOPMENT PLC	CTLD.N0000	0	10	29.3	29.8	29.9	27.3	29.9	0.6	2.05
C. W. MACKIE PLC	CWM.N0000	0	64	61.0	61.0	65.5	61.0	64.3	3.3	5.41
CARGILLS (CEYLON) PLC	CARG.N0000	0	29	219.75	219.75	219.75	217.0	217.25	2.5	1.14
CARGO BOAT DEVELOPMENT COMPANY PLC	CABO.N0000	0	11	63.0	64.9	65.5	64.7	64.8	1.8	2.86
CARSON CUMBERBATCH PLC	CARS.N0000	926	8	297.25	300.0	300.0	295.0	295.25	2.0	0.67
CENTRAL FINANCE COMPANY PLC	CFIN.N0000	0	64	83.4	82.9	83.4	82.5	83.1	0.3	0.36
CENTRAL INDUSTRIES PLC	CIND.N0000	0	194	203.75	205.0	208.0	200.0	201.25	2.5	1.23
CEYLINCO INSURANCE PLC	CINS.X0000	855	7	1002.5	1000.0	1000.0	986.0	999.75	2.75	0.27
CEYLINCO INSURANCE PLC	CINS.N0000	806	3	2003.0	1855.5	2004.0	1855.5	1974.25	28.75	1.44
CEYLON COLD STORES PLC	CCS.N0000	0	59	559.75	559.5	560.0	550.0	550.0	9.75	1.74
CEYLON GRAIN ELEVATORS PLC	GRAN.N0000	0	291	112.75	113.5	127.0	111.5	119.5	6.75	5.99
CEYLON GUARDIAN INVESTMENT TRUST PLC	GUAR.N0000	0	38	100.5	99.9	99.9	97.6	98.5	2.0	1.99
CEYLON HOSPITALS PLC	CHL.N0000	0	6	130.5	134.75	134.75	131.0	131.0	0.5	0.38
CEYLON HOSPITALS PLC	CHL.X0000	0	5	105.25	105.5	105.5	105.5	105.5	0.25	0.24
CEYLON HOTELS CORPORATION PLC	CHOT.N0000	0	9	18.6	19.9	19.9	18.6	19.4	0.8	4.3
CEYLON INVESTMENT PLC	CINV.N0000	0	53	52.8	52.5	52.5	52.0	52.2	0.6	1.14
CEYLON TEA BROKERS PLC	CTBL.N0000	0	127	4.1	4.2	4.5	4.0	4.1	0.0	0.0
CEYLON TOBACCO COMPANY PLC	CTC.N0000	0	63	901.0	901.0	903.5	898.0	900.0	1.0	0.11
CHEMANEX PLC	CHMX.N0000	0	13	73.5	76.9	78.0	73.5	73.5	0.0	0.0
CHEVRON LUBRICANTS  LANKA  PLC	LLUB.N0000	0	249	106.0	107.0	107.0	105.25	105.5	0.5	0.47
CHRISSWORLD PLC	CWL.N0000	0	32	21.0	20.8	22.0	20.8	20.8	0.2	0.95
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.N0000	0	14	163.0	164.0	164.75	164.0	164.75	1.75	1.07
CITIZENS DEVELOPMENT BUSINESS FINANCE PLC	CDB.X0000	0	32	89.4	90.0	90.0	88.0	88.2	1.2	1.34
CITRUS LEISURE PLC	REEF.N0000	0	37	8.8	9.0	9.0	8.8	9.0	0.2	2.27
COLOMBO CITY HOLDINGS PLC	PHAR.N0000	151	12	891.5	882.0	895.0	882.0	884.75	6.75	0.76
COLOMBO DOCKYARD PLC	DOCK.N0000	0	13	74.8	74.2	76.8	74.2	75.0	0.2	0.27
COLOMBO FORT INVESTMENTS PLC	CFI.N0000	530	7	73.1	73.0	77.9	73.0	73.3	0.2	0.27
COLOMBO LAND AND DEVELOPMENT COMPANY PLC	CLND.N0000	0	15	34.2	34.0	34.5	34.0	34.1	0.1	0.29
COMMERCIAL BANK OF CEYLON PLC	COMB.N0000	0	106	83.9	83.8	84.0	83.5	83.9	0.0	0.0
COMMERCIAL BANK OF CEYLON PLC	COMB.X0000	0	192	75.3	75.2	75.2	74.1	74.4	0.9	1.2
COMMERCIAL CREDIT AND FINANCE PLC	COCR.N0000	0	57	25.2	25.6	25.6	24.5	25.2	0.0	0.0
COMMERCIAL DEVELOPMENT COMPANY PLC	COMD.N0000	0	30	138.0	137.0	140.0	132.0	139.25	1.25	0.91
COMMERCIAL LEASING & FINANCE PLC	CLC.N0000	0	529	66.8	67.0	69.0	64.0	64.2	2.6	3.89
CONVENIENCE FOODS LANKA PLC	SOY.N0000	3	1	1120.0	1145.0	1145.0	1145.0	1120.0	0.0	0.0
DANKOTUWA PORCELAIN PLC	DPL.N0000	0	27	14.8	15.0	15.0	14.4	14.5	0.3	2.03
DFCC BANK PLC	DFCC.N0000	0	56	61.8	61.0	62.5	60.5	61.6	0.2	0.32
DIALOG AXIATA PLC	DIAL.N0000	0	87	11.0	11.0	11.0	10.9	11.0	0.0	0.0
DIALOG FINANCE PLC	CALF.N0000	0	3	78.0	78.0	78.0	78.0	78.0	0.0	0.0
DIESEL & MOTOR ENGINEERING PLC	DIMO.N0000	0	32	552.0	545.0	564.75	545.0	556.75	4.75	0.86
DILMAH CEYLON TEA COMPANY PLC	CTEA.N0000	65	1	680.0	680.0	680.0	680.0	680.0	0.0	0.0
DIPPED PRODUCTS PLC	DIPD.N0000	0	906	48.0	48.7	48.7	46.9	47.0	1.0	2.08
DISTILLERIES COMPANY OF SRI LANKA PLC	DIST.N0000	0	84	17.0	17.0	17.2	16.9	17.1	0.1	0.59
