stock_i_symbol	stock_i_name	stock_j_symbol	stock_j_name	correlation
ABAN.N0000	ABANS ELECTRICALS PLC	AEL.N0000	ACCESS ENGINEERING PLC	0.15288377485650453
ABAN.N0000	ABANS ELECTRICALS PLC	ACL.N0000	ACL CABLES PLC	0.18312845347145634
ABAN.N0000	ABANS ELECTRICALS PLC	APLA.N0000	ACL PLASTICS PLC	0.2243092597613452
ABAN.N0000	ABANS ELECTRICALS PLC	ACME.N0000	ACME PRINTING & PACKAGING PLC	0.11575678783745459
ABAN.N0000	ABANS ELECTRICALS PLC	AGAL.N0000	AGALAWATTE  PLANTATIONS  PLC	0.0475167291040359
ABAN.N0000	ABANS ELECTRICALS PLC	AGST.N0000	AGSTAR PLC	0.059933948032123534
ABAN.N0000	ABANS ELECTRICALS PLC	AHUN.N0000	AITKEN SPENCE HOTEL HOLDINGS PLC	0.04092060248862526
ABAN.N0000	ABANS ELECTRICALS PLC	SPEN.N0000	AITKEN SPENCE PLC	0.25575174085072
ABAN.N0000	ABANS ELECTRICALS PLC	ALLI.N0000	ALLIANCE FINANCE COMPANY PLC	0.12620606790549108
ABAN.N0000	ABANS ELECTRICALS PLC	ALUM.N0000	ALUMEX PLC	0.11970447194895165
ABAN.N0000	ABANS ELECTRICALS PLC	ABL.N0000	AMANA BANK PLC	-0.02303260153815391
ABAN.N0000	ABANS ELECTRICALS PLC	ATL.N0000	AMANA TAKAFUL PLC	0.04998218513365833
ABAN.N0000	ABANS ELECTRICALS PLC	ATLL.N0000	AMANA TAKAFUL LIFE PLC	0.1550957311235064
ABAN.N0000	ABANS ELECTRICALS PLC	CONN.N0000	HAYLEYS LEISURE PLC	0.024564630580158012
ABAN.N0000	ABANS ELECTRICALS PLC	TAP.N0000	AMBEON CAPITAL PLC	0.24291739740852328
ABAN.N0000	ABANS ELECTRICALS PLC	GREG.N0000	AMBEON HOLDINGS PLC	0.11741768897115416
ABAN.N0000	ABANS ELECTRICALS PLC	ALHP.N0000	ANILANA HOTELS AND PROPERTIES PLC	-0.04979954024658364
ABAN.N0000	ABANS ELECTRICALS PLC	AINS.N0000	ARPICO INSURANCE PLC	0.040403819086890856
ABAN.N0000	ABANS ELECTRICALS PLC	AAF.N0000	ASIA ASSET FINANCE PLC	0.08437959631456825
ABAN.N0000	ABANS ELECTRICALS PLC	ACAP.N0000	ASIA CAPITAL PLC	-0.07401575854465749
ABAN.N0000	ABANS ELECTRICALS PLC	ASIY.N0000	ASIA SIYAKA COMMODITIES LIMITED	0.006774968098777489
ABAN.N0000	ABANS ELECTRICALS PLC	AHPL.N0000	ASIAN HOTELS AND PROPERTIES PLC	0.03714908762364323
ABAN.N0000	ABANS ELECTRICALS PLC	AMSL.N0000	ASIRI SURGICAL HOSPITAL PLC	0.052848809597472825
ABAN.N0000	ABANS ELECTRICALS PLC	ASIR.N0000	ASIRI HOSPITAL HOLDINGS PLC	0.1052172256724209
ABAN.N0000	ABANS ELECTRICALS PLC	AMF.N0000	ASSOCIATED MOTOR FINANCE COMPANY PLC	-0.07651318856242163
ABAN.N0000	ABANS ELECTRICALS PLC	BPPL.N0000	B P P L HOLDINGS PLC	0.18687123250977117
ABAN.N0000	ABANS ELECTRICALS PLC	BFL.N0000	BAIRAHA FARMS PLC	0.160579243899381
ABAN.N0000	ABANS ELECTRICALS PLC	BALA.N0000	BALANGODA  PLANTATIONS  PLC	0.04162930422357444
